;Europe * France;Europe * France
2005-08-01;1,013821;1,018164
2005-09-01;0,988909;0,993481
2005-10-01;1,032172;1,031261
2005-11-01;0,991463;0,989198
2005-12-01;1,036608;1,018787
2006-01-01;1,011995;0,997032
2006-02-01;0,917958;0,920239
2006-03-01;1,018915;1,018193
2006-04-01;0,968828;0,986418
2006-05-01;1,023684;1,02297
2006-06-01;0,982437;0,985214
2006-07-01;1,007508;1,018982
2006-08-01;1,014124;1,018877
2006-09-01;0,99144;0,993647
2006-10-01;1,031539;1,031191
2006-11-01;0,990179;0,989016
2006-12-01;1,028792;1,018448
2007-01-01;1,015656;0,995957
2007-02-01;0,914148;0,920081
2007-03-01;1,020168;1,01795
2007-04-01;0,974882;0,986932
2007-05-01;1,017026;1,022951
2007-06-01;0,985994;0,985716
2007-07-01;1,007872;1,019459
2007-08-01;1,019398;1,019562
2007-09-01;0,985243;0,993656
2007-10-01;1,037391;1,030885
2007-11-01;0,991832;0,988614
2007-12-01;1,026155;1,017952
2008-01-01;1,008176;0,99508
2008-02-01;0,943666;0,920031
2008-03-01;1,018043;1,017881
2008-04-01;0,981375;0,987599
2008-05-01;1,022297;1,022987
2008-06-01;0,983592;0,986188
2008-07-01;1,009645;1,019923
2008-08-01;1,01598;1,02029
2008-09-01;0,996755;0,993721
2008-10-01;1,032851;1,030575
2008-11-01;0,982229;0,988223
2008-12-01;1,026609;1,017315
2009-01-01;1,008805;0,99423
2009-02-01;0,904764;0,919787
2009-03-01;1,019608;1,01779
2009-04-01;0,988886;0,988267
2009-05-01;1,018047;1,023099
2009-06-01;0,991247;0,986562
2009-07-01;1,011942;1,020266
2009-08-01;1,019553;1,02098
2009-09-01;0,993533;0,993887
2009-10-01;1,030622;1,030364
2009-11-01;0,984848;0,988004
2009-12-01;1,017989;1,016721
2010-01-01;0,998882;0,993527
2010-02-01;0,901513;0,919403
2010-03-01;1,027911;1,01766
2010-04-01;0,99711;0,988878
2010-05-01;1,021888;1,02328
2010-06-01;0,98605;0,9868
2010-07-01;1,015308;1,020606
2010-08-01;1,020928;1,02169
2010-09-01;0,997055;0,994079
2010-10-01;1,019932;1,030129
2010-11-01;0,99049;0,987761
2010-12-01;1,016296;1,016069
2011-01-01;0,997055;0,992839
2011-02-01;0,899809;0,919114
2011-03-01;1,024036;1,017475
2011-04-01;1,001379;0,989364
2011-05-01;1,022277;1,023555
2011-06-01;0,985223;0,98705
2011-07-01;1,013521;1,021068
2011-08-01;1,027745;1,022501
2011-09-01;1,003994;0,994272
2011-10-01;1,019647;1,029927
2011-11-01;0,984468;0,987493
2011-12-01;1,013084;1,015397
2012-01-01;0,991727;0,992113
2012-02-01;0,931374;0,91889
2012-03-01;1,026862;1,0172
2012-04-01;0,996896;0,989692
2012-05-01;1,027104;1,023787
2012-06-01;0,989828;0,987288
2012-07-01;1,021704;1,021609
2012-08-01;1,024581;1,023274
2012-09-01;0,997871;0,994358
2012-10-01;1,021021;1,029779
2012-11-01;0,986328;0,987213
2012-12-01;1,005921;1,014803
2013-01-01;0,988648;0,991643
2013-02-01;0,901319;0,918696
2013-03-01;1,019035;1,016842
2013-04-01;1,004898;0,989897
2013-05-01;1,032508;1,023959
2013-06-01;0,98226;0,987509
2013-07-01;1,034022;1,022184
2013-08-01;1,025372;1,023907
2013-09-01;0,997835;0,994408
2013-10-01;1,014771;1,029742
2013-11-01;0,985249;0,986922
2013-12-01;1,004494;1,014251
2014-01-01;0,988087;0,991451
2014-02-01;0,904339;0,918562
2014-03-01;1,019508;1,01648
2014-04-01;1,000354;0,990161
2014-05-01;1,037336;1,024196
2014-06-01;0,98728;0,987726
2014-07-01;1,033749;1,022532
2014-08-01;1,016141;1,024139
2014-09-01;0,999237;0,994295
2014-10-01;1,015997;1,029776
2014-11-01;0,977141;0,986688
2014-12-01;1,011773;1,013716
2015-01-01;0,988118;0,991361
2015-02-01;0,906278;0,918541
2015-03-01;1,018281;1,01614
2015-04-01;1,001971;0,990452
2015-05-01;1,030426;1,024405
2015-06-01;0,994399;0,987989
2015-07-01;1,036814;1,022774
2015-08-01;1,015204;1,024333
2015-09-01;0,989849;0,994207
2015-10-01;1,021163;1,029914
2015-11-01;0,98089;0,98658
2015-12-01;1,008396;1,013305
2016-01-01;0,983098;0,991367
2016-02-01;0,945422;0,918528
2016-03-01;1,018085;1,015744
2016-04-01;1,003881;0,990596
2016-05-01;1,030098;1,024403
2016-06-01;0,990433;0,988122
2016-07-01;1,02821;1,022867
2016-08-01;1,019172;1,024647
2016-09-01;0,99267;0,994329
2016-10-01;1,022583;1,030183
2016-11-01;0,98461;0,986494
2016-12-01;1,011662;1,012888
2017-01-01;0,985506;0,991356
2017-02-01;0,910969;0,918386
2017-03-01;1,017311;1,015289
2017-04-01;0,991739;0,99058
2017-05-01;1,030265;1,02436
2017-06-01;0,994657;0,988268
2017-07-01;1,02621;1,022921
2017-08-01;1,019586;1,025029
2017-09-01;0,99605;0,994578
2017-10-01;1,029229;1,030526
2017-11-01;0,984555;0,986416
2017-12-01;1,002671;1,012445
2018-01-01;0,994046;0,991387
2018-02-01;0,91225;0,918366
2018-03-01;1,013519;1,014859
2018-04-01;0,987984;0,990369
2018-05-01;1,021625;1,024255
2018-06-01;0,997351;0,988405
2018-07-01;1,021957;1,023033
2018-08-01;1,029306;1,025521
2018-09-01;0,993412;0,994872
2018-10-01;1,040556;1,030885
2018-11-01;0,987559;0,986315
2018-12-01;1,001536;1,011997
2019-01-01;0,990987;0,991422
2019-02-01;0,911032;0,918424
2019-03-01;1,002269;1,014341
2019-04-01;0,988015;0,990021
2019-05-01;1,019783;1,024138
2019-06-01;0,990611;0,988504
2019-07-01;1,027432;1,023162
2019-08-01;1,038926;1,026023
2019-09-01;1,002754;0,995167
2019-10-01;1,040506;1,031195
2019-11-01;0,985705;0,986226
2019-12-01;0,996496;1,011636
2020-01-01;0,995056;0,991448
2020-02-01;0,943089;0,918439
2020-03-01;0,999043;1,013921
2020-04-01;0,977039;0,989783
2020-05-01;1,014637;1,024114
2020-06-01;1,001892;0,988673
2020-07-01;1,025347;1,023258
2020-08-01;1,040836;1,026305
2020-09-01;1,008209;0,995293
2020-10-01;1,046553;1,031294
2020-11-01;0,979903;0,986139
2020-12-01;0,994344;1,011462
2021-01-01;0,990069;0,991522
2021-02-01;0,909316;0,918431
2021-03-01;1,001155;1,013782
2021-04-01;0,976892;0,989737
2021-05-01;1,016261;1,024111
2021-06-01;0,997615;0,988734
2021-07-01;1,029078;1,023197
2021-08-01;1,044374;1,026342
2021-09-01;1,009609;0,995287
