;Europe * France;Europe * France
2005-08-01;133,815146;133,815146
2005-09-01;130,234389;130,234389
2005-10-01;135,998358;135,998358
2005-11-01;129,076712;129,076712
2005-12-01;133,272215;133,272215
2006-01-01;131,19529;131,19529
2006-02-01;119,094259;119,094259
2006-03-01;126,614852;126,614852
2006-04-01;121,267417;121,267417
2006-05-01;127,04575;127,04575
2006-06-01;123,523883;123,523883
2006-07-01;125,517501;125,517501
2006-08-01;126,768539;126,768539
2006-09-01;127,446484;127,446484
2006-10-01;132,436274;132,436274
2006-11-01;127,098894;127,098894
2006-12-01;127,821365;127,821365
2007-01-01;112,793104;112,793104
2007-02-01;96,003911;96,003911
2007-03-01;118,297099;118,297099
2007-04-01;114,169103;114,169103
2007-05-01;121,818966;121,818966
2007-06-01;117,896364;117,896364
2007-07-01;120,944244;120,944244
2007-08-01;119,907218;119,907218
2007-09-01;116,044942;116,044942
2007-10-01;122,071759;122,071759
2007-11-01;116,720015;116,720015
2007-12-01;123,318488;123,318488
2008-01-01;121,235818;121,235818
2008-02-01;112,903701;112,903701
2008-03-01;121,405304;121,405304
2008-04-01;117,350561;117,350561
2008-05-01;117,686661;117,686661
2008-06-01;116,230228;116,230228
2008-07-01;122,768376;122,768376
2008-08-01;118,996589;118,996589
2008-09-01;111,960036;111,960036
2008-10-01;115,138622;115,138622
2008-11-01;107,34369;107,34369
2008-12-01;113,469613;113,469613
2009-01-01;105,354381;105,354381
2009-02-01;107,883748;107,883748
2009-03-01;112,074942;112,074942
2009-04-01;108,403698;108,403698
2009-05-01;110,878484;110,878484
2009-06-01;110,878484;110,878484
2009-07-01;108,464023;108,464023
2009-08-01;109,193676;109,193676
2009-09-01;105,071425;105,071425
2009-10-01;109,611646;109,611646
2009-11-01;105,048444;105,048444
2009-12-01;107,013336;107,013336
2010-01-01;103,817514;103,817514
2010-02-01;90,031675;90,031675
2010-03-01;105,648828;105,648828
2010-04-01;103,47136;103,47136
2010-05-01;100,699255;100,699255
2010-06-01;110,247938;110,247938
2010-07-01;113,261346;113,261346
