;Europe * France;Europe * France
2005-08-01;1,014329;1,012247
2005-09-01;1,00522;1,00082
2005-10-01;1,003646;1,00538
2005-11-01;0,994807;0,996468
2005-12-01;0,989288;1,000211
2006-01-01;1,006666;1,010095
2006-02-01;1,016869;1,008264
2006-03-01;0,982924;0,989171
2006-04-01;0,997963;0,989588
2006-05-01;0,994266;0,999517
2006-06-01;1,007029;1,007464
2006-07-01;0,992649;0,989947
2006-08-01;0,988705;0,992603
2006-09-01;1,011222;1,010252
2006-10-01;1,009038;1,005999
2006-11-01;1,013026;1,015392
2006-12-01;0,988875;1,022954
2007-01-01;0,893033;0,959118
2007-02-01;0,852133;0,897488
2007-03-01;0,94616;0,999066
2007-04-01;0,958274;0,989417
2007-05-01;0,982693;1,008029
2007-06-01;0,985552;1,006595
2007-07-01;0,995987;1,001183
2007-08-01;0,983307;0,9979
2007-09-01;0,989885;0,992486
2007-10-01;0,99101;1,002429
2007-11-01;0,989644;0,991506
2007-12-01;1,007018;1,006158
2008-01-01;1,004281;1,003658
2008-02-01;0,99796;1,012682
2008-03-01;0,995757;0,99495
2008-04-01;1,001389;1,004861
2008-05-01;0,968702;0,981005
2008-06-01;1,001767;1,001322
2008-07-01;1,041598;1,020441
2008-08-01;1,016796;1,003753
2008-09-01;0,990025;0,991705
2008-10-01;0,997172;1,001595
2008-11-01;0,989362;0,984053
2008-12-01;1,008318;1,015328
2009-01-01;0,9557;0,959586
2009-02-01;1,091531;1,049054
2009-03-01;1,005966;0,988812
2009-04-01;1,00465;0,997663
2009-05-01;1,001594;0,98803
2009-06-01;1,03392;1,027392
2009-07-01;0,996168;0,984152
2009-08-01;1,000525;1,00144
2009-09-01;0,992209;0,994311
2009-10-01;1,001546;1,002177
2009-11-01;1,008612;1,004589
2009-12-01;0,999831;1,002863
2010-01-01;0,996871;1,012919
2010-02-01;0,968031;0,962196
2010-03-01;1,008329;1,01515
2010-04-01;1,030877;1,024309
2010-05-01;0,989887;0,980365
2010-06-01;1,001892;1,001422
2010-07-01;1,005253;1,001095
2010-08-01;0,986861;0,988339
2010-09-01;1,002649;1,006197
2010-10-01;1,008452;0,998931
2010-11-01;0,995798;1,000498
2010-12-01;0,99483;0,99614
2011-01-01;1,008572;1,014755
2011-02-01;1,002797;0,986616
2011-03-01;0,994009;1,002075
2011-04-01;0,998764;1,006783
2011-05-01;1,009183;1,004598
2011-06-01;0,998343;0,99975
2011-07-01;0,986297;0,984894
2011-08-01;1,00104;1,005072
2011-09-01;1,013523;1,018465
2011-10-01;0,997475;0,987695
2011-11-01;1,006783;1,008728
2011-12-01;0,992303;1,003757
2012-01-01;0,950466;0,968318
2012-02-01;0,986646;1,007204
2012-03-01;1,002118;1,003896
2012-04-01;1,017589;1,012738
2012-05-01;1,003925;0,999672
2012-06-01;0,997796;1,000146
2012-07-01;0,985344;0,986883
2012-08-01;1,009829;1,009338
2012-09-01;0,995556;0,998844
2012-10-01;0,994069;0,989491
2012-11-01;1,006592;1,012314
2012-12-01;1,00014;1,008721
2013-01-01;0,946107;0,967086
2013-02-01;1,017218;1,012521
2013-03-01;1,003662;1,011775
2013-04-01;0,966201;0,990511
2013-05-01;0,96986;0,987943
2013-06-01;1,000121;0,991265
2013-07-01;1,022035;1,006614
2013-08-01;1,077783;1,041884
2013-09-01;1,01136;1,000216
2013-10-01;0,98417;0,979006
2013-11-01;0,983597;0,994051
2013-12-01;1,011581;1,007023
2014-01-01;1,005217;1,006327
2014-02-01;0,99239;0,983146
2014-03-01;0,99884;1,00185
2014-04-01;0,999539;1,001608
2014-05-01;1,003064;1,007499
