;Europe * France;Europe * France
2005-08-01;133,35224;133,815146
2005-09-01;129,956844;130,234389
2005-10-01;136,180779;135,998358
2005-11-01;129,179104;129,076712
2005-12-01;132,898074;133,272215
2006-01-01;131,460959;131,19529
2006-02-01;120,1576;119,094259
2006-03-01;126,444664;126,614852
2006-04-01;121,94826;121,267417
2006-05-01;126,606261;127,04575
2006-06-01;123,260638;123,523883
2006-07-01;125,685863;125,517501
2006-08-01;126,886842;126,768539
2006-09-01;127,070928;127,446484
2006-10-01;132,704456;132,436274
2006-11-01;127,21692;127,098894
2006-12-01;128,247137;127,821365
2007-01-01;112,40292;112,793104
2007-02-01;96,861088;96,003911
2007-03-01;117,964998;118,297099
2007-04-01;114,399768;114,169103
2007-05-01;121,93265;121,818966
2007-06-01;117,54895;117,896364
2007-07-01;121,189155;120,944244
2007-08-01;119,746046;119,907218
2007-09-01;116,696464;116,044942
2007-10-01;121,649477;122,071759
2007-11-01;116,47127;116,720015
2007-12-01;123,483901;123,318488
2008-01-01;121,348958;121,235818
2008-02-01;109,734044;112,903701
2008-03-01;121,568151;121,405304
2008-04-01;117,443651;117,350561
2008-05-01;117,356274;117,686661
2008-06-01;116,465058;116,230228
2008-07-01;122,882946;122,768376
2008-08-01;119,392966;118,996589
2008-09-01;111,484809;111,960036
2008-10-01;114,983859;115,138622
2008-11-01;107,94636;107,34369
2008-12-01;113,077088;113,469613
2009-01-01;105,058615;105,354381
2009-02-01;108,846996;107,883748
2009-03-01;112,301893;112,074942
2009-04-01;108,504363;108,403698
2009-05-01;111,24782;110,878484
2009-06-01;110,407848;110,878484
2009-07-01;108,318232;108,464023
2009-08-01;109,340142;109,193676
2009-09-01;105,154775;105,071425
2009-10-01;109,303928;109,611646
2009-11-01;105,260682;105,048444
2009-12-01;107,113203;107,013336
2010-01-01;104,16333;103,817514
2010-02-01;90,835529;90,031675
2010-03-01;105,283357;105,648828
2010-04-01;103,25085;103,47136
2010-05-01;100,834327;100,699255
2010-06-01;110,335394;110,247938
2010-07-01;112,943382;113,261346
2010-08-01;111,778012;111,55212
2010-09-01;110,88225;110,779378
2010-10-01;114,644513;114,2639
2010-11-01;109,355201;109,82135
2010-12-01;112,566906;112,718416
2011-01-01;112,265545;112,115159
2011-02-01;101,267949;100,371773
2011-03-01;112,776164;112,671017
2011-04-01;109,663853;109,987963
2011-05-01;112,811381;112,583401
2011-06-01;106,588336;106,489448
2011-07-01;107,756014;107,398271
2011-08-01;109,276839;109,656172
2011-09-01;107,179424;107,408325
2011-10-01;106,213385;106,071107
2011-11-01;102,09154;102,010619
2011-12-01;101,876062;102,162869
2012-01-01;95,005194;94,813198
2012-02-01;89,451375;91,753827
2012-03-01;101,930489;102,217449
2012-04-01;100,445032;100,242503
2012-05-01;101,247531;101,153133
2012-06-01;95,710984;95,993856
2012-07-01;97,07481;96,878632
2012-08-01;98,580134;98,712818
2012-09-01;94,786538;94,25734
2012-10-01;95,806352;96,138925
2012-11-01;93,887341;94,087854
2012-12-01;95,469651;95,341765
2013-01-01;88,56538;88,482806
2013-02-01;87,261925;86,489696
2013-03-01;96,596663;96,275968
2013-04-01;91,038272;91,426342
2013-05-01;94,544075;94,671327
2013-06-01;93,941963;93,417481
2013-07-01;100,647797;100,997176
2013-08-01;105,564522;105,861713
2013-09-01;96,685022;96,490075
2013-10-01;94,962057;94,87352
2013-11-01;90,923844;91,192568
2013-12-01;94,884596;94,692844
2014-01-01;91,628627;91,751955
2014-02-01;83,021304;82,286602
2014-03-01;92,952503;92,827989
2014-04-01;90,900076;90,828025
2014-05-01;94,224772;94,490038
2014-06-01;89,125514;88,94581
2014-07-01;95,373229;95,284308
2014-08-01;93,938661;93,62679
2014-09-01;91,977932;92,370007
2014-10-01;95,141889;95,269945
2014-11-01;90,379706;89,875112
2014-12-01;93,023793;93,346707
2015-01-01;92,689338;92,950282
2015-02-01;88,663252;87,878621
2015-03-01;100,78227;100,578599
2015-04-01;99,632572;99,540137
2015-05-01;106,956194;106,601106
2015-06-01;102,005257;102,440075
2015-07-01;105,697591;105,839855
2015-08-01;101,130603;100,995133
2015-09-01;96,630612;96,554019
2015-10-01;101,609652;101,895709
2015-11-01;101,653978;101,449012
2015-12-01;103,373833;103,277452
2016-01-01;100,951095;100,615944
2016-02-01;94,769066;97,700206
2016-03-01;102,594619;102,498965
2016-04-01;101,247446;101,546682
2016-05-01;100,485788;100,282716
2016-06-01;95,95648;95,867456
2016-07-01;100,288185;99,955235
2016-08-01;98,000359;98,340548
2016-09-01;92,272219;92,469283
2016-10-01;96,785647;96,655998
2016-11-01;91,115383;91,043162
2016-12-01;94,503907;94,769959
2017-01-01;91,256531;91,072111
2017-02-01;81,081066;80,363535
2017-03-01;91,344641;91,467586
2017-04-01;93,517648;92,995534
2017-05-01;94,606855;94,935264
2017-06-01;88,902011;89,091877
2017-07-01;91,253917;91,131678
2017-08-01;90,6261;90,541605
2017-09-01;89,948666;90,214508
2017-10-01;92,975345;92,787451
