;Europe * France;Europe * France
2005-08-01;130,126314;129,837777
2005-09-01;131,011087;130,981475
2005-10-01;131,280705;131,170111
2005-11-01;130,867704;130,948761
2005-12-01;129,95767;130,787025
2006-01-01;128,781862;130,270691
2006-02-01;127,58599;128,355913
2006-03-01;126,423302;125,713961
2006-04-01;125,424572;124,230628
2006-05-01;124,822125;124,253053
2006-06-01;124,854431;124,448823
2006-07-01;125,504783;124,430193
2006-08-01;126,431032;125,347078
2006-09-01;127,120257;126,959753
2006-10-01;127,237158;127,664485
2006-11-01;126,708977;126,562445
2006-12-01;125,641886;122,689778
2007-01-01;124,356512;118,078253
2007-02-01;123,243757;116,261046
2007-03-01;122,556911;116,319674
2007-04-01;122,210015;116,91816
2007-05-01;121,889128;118,137271
2007-06-01;121,324019;118,821109
2007-07-01;120,483046;118,495521
2007-08-01;119,622327;117,854022
2007-09-01;118,986628;117,66996
2007-10-01;118,739371;118,127626
2007-11-01;118,912746;119,075675
2007-12-01;119,3377;120,402234
2008-01-01;119,740109;121,3912
2008-02-01;119,88819;121,180514
2008-03-01;119,761729;119,877915
2008-04-01;119,411878;118,249261
2008-05-01;118,839258;117,269682
2008-06-01;117,960796;117,702479
2008-07-01;116,73949;117,959128
2008-08-01;115,190196;116,194024
2008-09-01;113,456213;113,609776
2008-10-01;111,792596;111,544793
2008-11-01;110,460935;110,383265
2008-12-01;109,616833;109,854434
2009-01-01;109,275738;110,428747
2009-02-01;109,240749;111,807492
2009-03-01;109,267813;111,361916
2009-04-01;109,114602;109,947671
2009-05-01;108,739515;109,688178
2009-06-01;108,187939;109,392376
2009-07-01;107,5964;108,021523
2009-08-01;107,043343;106,796041
2009-09-01;106,58573;106,322526
2009-10-01;106,190664;106,150359
2009-11-01;105,753877;105,83814
2009-12-01;105,140074;104,952889
2010-01-01;104,259916;103,16121
2010-02-01;103,165388;101,771513
2010-03-01;101,931159;102,26613
2010-04-01;100,663142;102,151933
2010-05-01;99,549116;100,379205
2010-06-01;111,596472;111,56401
2010-07-01;110,970759;110,853278
2010-08-01;110,720192;110,472083
2010-09-01;110,813078;110,752849
2010-10-01;111,09197;111,040571
2010-11-01;111,3436;111,126733
2010-12-01;111,487441;111,365656
2011-01-01;111,49057;111,281764
2011-02-01;111,236809;110,686365
2011-03-01;110,689537;110,506537
2011-04-01;109,972404;110,421398
2011-05-01;109,127983;109,489114
2011-06-01;108,266025;107,913572
2011-07-01;107,43772;106,795515
2011-08-01;106,585071;106,701944
2011-09-01;105,553709;106,068551
2011-10-01;104,290658;104,271986
2011-11-01;102,921861;102,408779
2011-12-01;101,625673;100,23717
2012-01-01;100,586534;98,693729
2012-02-01;99,847771;99,138672
2012-03-01;99,333113;100,099031
2012-04-01;98,816497;100,012683
2012-05-01;98,098875;98,835332
2012-06-01;97,194578;97,215635
2012-07-01;96,230998;96,089807
2012-08-01;95,406858;95,575206
2012-09-01;94,880056;94,901887
2012-10-01;94,721353;94,350325
2012-11-01;94,767342;94,14723
2012-12-01;94,767289;93,138801
2013-01-01;94,596923;92,265305
2013-02-01;94,33479;92,979757
2013-03-01;94,132942;93,579447
2013-04-01;94,163319;93,244318
2013-05-01;94,540135;93,584506
2013-06-01;95,093144;95,432732
2013-07-01;95,568239;98,156006
2013-08-01;95,791287;99,233684
2013-09-01;95,613229;97,011716
2013-10-01;94,996337;94,109012
2013-11-01;94,101433;92,953945
2013-12-01;93,190041;92,711204
2014-01-01;92,376305;91,961289
2014-02-01;91,688599;91,117699
2014-03-01;91,157541;91,154323
2014-04-01;90,837748;91,583247
2014-05-01;90,810834;91,571025
2014-06-01;91,121524;91,545634
2014-07-01;91,594559;91,915184
2014-08-01;91,975847;92,183959
2014-09-01;92,211848;92,331679
2014-10-01;92,438114;92,221525
2014-11-01;92,786245;92,021845
2014-12-01;93,477126;92,607137
2015-01-01;94,699132;94,055803
2015-02-01;96,489272;96,114198
2015-03-01;98,514162;98,474514
2015-04-01;100,325745;100,768004
2015-05-01;101,442019;102,541072
2015-06-01;101,745869;103,047241
2015-07-01;101,519511;101,901681
2015-08-01;101,129326;99,831146
2015-09-01;100,954673;98,765617
2015-10-01;101,146511;99,699173
