;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1996-11-30;0,995105;0,99897;-1,662755;0,99056;-0,792513;-1,938742
1996-12-31;1,011098;1,013082;-0,585393;0,990102;-0,930868;-0,094647
1997-01-31;0,996336;0,9998;-0,198263;1,016112;1,501279;3,270859
1997-02-28;1,02027;0,999245;-0,899167;0,999227;-0,000083;-0,911635
1997-03-31;0,97782;0,981193;-2,193124;0,961836;-3,844483;-0,214914
1997-04-30;1,094798;1,024746;0,585028;1,038984;4,303909;0,092598
1997-05-31;1,003938;0,999907;0,827884;0,996534;-0,139419;-11,102201
1997-06-30;1,013693;0,988803;-0,364564;0,984311;-1,467804;1,656803
1997-07-31;1,008583;1,007653;-0,460958;1,00392;-0,127793;-10,748942
1997-08-31;0,986266;0,990612;-1,173011;0,973617;-2,487978;3,329367
1997-09-30;0,994981;1,008283;1,395033;0,996918;-0,268996;0,716941
1997-10-31;0,991749;1,001473;2,050605;1,023123;2,267647;-0,490346
1997-11-30;1,002916;0,99069;-1,060921;0,984656;-1,334436;0,73992
1997-12-31;1,00517;1,055174;0,508838;1,031531;2,146123;-2,362692
1998-01-31;1,015091;0,996101;-0,547039;1,012795;1,344433;1,911247
1998-02-28;0,987789;1,006355;0,161857;0,985962;-1,234874;-0,280718
1998-03-31;1,003155;0,999848;-0,64176;1,0039;0,756466;-1,569103
1998-04-30;1,036883;1,011862;0,188798;1,017154;2,085778;-2,785546
1998-05-31;0,991485;0,993357;-1,531058;0,9625;-3,59681;3,144752
1998-06-30;1,000877;0,988121;-0,684849;1,01156;1,551301;3,693398
1998-07-31;1,001025;0,993211;1,212803;1,021759;0,854262;-2,78274
1998-08-31;1,009062;1,019035;-1,064314;0,999335;0,079505;0,46876
1998-09-30;0,994192;0,995641;-0,936087;1,020068;2,219923;-11,809933
1998-10-31;0,973014;1,002953;-1,685059;0,992264;-0,770284;0,286357
1998-11-30;1,010882;1,004995;-0,799024;0,989514;-0,963747;-0,29489
1998-12-31;1,004454;0,993291;2,968237;1,013546;0,774529;0,621886
1999-01-31;0,99508;0,99125;0,221113;0,971581;-2,604622;0,267684
1999-02-28;1,000017;0,997668;0,036446;0,990262;-0,858057;-0,231492
1999-03-31;1,005299;1,014386;1,453199;1,020755;2,367141;0,496512
1999-04-30;0,978913;0,969022;0,630301;0,986328;-1,280172;0,413293
1999-05-31;1,010969;1,013325;-1,50333;0,972395;-2,770568;-1,449389
1999-06-30;0,998414;1,034183;0,743178;1,016817;1,915962;-2,983942
1999-07-31;1,005743;0,975744;-0,475626;0,993931;-0,77951;3,847686
1999-08-31;0,998382;0,991114;-0,739319;1,003083;0,269819;-2,259671
1999-09-30;0,987299;1,000361;0,572461;1,017526;1,862825;2,191629
1999-10-31;1,002349;1,027535;-0,729165;1,005502;0,597562;1,23088
1999-11-30;1,008527;0,96355;1,437554;1,019567;1,741702;-0,810911
1999-12-31;1,000109;0,998402;-1,583518;1,006807;0,293455;-0,387408
2000-01-31;1,010693;1,020703;-1,435201;0,971496;-2,636732;-0,663075
2000-02-29;0,986483;0,99014;-0,403362;1,013975;1,510248;-1,664662
2000-03-31;1,003235;1,00383;0,918232;1,015458;1,67716;2,363598
2000-04-30;1,000724;0,990861;-1,77346;0,95904;-4,266766;-5,886596
2000-05-31;1,012145;1,03663;1,894338;1,033287;3,413305;3,577893
2000-06-30;0,984899;0,983009;1,93058;0,993262;-0,840394;-3,347342
2000-07-31;1,002364;1,012549;-0,325031;0,979449;-1,426115;-0,505913
2000-08-31;1,002913;0,993301;2,434825;1,016784;1,529036;0,394891
2000-09-30;1,006485;1,006804;1,304842;0,99367;-0,768962;0,789522
2000-10-31;0,947526;1,001454;-0,056334;0,984442;-1,476849;-1,666177
2000-11-30;0,796226;1,02479;1,635285;0,998193;-0,300621;1,885289
2000-12-31;0,933784;0,987936;0,14855;0,986418;-1,129277;3,454476
2001-01-31;0,886748;0,990664;1,715682;1,003719;0,411206;-3,781569
2001-02-28;0,944828;1,004708;0,821146;0,989904;-0,928341;0,422537
2001-03-31;0,92854;0,992239;-0,320816;0,990831;-1,088014;-2,837163
