;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1996-11-30;0,950382;0,96983;-2,120764;1,025288;-5,57055;-10,260003
1996-12-31;1,011852;1,042686;-4,234315;1,066429;-19,813015;-3,315851
1997-01-31;1,058837;1,022266;1,43021;0,878052;-0,696995;-1,904332
1997-02-28;0,909604;0,905736;-0,79129;0,896078;2,764859;-8,480282
1997-03-31;1,014517;0,991858;-4,62543;1,083378;12,472989;-0,192773
1997-04-30;1,012682;1,061482;2,292242;0,977253;12,864069;10,08789
1997-05-31;0,990948;1,001271;0,767907;0,928617;6,0391;13,205047
1997-06-30;0,964016;1,005807;-1,306357;1,147926;12,842024;7,916764
1997-07-31;1,021805;1,011936;-0,084712;1,042936;-35,146702;6,432431
1997-08-31;0,967593;0,887894;2,067602;0,847779;2,35024;-7,1926
1997-09-30;1,036792;1,032695;-1,654475;1,115377;10,678256;-3,787988
1997-10-31;1,061121;1,07532;7,736697;0,999196;1,064411;-1,226154
1997-11-30;0,914839;0,937055;-2,040802;1,023609;-5,81485;-13,097513
1997-12-31;1,062067;1,085123;-0,308525;1,075336;-19,210544;0,288894
1998-01-31;1,006385;0,978451;-0,042407;0,876424;-1,000343;-5,314354
1998-02-28;0,912075;0,905637;-1,939764;0,893538;2,409923;-9,823122
1998-03-31;1,049929;1,046182;-2,401366;1,089032;13,43577;3,742953
1998-04-30;1,019456;1,044602;1,093609;0,975203;12,64772;7,967119
1998-05-31;0,958955;0,967499;-1,981915;0,92637;5,702395;9,568986
1998-06-30;1,005138;1,046003;-1,078144;1,147724;13,114157;11,967728
1998-07-31;1,01437;1,002635;1,203586;1,04252;-35,484087;5,658686
1998-08-31;0,974314;0,890291;1,225453;0,848568;2,555428;-7,448321
1998-09-30;1,034337;1,035593;-2,13275;1,113878;10,720696;-1,293053
1998-10-31;1,0083;1,037427;4,586346;0,997937;0,826864;-4,52012
1998-11-30;0,965549;0,977967;0,464958;1,02478;-5,680739;-9,616868
1998-12-31;1,046388;1,07525;1,72441;1,079419;-19,05675;0,205207
1999-01-31;0,973829;0,944449;-0,759869;0,873559;-1,537344;-8,133859
1999-02-28;0,914697;0,905549;-3,607323;0,893287;2,395413;-10,777678
1999-03-31;1,119191;1,095144;0,898934;1,094833;14,314814;6,848859
1999-04-30;0,998099;1,035576;-1,17624;0,970505;11,904437;7,798324
1999-05-31;0,966135;0,96809;-1,87216;0,930224;6,303458;7,746632
1999-06-30;0,998737;1,042016;0,068079;1,145784;13,056787;12,459903
1999-07-31;0,962639;0,96519;-0,156045;1,038937;-35,963412;2,285943
1999-08-31;1,02465;0,937685;2,62013;0,849864;2,823741;-2,497084
1999-09-30;1,020587;1,020795;-1,475284;1,108727;10,214705;-1,550809
1999-10-31;0,976482;1,00546;4,300006;0,997135;0,666712;-7,082694
1999-11-30;1,014811;1,030413;4,335797;1,02741;-5,339463;-5,029883
1999-12-31;1,035716;1,057954;-2,153378;1,080513;-19,142501;-0,925725
2000-01-31;0,980167;0,944472;-1,500138;0,874781;-1,429657;-9,099785
2000-02-29;0,968645;0,959862;-5,276464;0,894429;2,583542;-6,517777
2000-03-31;1,075093;1,07941;1,190066;1,097025;14,603788;6,04457
2000-04-30;0,945076;0,958473;-4,384764;0,968448;11,541801;1,844277
2000-05-31;1,064305;1,061019;1,198266;0,938174;7,551042;13,957953
2000-06-30;0,97373;1,019903;-0,643659;1,140975;12,559359;11,154401
2000-07-31;0,934403;0,935155;-0,809745;1,036212;-36,250205;-0,366908
