;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1996-03-31;109,152576;111,030795;76,741351;87,061036;94,938184;67,438002
1996-04-30;104,939174;110,832326;78,500286;89,473395;97,629376;78,198666
1996-05-31;110,139406;110,567114;76,994813;90,945665;99,264152;69,870771
1996-06-30;114,098604;106,944626;75,279342;87,504418;95,312808;87,238464
1996-07-31;117,079583;114,658705;76,713664;92,238469;99,421884;63,82085
1996-08-31;117,709851;117,235768;77,902514;90,537961;98,767887;59,545985
1996-09-30;114,688736;114,521162;76,925139;90,24073;98,386489;66,452851
1996-10-31;112,435718;116,507262;79,711503;91,919492;100,105285;66,023849
1996-11-30;109,270052;117,070141;76,092585;89,710713;97,898025;64,836004
1996-12-31;111,082306;118,793047;77,27109;89,76771;97,876327;68,159115
1997-01-31;109,530708;117,090417;77,779831;92,239494;100,437895;72,662659
1997-02-28;112,229978;116,691791;77,214503;90,791696;99,038288;69,208651
1997-03-31;107,623861;114,063447;76,083716;87,499886;95,323273;70,467718
1997-04-30;120,555429;118,488933;79,055657;94,67652;103,641677;71,461967
1997-05-31;110,57586;115,130082;79,496564;90,919048;99,30854;61,12029
1997-06-30;111,647728;113,510468;78,494259;89,893164;98,056387;75,022289
1997-07-31;111,050938;115,4707;78,593127;91,807545;99,510854;63,788908
1997-08-31;108,525025;113,435489;78,09365;89,191488;97,315938;78,667439
1997-09-30;109,372331;115,601271;80,885366;91,541671;99,76541;76,246728
1997-10-31;108,88655;115,220801;81,745924;94,177887;102,539696;74,727735
1997-11-30;109,986514;114,670781;78,816174;90,824879;99,135901;75,166157
1997-12-31;110,114076;123,043493;80,567892;95,31488;102,790041;71,100105
1998-01-31;111,078323;117,088313;79,700235;93,674397;102,105015;74,848262
1998-02-28;107,967199;119,077321;80,602707;91,229472;99,594181;72,745471
1998-03-31;109,506821;118,839616;80,000653;92,936349;101,655526;72,159732
1998-04-30;113,02829;120,61414;81,04119;94,194836;103,022155;71,840442
1998-05-31;107,914419;118,60906;79,544766;89,160097;97,357195;78,474374
1998-06-30;108,758532;118,206945;80,638106;93,784544;102,564557;79,191103
1998-07-31;108,595742;119,118714;82,795542;94,799582;101,91935;72,213203
1998-08-31;109,305602;122,459046;80,776888;92,7215;101,151708;74,446317
1998-09-30;107,571717;119,623187;81,176846;94,597062;103,255954;60,801912
1998-10-31;105,202338;120,168605;80,728821;91,932774;100,180005;71,547275
1998-11-30;109,254781;119,784743;81,947506;91,596239;99,902018;69,872281
1998-12-31;108,541425;117,618292;86,050702;93,751763;101,577776;69,908938
1999-01-31;107,528848;116,767075;83,609222;89,814925;98,159532;68,447088
1999-02-28;108,080325;117,144363;83,710725;91,543935;99,931596;66,744336
1999-03-31;108,704238;118,749775;85,403844;94,39468;103,205099;66,455555
1999-04-30;105,929996;112,846775;84,836661;91,219377;99,571907;65,771096
1999-05-31;109,505936;117,112089;82,951773;89,975327;98,131136;64,055572
1999-06-30;108,264676;118,347927;85,456574;94,191211;102,927094;63,436875
1999-07-31;109,184669;110,443597;84,498845;92,172689;100,335745;71,713614
1999-08-31;108,503961;111,194964;84,501534;93,112252;101,479445;67,144617
1999-09-30;107,396351;111,673091;86,087387;94,521761;103,144476;72,717525
1999-10-31;109,096847;114,605081;85,06116;93,419963;101,891617;72,259882
1999-11-30;109,779548;107,645177;87,499304;94,683105;102,985987;70,108962
1999-12-31;108,807358;111,908865;84,745436;93,39331;101,431275;70,240044
2000-01-31;109,83502;114,685236;85,178312;90,009788;98,396832;69,78642
2000-02-29;107,023175;111,453588;86,521689;93,873555;102,481618;68,724409
2000-03-31;108,588115;113,275649;88,160802;93,920003;102,559293;72,605445
2000-04-30;108,003233;112,292204;85,78646;88,611173;96,517628;64,192378
2000-05-31;108,87397;118,241991;89,773309;95,413587;104,142302;73,308098
2000-06-30;105,566904;113,175639;90,102555;91,641255;99,811036;65,953681
2000-07-31;107,073084;117,914592;88,104898;90,291622;99,143466;68,663547
2000-08-31;106,816467;116,879134;91,09747;93,690397;102,043618;69,781935
2000-09-30;106,961744;119,301715;90,162419;91,510212;99,679708;70,632089
2000-10-31;100,559276;119,020784;88,963472;90,622321;98,924581;68,412428
2000-11-30;84,452993;121,715286;90,797416;91,893234;100,10415;71,607916
2000-12-31;99,073035;117,058862;89,430246;90,850095;99,31923;72,192199
2001-01-31;94,213219;117,182722;91,092875;92,512952;100,930527;63,655811
2001-02-28;100,640594;119,021863;90,265827;91,325477;99,677342;66,792967
2001-03-31;99,272456;118,106326;89,171874;91,52489;99,635711;63,072331
2001-04-30;110,855222;120,431121;88,893398;92,264545;100,828273;67,787157
2001-05-31;104,844026;120,310827;90,124623;94,763538;103,303737;66,221932
2001-06-30;105,881622;122,141119;88,651172;92,9929;101,440217;69,904394
2001-07-31;107,421898;121,511099;88,990115;93,083328;101,077023;68,847223
2001-08-31;108,318818;120,777865;89,688996;94,113756;102,53913;72,014698
2001-09-30;110,585349;119,762456;88,008211;91,099611;99,282279;70,073572
2001-10-31;112,148128;120,781656;89,675674;91,614327;100,019608;61,911112
2001-11-30;115,474079;120,985194;90,173705;93,335877;101,569502;67,10155
2001-12-31;110,135458;118,453208;88,837116;90,818455;99,314322;69,012718
2002-01-31;111,103262;117,580129;90,724658;96,092509;104,732556;73,763639
2002-02-28;111,309939;116,637888;89,800753;93,996953;102,707326;74,019596
2002-03-31;109,057395;119,058132;91,007785;93,183296;101,707054;73,780954
2002-04-30;109,21685;114,687628;91,835824;94,293033;103,210521;71,282002
2002-05-31;109,097398;113,560157;91,920877;93,645847;102,101881;66,184572
2002-06-30;108,607094;112,981598;89,617384;91,770514;99,930952;68,031027
2002-07-31;109,496005;114,742874;92,451587;95,125594;102,427537;65,327357
2002-08-31;110,718175;112,602589;92,190033;93,866872;102,391984;65,679489
2002-09-30;109,553687;112,390782;91,527225;92,923601;101,370945;66,134422
2002-10-31;109,201688;110,643446;94,921056;95,504693;104,237868;69,679365
2002-11-30;108,542718;108,761221;92,32107;93,269082;101,437346;73,531584
2002-12-31;109,420549;110,813646;93,251474;93,924377;101,860845;67,796736
2003-01-31;109,33275;109,541208;91,902293;92,823611;101,305733;72,29443
2003-02-28;110,976117;112,138873;93,024535;91,821032;100,393052;71,340451
2003-03-31;111,385431;109,779507;90,871603;89,952274;97,631076;74,659663
2003-04-30;111,256625;109,983574;95,529429;94,198246;103,170237;74,423735
2003-05-31;110,48181;109,705055;94,127159;90,802941;98,896806;76,685238
2003-06-30;111,295673;108,328887;93,6364;91,390847;99,30581;79,704713
2003-07-31;109,099532;107,640273;95,988017;93,277678;101,013587;79,247203
2003-08-31;105,704338;104,918441;93,588131;89,147564;97,345976;84,458143
2003-09-30;108,461374;107,921808;96,631597;93,404907;101,862879;71,425404
2003-10-31;107,932402;108,328437;97,273935;91,286076;99,753021;68,92163
2003-11-30;109,233026;109,890065;94,008484;89,496247;97,428741;72,538883
2003-12-31;106,520678;108,664228;97,263088;93,311257;101,103043;72,475162
2004-01-31;109,509728;109,461271;99,527988;91,759637;100,376201;69,461573
2004-02-29;106,254851;107,706794;99,249203;91,71842;100,456228;75,627322
2004-03-31;105,831999;110,466161;101,905458;94,276795;102,813452;69,536266
2004-04-30;105,063136;105,718336;99,619107;91,875535;100,658943;67,626684
2004-05-31;103,787796;105,521682;97,22114;88,668019;96,384055;68,96023
2004-06-30;108,588169;110,688808;102,054969;95,644517;104,229871;68,275662
2004-07-31;106,816226;105,603274;100,49575;92,072003;100,105245;66,920443
2004-08-31;106,044422;106,269557;99,477433;92,886603;101,536718;72,005998
2004-09-30;104,388544;105,153991;101,066636;94,306323;102,999492;71,606262
2004-10-31;106,500137;104,327124;98,297931;89,060531;97,488566;72,377563
2004-11-30;103,757567;101,899449;101,461515;93,016084;100,677079;73,030314
2004-12-31;105,305683;104,061247;102,061863;94,123267;101,642255;74,861609
2005-01-31;108,423249;107,246423;98,206144;90,026743;98,77326;76,640774
2005-02-28;103,826608;104,605046;99,634735;90,969097;99,87911;78,573785
2005-03-31;103,125976;105,562388;99,353637;93,196024;101,327375;78,545828
2005-04-30;106,936567;107,179314;98,758539;90,740866;99,748361;82,191398
2005-05-31;106,656156;110,800184;100,064213;92,5398;100,60662;83,715985
2005-06-30;104,532073;106,435778;100,144542;94,486269;102,775651;81,463553
2005-07-31;103,983425;103,244407;99,073146;89,011732;97,800979;82,415422
2005-08-31;103,603148;105,063017;101,749905;93,55072;102,422532;79,938715
2005-09-30;105,316728;104,025891;101,757389;93,638126;102,527656;82,908856
2005-10-31;104,813526;102,523946;100,413902;88,10653;96,379513;81,948368
2005-11-30;105,560424;103,984423;102,532115;93,023536;100,135931;83,102086
2005-12-31;108,297006;105,727655;100,96735;93,355474;100,735835;82,97114
2006-01-31;103,769226;100,940805;101,413571;90,386083;99,409698;85,37999
2006-02-28;104,511174;101,025527;101,826385;89,902179;99,000164;83,420067
2006-03-31;106,297865;99,033324;102,74283;94,995016;103,475728;84,034061
2006-04-30;103,328722;87,790069;100,322749;89,005486;98,182411;84,681625
2006-05-31;102,892229;88,913561;103,541442;95,621209;103,881572;84,953043
2006-06-30;103,198377;90,624876;103,191149;90,745847;98,343674;90,583973
2006-07-31;100,793204;94,262942;102,277473;96,537536;102,47432;86,773747
2006-08-31;103,410933;98,080467;103,153811;93,816277;103,121496;82,175572
2006-09-30;103,111434;102,235317;101,720591;90,654779;99,677654;83,026467
2006-10-31;101,969218;99,820554;101,349143;91,274091;99,586787;81,788401
2006-11-30;104,005967;99,813341;102,65135;95,602977;101,995903;83,670982
2006-12-31;104,723254;98,673854;101,767302;91,269861;98,506448;86,742179
2007-01-31;102,977216;98,80444;103,916456;96,655077;106,720248;84,191372
2007-02-28;105,671582;100,537867;101,510081;95,443424;105,746939;87,494486
2007-03-31;105,862216;100,012957;103,036627;97,275728;106,386908;90,626835
2007-04-30;105,989275;98,990287;102,956913;94,81649;106,195322;91,42604
2007-05-31;104,543045;96,875218;103,481335;96,685507;104,909612;86,926249
2007-06-30;105,895018;101,847018;102,084515;92,886725;100,689556;92,871331
2007-07-31;106,535475;103,554511;101,296902;89,477471;96,891591;90,343058
2007-08-31;104,914672;100,226756;104,541624;93,795325;103,826978;86,367273
2007-09-30;104,312081;100,15378;100,520126;88,162244;97,443161;93,911305
2007-10-31;104,064702;100,58317;104,290093;100,649856;109,933899;95,984873
2007-11-30;102,976426;101,368263;103,513663;98,625395;103,860042;97,428428
2007-12-31;101,506052;99,379457;100,408279;96,032775;101,733364;88,863497
2008-01-31;101,345024;100,233771;101,456046;117,030417;109,061246;90,868083
2008-02-29;102,765167;100,303339;102,963518;111,209;109,740321;87,653404
2008-03-31;97,546512;99,554549;99,617971;104,08646;102,213805;85,513673
2008-04-30;103,981743;100,37846;103,434668;110,019784;110,946773;83,470051
2008-05-31;102,643554;98,890043;102,146044;109,439915;100,86031;87,961539
2008-06-30;101,073793;99,682522;101,525039;103,959785;95,12758;78,323495
2008-07-31;104,012555;100,194801;102,729615;109,974272;100,381946;86,900145
2008-08-31;102,013326;96,368839;99,383905;104,721118;101,345836;86,953796
2008-09-30;102,722925;97,168515;103,962942;105,459707;106,767872;84,189537
2008-10-31;103,132307;96,142766;103,301509;110,75613;105,491934;87,131108
2008-11-30;102,108086;95,141063;100,317468;98,881953;94,40513;85,860067
2008-12-31;102,796984;95,96845;105,346076;106,596697;101,365782;91,17536
2009-01-31;103,208391;95,285229;103,924675;105,368793;90,506346;86,694694
2009-02-28;100,780685;94,454657;104,190483;106,650035;96,358297;90,112219
2009-03-31;100,489475;94,842639;103,481429;103,10445;91,007757;87,976471
2009-04-30;100,780726;97,301351;104,468718;113,584726;90,886212;88,843453
2009-05-31;101,043322;97,343965;102,217556;103,414531;97,056523;87,606413
2009-06-30;100,743538;95,072017;103,589585;107,597729;101,392858;86,247509
2009-07-31;99,810459;96,348877;106,963969;107,377854;96,128459;87,298727
2009-08-31;102,557744;97,756808;104,62371;103,183624;84,542028;92,524857
2009-09-30;101,802492;96,149088;104,266074;112,320168;87,186735;92,713035
2009-10-31;101,944802;97,068559;103,913447;108,54578;92,006167;88,668701
2009-11-30;102,663495;99,720298;104,672689;111,896581;93,232458;90,921563
2009-12-31;101,837795;97,466975;105,869628;108,880951;88,634865;89,882277
2010-01-31;102,652183;94,72598;103,523914;107,242667;87,876005;88,74445
2010-02-28;101,307953;97,811104;103,881093;110,37549;87,520236;89,189213
2010-03-31;102,8348;98,187259;105,412947;115,571038;94,924544;88,088866
2010-04-30;101,725723;96,862214;103,644504;109,638436;94,313934;93,900724
2010-05-31;104,009633;100,365779;103,379221;111,547418;97,991271;90,820611
2010-06-30;104,818948;99,771625;105,399671;112,433676;99,274067;91,401455
2010-07-31;103,105397;97,51851;103,815403;108,248717;91,21553;95,076182
2010-08-31;104,292971;100,54389;103,323282;114,042511;92,003145;88,225976
2010-09-30;105,462537;99,589798;105,00847;111,993242;101,225836;89,756587
2010-10-31;103,797326;99,744584;104,545229;109,102311;92,627138;91,072103
2010-11-30;102,858278;98,87669;105,571665;114,900477;104,34327;91,285346
2010-12-31;106,643653;102,002417;105,759733;117,186863;104,256156;101,781535
2011-01-31;106,821554;101,794941;107,526882;114,731383;101,174651;94,562341
2011-02-28;107,076655;101,499218;105,906637;114,784671;98,405547;92,364872
2011-03-31;106,819412;100,156098;109,58152;115,139844;100,212845;93,305943
2011-04-30;104,869699;99,690141;109,064136;109,58382;87,10058;89,863887
2011-05-31;112,069688;104,413962;111,29005;134,567454;99,078655;98,743543
2011-06-30;102,032015;96,439814;109,276053;117,456071;97,265399;86,300747
2011-07-31;107,438681;99,317136;108,359928;108,85352;81,741817;92,953747
2011-08-31;106,549232;99,271514;111,978473;118,829522;104,701292;95,674834
2011-09-30;102,400276;101,397257;111,470579;120,233674;102,49027;94,731242
2011-10-31;102,955806;100,232248;108,132138;113,202437;97,633947;94,776971
2011-11-30;104,557094;98,739552;110,41077;117,348393;103,207829;92,256839
2011-12-31;103,413969;104,156423;108,621622;109,853827;101,637332;102,771624
2012-01-31;101,341741;100,289845;107,886645;118,190185;96,89791;91,526371
2012-02-29;102,204592;98,625016;111,361921;121,3935;100,76587;92,24473
2012-03-31;102,747622;100,140869;107,923074;113,48857;101,721613;103,636363
2012-04-30;102,724816;99,02215;105,827565;109,195718;98,887879;90,334046
2012-05-31;100,565224;96,873648;107,420717;110,33774;102,582518;92,792578
2012-06-30;102,900793;98,931789;108,147662;109,790973;97,648578;93,730381
2012-07-31;99,248866;100,096941;106,331259;112,323964;106,445254;92,309445
2012-08-31;99,775065;96,997702;107,105419;110,876958;101,659927;93,433004
2012-09-30;100,161196;98,142384;104,080411;106,097205;92,00932;98,010632
2012-10-31;100,575125;99,546179;108,024045;115,341278;105,043083;96,844768
2012-11-30;99,027548;100,832273;106,411539;110,22755;102,214427;97,169935
2012-12-31;98,753943;99,495491;103,792455;104,759174;100,180378;90,83661
2013-01-31;98,10344;99,738893;107,092932;108,346079;107,71212;96,705512
2013-02-28;98,957496;101,383174;103,477792;106,517826;97,701093;97,255526
2013-03-31;97,622123;100,348723;104,753351;104,869792;97,305139;99,777434
2013-04-30;97,28753;97,909977;105,593358;105,941179;100,774223;101,188004
2013-05-31;98,165121;97,539805;104,704793;105,931568;88,96182;99,849238
2013-06-30;96,865289;97,824061;101,761228;100,528146;93,354053;97,133908
2013-07-31;100,161232;98,710126;105,296231;110,875229;73,172125;100,445878
2013-08-31;95,250265;99,518751;104,052364;99,31658;102,231003;95,076987
2013-09-30;96,352153;97,473001;103,548615;101,560157;98,578899;93,359279
2013-10-31;97,926126;97,222022;104,219995;108,357466;99,181027;98,158048
2013-11-30;96,196919;96,050333;103,439951;102,880425;88,567889;98,145861
2013-12-31;96,753743;92,492632;103,488058;105,81782;92,529634;96,501304
2014-01-31;97,915336;94,496449;103,886983;98,939945;94,507893;99,927935
2014-02-28;97,850163;96,218931;104,321958;97,964624;97,583568;101,781601
2014-03-31;96,637046;91,682305;102,179194;96,007424;94,322259;98,51833
2014-04-30;98,970518;99,114044;103,238918;103,509366;102,505698;98,061156
2014-05-31;96,548653;100,008804;102,978953;96,572733;93,388635;99,364112
2014-06-30;97,189452;99,696935;102,547831;99,881614;94,860005;103,975321
2014-07-31;98,969311;98,589854;101,719558;100,656144;94,338319;106,030342
2014-08-31;97,727804;97,23174;100,433549;92,309008;87,719447;95,435641
2014-09-30;96,84534;98,309254;102,582926;101,422229;98,127633;102,004735
2014-10-31;99,847721;97,285201;101,676579;104,646426;101,58877;105,911929
2014-11-30;99,815165;97,771005;99,775044;98,052583;104,48642;111,18399
2014-12-31;98,133288;97,135388;102,240103;102,012908;102,74767;103,897852
2015-01-31;99,849634;98,309326;99,819704;97,008371;97,966936;104,012528
2015-02-28;97,997586;97,530748;98,090354;96,359716;100,525422;102,621562
2015-03-31;103,07467;99,108857;99,243069;98,201677;99,11328;104,884491
2015-04-30;97,368439;100,054519;102,28279;103,573723;104,239678;103,819997
2015-05-31;95,769306;98,489272;98,047844;95,605433;101,867488;99,4766
2015-06-30;103,159141;102,00448;101,028356;99,883911;102,75064;110,090347
2015-07-31;97,557249;99,933864;102,173261;106,02037;107,324682;95,421746
2015-08-31;101,820009;103,005524;99,077656;101,949455;95,830816;98,654355
2015-09-30;102,81748;99,178464;100,125424;101,697433;95,672916;95,583234
2015-10-31;99,288089;100,644766;99,823717;96,667544;93,888699;89,709831
2015-11-30;99,351002;101,085395;99,926718;98,545731;98,42009;92,606626
2015-12-31;101,089336;99,541289;100,672952;105,344764;102,65389;103,820941
2016-01-31;101,557192;99,325687;98,607353;97,153774;99,000834;93,891628
2016-02-29;101,278361;95,720315;101,984748;103,437182;101,093758;94,454187
2016-03-31;98,520807;95,991526;101,022546;102,952435;97,630803;91,212565
2016-04-30;102,724806;96,698997;97,755391;98,175603;96,572216;101,564377
2016-05-31;103,330518;96,539969;99,002799;101,990079;100,382564;104,53916
2016-06-30;101,130461;92,732584;99,291102;103,028769;102,512096;99,390727
2016-07-31;101,109296;92,683493;97,090617;96,197914;92,551994;97,96444
2016-08-31;99,899008;96,329434;99,906502;104,483129;102,079363;103,272925
2016-09-30;100,638251;99,444453;98,484686;100,878491;101,425427;106,991325
2016-10-31;99,360885;97,606394;97,469743;94,364939;100,769718;102,795401
2016-11-30;98,63057;95,795275;98,14568;100,670184;98,629068;101,336756
2016-12-31;103,106791;98,474005;97,289523;104,364988;103,125614;107,037681
2017-01-31;98,788976;97,534126;97,262154;97,41657;101,033936;101,717054
2017-02-28;99,008338;97,085423;96,534677;92,776094;101,976509;103,104195
2017-03-31;99,45735;95,719062;96,044732;97,882797;102,997153;104,556828
2017-04-30;98,406417;91,512079;96,088684;94,46737;101,946189;94,673267
2017-05-31;99,38377;93,231341;98,250004;101,127203;104,117091;97,812312
2017-06-30;99,541435;92,120226;97,115415;103,260469;101,281948;104,858983
2017-07-31;98,66091;95,383098;94,824942;94,241198;99,609816;100,000896
2017-08-31;99,558242;95,663754;96,841567;99,56399;104,373282;101,818306
2017-09-30;101,830745;98,286672;97,572752;100,670657;98,528453;97,87371
2017-10-31;100,27908;95,879185;95,20833;96,517416;100,769251;95,381557
2017-11-30;102,329992;97,576037;97,405881;100,259924;99,927629;101,257031
2017-12-31;101,9137;97,893418;96,176211;94,215294;105,043435;94,053716
2018-01-31;108,864425;98,514212;97,225213;100,278426;102,5179;97,393505
2018-02-28;110,985477;100,827033;96,616796;100,946085;100,537106;93,213738
2018-03-31;111,808756;105,086434;98,460808;103,676846;109,451367;96,72929
2018-04-30;111,044662;102,435047;95,395279;99,476608;106,803439;95,604168
2018-05-31;109,552305;101,264578;97,087162;106,173818;112,589535;94,86382
2018-06-30;111,55605;101,435514;96,782527;101,027109;105,299333;88,324979
2018-07-31;111,34902;100,724388;97,187318;99,730072;113,709995;94,337011
2018-08-31;109,381503;95,430453;96,907784;101,735222;112,062401;92,370755
2018-09-30;108,84471;96,695388;94,986991;94,944991;105,991314;93,487546
2018-10-31;110,022552;97,422238;97,639377;104,543965;107,58743;96,891228
2018-11-30;111,617379;98,147397;97,063086;95,892366;109,382194;93,129584
2018-12-31;109,81041;97,624479;95,180475;94,102224;103,535649;93,862224
2019-01-31;109,90427;97,938371;96,623953;102,001292;107,005422;96,478537
2019-02-28;109,237994;99,064917;95,897095;94,795185;106,498655;96,397281
2019-03-31;109,429196;97,946779;93,947347;93,056192;106,384974;88,797692
2019-04-30;110,356378;98,642163;97,770787;100,604291;98,663562;92,339853
2019-05-31;108,48242;99,385701;95,836204;96,657201;110,096253;96,45369
2019-06-30;108,353947;99,809444;93,738848;90,059635;104,661992;93,690763
2019-07-31;108,373777;97,014761;96,823162;112,167018;113,188668;94,052179
