;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1996-03-31;114,273442;114,724126;74,005826;94,415064;107,363679;72,145934
1996-04-30;104,008649;113,678486;79,950745;87,102987;109,680906;86,315484
1996-05-31;110,811903;112,211035;78,781684;84,75177;105,750455;84,071751
1996-06-30;112,088381;111,256423;74,716045;100,743209;108,268087;97,006465
1996-07-31;115,041839;111,409574;75,830993;96,097946;64,598439;67,461353
1996-08-31;120,247593;108,95395;83,058834;76,989808;101,478665;56,203782
1996-09-30;115,427732;115,041929;72,987545;100,801101;109,03495;58,132356
1996-10-31;116,169878;121,141472;86,074265;91,643376;100,897035;61,920854
1996-11-30;106,416464;115,819276;73,97182;91,979332;92,327475;56,090916
1996-12-31;112,075595;123,752384;73,036774;95,730863;78,063312;64,699021
1997-01-31;112,489351;116,412877;79,210041;80,991118;99,740901;68,331343
1997-02-28;102,996255;106,635585;76,423213;81,356402;101,803147;61,407019
1997-03-31;113,009727;118,723843;71,458285;94,795476;107,796262;74,630691
1997-04-30;119,489085;121,585465;81,347899;92,52293;116,505746;78,68996
1997-05-31;111,840492;116,945345;80,26447;84,428942;105,34764;75,400716
1997-06-30;109,14635;116,417199;77,187902;103,19072;110,898411;84,723571
1997-07-31;109,195655;112,336085;78,508415;95,749415;64,364152;66,921906
1997-08-31;110,992427;105,799615;80,161253;75,614707;99,666178;75,213163
1997-09-30;109,619327;115,826738;79,230891;102,103436;110,443666;70,091087
1997-10-31;112,069062;120,499271;89,482622;94,102169;103,604107;71,074598
1997-11-30;107,312356;113,874961;76,775372;92,969168;93,321051;66,86328
1997-12-31;111,082473;127,80865;80,259367;102,495484;83,579496;68,09021
1998-01-31;114,098869;116,223718;79,657828;82,098518;101,104672;70,609287
1998-02-28;99,353417;108,803704;78,662942;81,516999;102,004104;63,601
1998-03-31;115,327936;124,215998;77,599287;101,210688;115,091296;75,758442
1998-04-30;112,101856;123,623446;82,134798;91,859122;115,669876;78,43689
1998-05-31;109,382615;120,543181;77,562851;82,595235;103,05959;91,781684
1998-06-30;105,676165;119,963742;79,559961;107,638786;115,678714;88,791178
1998-07-31;106,845346;116,155154;83,999128;98,830449;66,435262;75,444906
1998-08-31;111,666029;114,410123;82,002342;78,680508;103,707135;71,353741
1998-09-30;107,497199;119,755526;79,044096;105,369622;113,97665;56,648962
1998-10-31;108,268702;126,470996;85,315167;91,743137;101,006869;68,102534
1998-11-30;106,976846;119,451725;82,412464;93,865997;94,221279;62,039932
1998-12-31;109,295771;121,584571;87,775113;101,19746;82,521026;66,814712
1999-01-31;110,682382;115,843841;82,849353;78,458671;96,622188;64,051553
1999-02-28;99,743399;107,027139;80,103402;81,775046;102,327009;56,645308
1999-03-31;114,659632;124,487868;86,302778;103,346399;117,519913;70,005626
1999-04-30;105,188234;115,196161;83,660421;88,528834;111,476344;72,073572
1999-05-31;110,931507;118,97597;81,079613;83,697204;104,434594;76,15795
