;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1996-03-31;109,475913;109,419332;77,152816;89,307041;97,388766;67,293538
1996-04-30;109,575089;110,431383;77,20522;89,485208;97,557152;67,268427
1996-05-31;109,668637;111,728961;77,246359;89,674267;97,734266;66,939768
1996-06-30;109,740582;113,060268;77,29513;89,85959;97,90349;66,236258
1996-07-31;109,780688;114,244724;77,373715;90,059535;98,100686;65,227263
1996-08-31;109,787365;115,27356;77,470565;90,229644;98,289874;64,445314
1996-09-30;109,781931;116,207579;77,571594;90,364411;98,449813;64,480669
1996-10-31;109,781803;116,878787;77,66758;90,478046;98,584692;65,333593
1996-11-30;109,807521;117,190902;77,75534;90,565657;98,690538;66,774746
1996-12-31;109,863014;117,259084;77,856482;90,665156;98,807195;68,253763
1997-01-31;109,933526;117,113787;77,978094;90,776899;98,936617;69,3918
1997-02-28;110,000253;116,780008;78,11367;90,861967;99,038371;70,120286
1997-03-31;110,065138;116,249702;78,27684;90,971728;99,167756;70,682633
1997-04-30;110,116569;115,627586;78,47063;91,124146;99,337768;71,369369
1997-05-31;110,142151;115,140752;78,66868;91,235292;99,44796;72,222491
1997-06-30;110,139562;114,795834;78,858823;91,326016;99,524192;73,365487
1997-07-31;110,105852;114,5937;79,054085;91,449033;99,638646;74,537851
1997-08-31;110,036287;114,510469;79,266662;91,608437;99,803916;75,338072
1997-09-30;109,924087;114,651557;79,490333;91,824677;100,034406;75,529787
1997-10-31;109,792472;115,051311;79,695319;92,04947;100,272049;75,218081
1997-11-30;109,66671;115,748426;79,877095;92,240216;100,470337;74,426237
1997-12-31;109,547707;116,609624;80,059053;92,401347;100,643917;73,462797
1998-01-31;109,42701;117,546601;80,247274;92,490993;100,760582;72,937016
1998-02-28;109,30193;118,32535;80,44085;92,528388;100,829055;73,026189
1998-03-31;109,162438;118,857668;80,642413;92,575334;100,89906;73,728835
1998-04-30;109,00771;119,200203;80,852391;92,606303;100,936377;74,625987
1998-05-31;108,841178;119,402235;81,075824;92,633896;100,954005;75,329621
1998-06-30;108,663289;119,627987;81,322955;92,712764;101,013256;75,497705
1998-07-31;108,484525;119,932931;81,582739;92,78076;101,065088;74,995944
1998-08-31;108,32395;120,171613;81,841202;92,783223;101,072203;73,977556
1998-09-30;108,200104;120,146852;82,112934;92,736072;101,036031;72,611846
1998-10-31;108,12006;119,814831;82,41388;92,649554;100,950289;71,260918
1998-11-30;108,078719;119,189385;82,74653;92,566905;100,865765;70,167172
1998-12-31;108,060105;118,412711;83,082466;92,498805;100,803247;69,287052
1999-01-31;108,060464;117,797775;83,38811;92,442026;100,764154;68,179404
1999-02-28;108,078533;117,418132;83,674279;92,444163;100,789653;66,975827
1999-03-31;108,131219;117,065677;83,950646;92,475387;100,837959;65,959043
1999-04-30;108,211852;116,454355;84,20636;92,48381;100,85208;65,357804
1999-05-31;108,317845;115,572101;84,455103;92,529562;100,901704;65,504961
1999-06-30;108,436646;114,436156;84,713396;92,633428;101,011131;66,420816
1999-07-31;108,561168;113,18907;84,97447;92,735462;101,115256;67,865928
1999-08-31;108,679815;112,191891;85,240853;92,826046;101,209626;69,404288
1999-09-30;108,777964;111,632777;85,514925;92,893751;101,281651;70,525896
1999-10-31;108,841128;111,534015;85,790326;92,90876;101,294055;71,029002
1999-11-30;108,851331;111,717249;86,06175;92,866013;101,244285;70,919873
1999-12-31;108,795451;112,087951;86,328954;92,761909;101,13782;70,627452
2000-01-31;108,67299;112,359039;86,613513;92,650682;101,033565;70,449495
2000-02-29;108,489671;112,563427;86,925051;92,579719;100,97137;70,389071
2000-03-31;108,237934;112,843469;87,24257;92,490297;100,882132;70,241847
2000-04-30;107,925142;113,327932;87,559919;92,395709;100,784394;70,078974
2000-05-31;107,567587;114,063824;87,87897;92,339867;100,728997;69,730206
2000-06-30;107,18547;115,131901;88,171974;92,262922;100,65143;69,301023
2000-07-31;106,820606;116,453252;88,429929;92,186103;100,569581;69,16946
2000-08-31;106,506256;117,667413;88,662645;92,143857;100,514582;69,387044
2000-09-30;106,272558;118,495468;88,857576;92,093142;100,448671;69,842567
2000-10-31;106,128277;118,848025;89,019806;92,054472;100,40143;70,078605
2000-11-30;106,066626;118,77094;89,162131;92,059558;100,404772;69,722627
2000-12-31;106,098438;118,488322;89,281696;92,100985;100,448507;68,737723
2001-01-31;106,245731;118,287092;89,377192;92,170214;100,519321;67,437379
2001-02-28;106,517405;118,464182;89,444681;92,256939;100,605683;66,37043
2001-03-31;106,912442;119,030146;89,492689;92,371878;100,723724;65,909494
2001-04-30;107,414374;119,84538;89,542326;92,521391;100,881066;66,262013
2001-05-31;108,001388;120,587057;89,597863;92,660765;101,024299;67,33376
