date;name;value;type
2020-01-02;rjdverse;1952.59619117343;t
2020-01-02;prophet;1932.47224584666;t
2020-01-02;tbats;1903.69971881058;t
2020-01-02;mstl;1951.6773803628;t
2020-01-02;stl;1951.6773803628;t
2020-01-02;stl_stats;1953.17604276515;t
2020-01-02;x11;1965.16223215866;t
2020-01-03;rjdverse;1952.35591189066;t
2020-01-03;prophet;1932.37295718177;t
2020-01-03;tbats;1996.66770306307;t
2020-01-03;mstl;1951.52465673092;t
2020-01-03;stl;1951.52465673092;t
2020-01-03;stl_stats;1952.71276748004;t
2020-01-03;x11;1965.06593098235;t
2020-01-04;rjdverse;1952.10565953264;t
2020-01-04;prophet;1932.27366851689;t
2020-01-04;tbats;2045.59987800034;t
2020-01-04;mstl;1951.37193309903;t
2020-01-04;stl;1951.37193309903;t
2020-01-04;stl_stats;1952.38116916737;t
2020-01-04;x11;1964.96650958055;t
2020-01-05;rjdverse;1951.84095792155;t
2020-01-05;prophet;1932.174379852;t
2020-01-05;tbats;2054.27910794175;t
2020-01-05;mstl;1951.21920946715;t
2020-01-05;stl;1951.21920946715;t
2020-01-05;stl_stats;1952.23276498893;t
2020-01-05;x11;1964.86394331459;t
2020-01-06;rjdverse;1951.5707575551;t
2020-01-06;prophet;1932.07509118712;t
2020-01-06;tbats;1996.59445295692;t
2020-01-06;mstl;1951.06648583526;t
2020-01-06;stl;1951.06648583526;t
2020-01-06;stl_stats;1951.88912713025;t
2020-01-06;x11;1964.75821071508;t
2020-01-07;rjdverse;1951.29685817016;t
2020-01-07;prophet;1931.97580252223;t
2020-01-07;tbats;1997.38407753136;t
2020-01-07;mstl;1950.91376220338;t
2020-01-07;stl;1950.91376220338;t
2020-01-07;stl_stats;1951.62558772296;t
2020-01-07;x11;1964.64929565222;t
2020-01-08;rjdverse;1951.02402006202;t
2020-01-08;prophet;1931.87651385735;t
2020-01-08;tbats;1871.36517130119;t
2020-01-08;mstl;1950.76103857149;t
2020-01-08;stl;1950.76103857149;t
2020-01-08;stl_stats;1951.63434642701;t
2020-01-08;x11;1964.53718020315;t
2020-01-09;rjdverse;1950.76229743627;t
2020-01-09;prophet;1931.77722519247;t
2020-01-09;tbats;1908.66212923394;t
2020-01-09;mstl;1950.6083149396;t
2020-01-09;stl;1950.6083149396;t
2020-01-09;stl_stats;1951.59796057337;t
2020-01-09;x11;1964.42184371867;t
2020-01-10;rjdverse;1950.50754031313;t
2020-01-10;prophet;1931.67793652758;t
2020-01-10;tbats;1948.02491731383;t
2020-01-10;mstl;1950.45559130772;t
2020-01-10;stl;1950.45559130772;t
2020-01-10;stl_stats;1951.77304145264;t
2020-01-10;x11;1964.30326602704;t
2020-01-11;rjdverse;1950.25092840741;t
2020-01-11;prophet;1931.5786478627;t
2020-01-11;tbats;1983.67018723731;t
2020-01-11;mstl;1950.30286767583;t
2020-01-11;stl;1950.30286767583;t
2020-01-11;stl_stats;1951.68527875641;t
2020-01-11;x11;1964.18142732985;t
2020-01-12;rjdverse;1949.98909402307;t
2020-01-12;prophet;1931.47935919781;t
2020-01-12;tbats;2027.84535724703;t
2020-01-12;mstl;1950.15014404395;t
2020-01-12;stl;1950.15014404395;t
2020-01-12;stl_stats;1951.94509375605;t
2020-01-12;x11;1964.05630842323;t
2020-01-13;rjdverse;1949.72099840265;t
2020-01-13;prophet;1931.38007053293;t
2020-01-13;tbats;1992.73031454853;t
2020-01-13;mstl;1949.99742041206;t
2020-01-13;stl;1949.99742041206;t
2020-01-13;stl_stats;1950.72086786742;t
2020-01-13;x11;1963.92789047459;t
2020-01-14;rjdverse;1949.44611192654;t
2020-01-14;prophet;1931.28078186804;t
2020-01-14;tbats;1976.88018635873;t
2020-01-14;mstl;1949.84469678018;t
2020-01-14;stl;1949.84469678018;t
2020-01-14;stl_stats;1950.82558772296;t
2020-01-14;x11;1963.79615633834;t
2020-01-15;rjdverse;1949.16346641313;t
2020-01-15;prophet;1931.18149320316;t
2020-01-15;tbats;1979.54341555554;t
2020-01-15;mstl;1949.69197314829;t
2020-01-15;stl;1949.69197314829;t
2020-01-15;stl_stats;1950.59051081057;t
2020-01-15;x11;1963.66109172416;t
2020-01-16;rjdverse;1948.87527081201;t
2020-01-16;prophet;1931.08220453827;t
2020-01-16;tbats;1931.56850591684;t
2020-01-16;mstl;1949.5392495164;t
2020-01-16;stl;1949.5392495164;t
2020-01-16;stl_stats;1950.4417961898;t
2020-01-16;x11;1963.52268560938;t
2020-01-17;rjdverse;1948.58820160052;t
2020-01-17;prophet;1930.98291587339;t
2020-01-17;tbats;1938.29938243228;t
2020-01-17;mstl;1949.38652588452;t
2020-01-17;stl;1949.38652588452;t
2020-01-17;stl_stats;1950.22783597319;t
2020-01-17;x11;1963.38093109135;t
2020-01-18;rjdverse;1948.30337514647;t
2020-01-18;prophet;1930.88362720851;t
2020-01-18;tbats;1976.247896605;t
2020-01-18;mstl;1949.23380225263;t
2020-01-18;stl;1949.23380225263;t
2020-01-18;stl_stats;1950.14007327696;t
2020-01-18;x11;1963.2358229438;t
2020-01-19;rjdverse;1948.01678904157;t
2020-01-19;prophet;1930.78433854362;t
2020-01-19;tbats;2007.86117681835;t
2020-01-19;mstl;1949.08107862075;t
2020-01-19;stl;1949.08107862075;t
2020-01-19;stl_stats;1950.37249101633;t
2020-01-19;x11;1963.08735795354;t
2020-01-20;rjdverse;1947.72632527048;t
2020-01-20;prophet;1930.68504987874;t
2020-01-20;tbats;2000.0448936953;t
2020-01-20;mstl;1948.92835498886;t
2020-01-20;stl;1948.92835498886;t
2020-01-20;stl_stats;1949.91652439053;t
2020-01-20;x11;1962.93553200848;t
2020-01-21;rjdverse;1947.42753436379;t
2020-01-21;prophet;1930.58576121385;t
2020-01-21;tbats;1998.09109704461;t
2020-01-21;mstl;1948.77563135698;t
2020-01-21;stl;1948.77563135698;t
2020-01-21;stl_stats;1949.69682059967;t
2020-01-21;x11;1962.78034027681;t
2020-01-22;rjdverse;1947.11748195539;t
2020-01-22;prophet;1930.48647254897;t
2020-01-22;tbats;2001.88135071183;t
2020-01-22;mstl;1948.62290772509;t
2020-01-22;stl;1948.62290772509;t
2020-01-22;stl_stats;1949.70283957769;t
2020-01-22;x11;1962.62177927591;t
2020-01-23;rjdverse;1946.79735206849;t
2020-01-23;prophet;1930.38718388408;t
2020-01-23;tbats;1976.63007685154;t
2020-01-23;mstl;1948.4701840932;t
2020-01-23;stl;1948.4701840932;t
2020-01-23;stl_stats;1949.57056331309;t
2020-01-23;x11;1962.45984669572;t
2020-01-24;rjdverse;1946.4702603097;t
2020-01-24;prophet;1930.2878952192;t
2020-01-24;tbats;1976.85148554075;t
2020-01-24;mstl;1948.31746046132;t
2020-01-24;stl;1948.31746046132;t
2020-01-24;stl_stats;1949.30180857593;t
2020-01-24;x11;1962.29454438697;t
2020-01-25;rjdverse;1946.13862507969;t
2020-01-25;prophet;1930.18860655431;t
2020-01-25;tbats;1971.97172824789;t
2020-01-25;mstl;1948.16473682943;t
2020-01-25;stl;1948.16473682943;t
2020-01-25;stl_stats;1948.4633609482;t
2020-01-25;x11;1962.12587481009;t
2020-01-26;rjdverse;1945.8034646249;t
2020-01-26;prophet;1930.08931788943;t
2020-01-26;tbats;1998.43385040159;t
2020-01-26;mstl;1948.01201319755;t
2020-01-26;stl;1948.01201319755;t
2020-01-26;stl_stats;1948.39440882455;t
2020-01-26;x11;1961.95383839333;t
2020-01-27;rjdverse;1945.46763782136;t
2020-01-27;prophet;1929.99002922454;t
2020-01-27;tbats;1942.61755541482;t
2020-01-27;mstl;1947.85928956566;t
2020-01-27;stl;1947.85928956566;t
2020-01-27;stl_stats;1948.10282576039;t
2020-01-27;x11;1961.77843965956;t
2020-01-28;rjdverse;1945.12758247125;t
2020-01-28;prophet;1929.89074055966;t
2020-01-28;tbats;1998.95249093883;t
2020-01-28;mstl;1947.70656593378;t
2020-01-28;stl;1947.70656593378;t
2020-01-28;stl_stats;1948.05572470926;t
2020-01-28;x11;1961.59968708199;t
2020-01-29;rjdverse;1944.77627445034;t
2020-01-29;prophet;1929.79145189478;t
2020-01-29;tbats;1959.2095623605;t
2020-01-29;mstl;1947.55384230189;t
2020-01-29;stl;1947.55384230189;t
2020-01-29;stl_stats;1948.09462039961;t
2020-01-29;x11;1961.41758847493;t
2020-01-30;rjdverse;1944.41992298217;t
2020-01-30;prophet;1929.69216322989;t
2020-01-30;tbats;1895.02782412826;t
2020-01-30;mstl;1947.40111867;t
2020-01-30;stl;1947.40111867;t
2020-01-30;stl_stats;1947.84179618981;t
2020-01-30;x11;1961.23215236276;t
2020-01-31;rjdverse;1944.07436697597;t
2020-01-31;prophet;1929.59287456501;t
2020-01-31;tbats;1842.17653413711;t
2020-01-31;mstl;1947.24839503812;t
2020-01-31;stl;1947.24839503812;t
2020-01-31;stl_stats;1947.81413734305;t
2020-01-31;x11;1961.04338707768;t
2020-02-01;rjdverse;1943.74585683894;t
2020-02-01;prophet;1929.49358590012;t
2020-02-01;tbats;1899.46269183686;t
2020-02-01;mstl;1947.09567140623;t
2020-02-01;stl;1947.09567140623;t
2020-02-01;stl_stats;1947.64692259203;t
2020-02-01;x11;1960.85129896844;t
2020-02-02;rjdverse;1943.42649107919;t
2020-02-02;prophet;1929.39429723524;t
2020-02-02;tbats;1967.02411056848;t
2020-02-02;mstl;1946.94294777435;t
2020-02-02;stl;1946.94294777435;t
2020-02-02;stl_stats;1947.62454581085;t
2020-02-02;x11;1960.65590022713;t
2020-02-03;rjdverse;1943.11223917731;t
2020-02-03;prophet;1929.29500857035;t
2020-02-03;tbats;1904.94240786967;t
2020-02-03;mstl;1946.79022414246;t
2020-02-03;stl;1946.79022414246;t
2020-02-03;stl_stats;1947.18501754121;t
2020-02-03;x11;1960.45720366549;t
2020-02-04;rjdverse;1942.80254588095;t
2020-02-04;prophet;1929.19571990547;t
2020-02-04;tbats;1935.54258753936;t
2020-02-04;mstl;1946.63750051058;t
2020-02-04;stl;1946.63750051058;t
2020-02-04;stl_stats;1946.89408087364;t
2020-02-04;x11;1960.25522446462;t
2020-02-05;rjdverse;1942.49225551507;t
2020-02-05;prophet;1929.09643124058;t
2020-02-05;tbats;1932.77957254959;t
2020-02-05;mstl;1946.48477687869;t
2020-02-05;stl;1946.48477687869;t
2020-02-05;stl_stats;1946.88914094756;t
2020-02-05;x11;1960.04998070961;t
2020-02-06;rjdverse;1942.18353831017;t
2020-02-06;prophet;1928.9971425757;t
2020-02-06;tbats;1887.29538529184;t
2020-02-06;mstl;1946.33205324681;t
2020-02-06;stl;1946.33205324681;t
2020-02-06;stl_stats;1946.89659071035;t
2020-02-06;x11;1959.84149500577;t
2020-02-07;rjdverse;1941.88561927801;t
2020-02-07;prophet;1928.89785391081;t
2020-02-07;tbats;1891.75648485612;t
2020-02-07;mstl;1946.17932961492;t
2020-02-07;stl;1946.17932961492;t
2020-02-07;stl_stats;1946.83331542524;t
2020-02-07;x11;1959.62979361386;t
2020-02-08;rjdverse;1941.60256923657;t
2020-02-08;prophet;1928.79856524593;t
2020-02-08;tbats;1898.02580044441;t
2020-02-08;mstl;1946.02660598303;t
2020-02-08;stl;1946.02660598303;t
2020-02-08;stl_stats;1946.40582670162;t
2020-02-08;x11;1959.41490376993;t
2020-02-09;rjdverse;1941.33100157298;t
2020-02-09;prophet;1928.69927658105;t
2020-02-09;tbats;1979.36491291488;t
2020-02-09;mstl;1945.87388235115;t
2020-02-09;stl;1945.87388235115;t
2020-02-09;stl_stats;1946.43550471496;t
2020-02-09;x11;1959.19685683583;t
2020-02-10;rjdverse;1941.06769773611;t
2020-02-10;prophet;1928.59998791616;t
2020-02-10;tbats;1912.67324549403;t
2020-02-10;mstl;1945.68496013381;t
2020-02-10;stl;1945.68496013381;t
2020-02-10;stl_stats;1945.93296274669;t
2020-02-10;x11;1958.97568545411;t
2020-02-11;rjdverse;1940.81420376325;t
2020-02-11;prophet;1928.50069925128;t
2020-02-11;tbats;1891.20217364773;t
2020-02-11;mstl;1945.49603791648;t
2020-02-11;stl;1945.49603791648;t
2020-02-11;stl_stats;1945.62832744899;t
2020-02-11;x11;1958.75142166498;t
2020-02-12;rjdverse;1940.57188802918;t
2020-02-12;prophet;1928.40141058639;t
2020-02-12;tbats;1881.83783594264;t
2020-02-12;mstl;1945.30711569914;t
2020-02-12;stl;1945.30711569914;t
2020-02-12;stl_stats;1945.87818204345;t
2020-02-12;x11;1958.52409806222;t
2020-02-13;rjdverse;1940.34111750693;t
2020-02-13;prophet;1928.30212192151;t
2020-02-13;tbats;1866.537728191;t
2020-02-13;mstl;1945.11819348181;t
2020-02-13;stl;1945.11819348181;t
2020-02-13;stl_stats;1945.6308372857;t
2020-02-13;x11;1958.29374573792;t
2020-02-14;rjdverse;1940.11699616373;t
2020-02-14;prophet;1928.20283325662;t
2020-02-14;tbats;1972.58838084712;t
2020-02-14;mstl;1944.92927126447;t
2020-02-14;stl;1944.92927126447;t
2020-02-14;stl_stats;1945.23800595787;t
2020-02-14;x11;1958.06039485256;t
2020-02-15;rjdverse;1939.89385449013;t
2020-02-15;prophet;1928.10354459174;t
2020-02-15;tbats;1909.8159176805;t
2020-02-15;mstl;1944.74034904714;t
2020-02-15;stl;1944.74034904714;t
2020-02-15;stl_stats;1945.70719656463;t
2020-02-15;x11;1957.82407720502;t
2020-02-16;rjdverse;1939.67747334395;t
2020-02-16;prophet;1928.00425592685;t
2020-02-16;tbats;1946.50812809944;t
2020-02-16;mstl;1944.5514268298;t
2020-02-16;stl;1944.5514268298;t
2020-02-16;stl_stats;1945.83824444099;t
2020-02-16;x11;1957.58482636081;t
2020-02-17;rjdverse;1939.47571534943;t
2020-02-17;prophet;1927.90496726197;t
2020-02-17;tbats;1854.04662546784;t
2020-02-17;mstl;1944.36250461247;t
2020-02-17;stl;1944.36250461247;t
2020-02-17;stl_stats;1945.19597644532;t
2020-02-17;x11;1957.3426755986;t
2020-02-18;rjdverse;1939.29114048262;t
2020-02-18;prophet;1927.80567859708;t
2020-02-18;tbats;1856.16785114721;t
2020-02-18;mstl;1944.17358239513;t
2020-02-18;stl;1944.17358239513;t
2020-02-18;stl_stats;1945.10230005173;t
2020-02-18;x11;1957.09765849305;t
2020-02-19;rjdverse;1939.12054265836;t
2020-02-19;prophet;1927.7063899322;t
2020-02-19;tbats;1869.43434647012;t
2020-02-19;mstl;1943.9846601778;t
2020-02-19;stl;1943.9846601778;t
2020-02-19;stl_stats;1944.80968889276;t
2020-02-19;x11;1956.84980751986;t
2020-02-20;rjdverse;1938.96061160478;t
2020-02-20;prophet;1927.60710126732;t
2020-02-20;tbats;1851.39012388979;t
2020-02-20;mstl;1943.79573796046;t
2020-02-20;stl;1943.79573796046;t
2020-02-20;stl_stats;1944.59796057337;t
2020-02-20;x11;1956.59915428158;t
2020-02-21;rjdverse;1938.80508291576;t
2020-02-21;prophet;1927.50781260243;t
2020-02-21;tbats;1971.14716810573;t
2020-02-21;mstl;1943.60681574312;t
2020-02-21;stl;1943.60681574312;t
2020-02-21;stl_stats;1944.6196167951;t
2020-02-21;x11;1956.34573110448;t
2020-02-22;rjdverse;1938.64365030004;t
2020-02-22;prophet;1927.40852393755;t
2020-02-22;tbats;1934.67094145924;t
2020-02-22;mstl;1943.41789352579;t
2020-02-22;stl;1943.41789352579;t
