;period;start;end;n;missing;start;end;n;log;adjust;lp;ntd;nmh;td-derived;td-ftest;easter;nout;noutao;noutls;nouttc;noutso;;out(1);;;out(2);;;out(3);;;out(4);;;out(5);;;out(6);;;out(7);;;out(8);;;out(9);;;out(10);;;out(11);;;out(12);;;out(13);;;out(14);;;out(15);;;out(16);;;out(17);;;out(18);;;out(19);;;out(20);;;out(21);;;out(22);;;out(23);;;out(24);;;out(25);;;out(26);;;out(27);;;out(28);;;out(29);;;;neffectiveobs;np;logvalue;adjustedlogvalue;ssqerr;aic;aicc;bic;bicc;ser;ser-ml;mean;skewness;;;kurtosis;;;dh;lb;lb2;;;seaslb;bp;bp2;seasbp;nudruns;ludruns;nruns;lruns;arima;mean;p;d;q;bp;bd;bq;phi(1);phi(2);phi(3);;th(1);bth(1);seasonality;parameters_cutoff;model_changed;tvar-estimator;tvar-estimate;tvar-pvalue;savar-estimator;savar-estimate;savar-pvalue;svar-estimator;svar-estimate;svar-pvalue;ivar-estimator;ivar-estimate;ivar-pvalue;tscorr-estimator;tscorr-estimate;tscorr-pvalue;ticorr-estimator;ticorr-estimate;ticorr-pvalue;sicorr-estimator;sicorr-estimate;sicorr-pvalue;;;method;cycle;seasonality;irregular;tdh;others;total;logstat;levelstat;fcast-insample-mean;fcast-outsample-mean;fcast-outsample-variance;seas-lin-f;seas-lin-qs;seas-lin-kw;seas-lin-friedman;seas-lin-periodogram;seas-lin-spectralpeaks;seas-si-combined;seas-si-evolutive;seas-si-stable;seas-res-f;seas-res-qs;seas-res-kw;seas-res-friedman;seas-res-periodogram;seas-res-spectralpeaks;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-i-f;seas-i-qs;seas-i-kw;seas-i-periodogram;seas-i-spectralpeaks;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-sa-f;seas-sa-qs;seas-sa-kw;seas-sa-friedman;seas-sa-periodogram;seas-sa-spectralpeaks;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-sa-ac1;td-sa-all;td-sa-last;td-i-all;td-i-last;td-res-all;td-res-last;ic-ratio-henderson;ic-ratio;msr-global;msr(1);msr(2);msr(3);msr(4);msr(5);msr(6);msr(7);msr(8);msr(9);msr(10);msr(11);msr(12);trendfilter;seasfilter;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;definition;;annual totals;;spectral seas peaks;spectral td peaks;normality;;independence;;spectral td peaks;;spectral seas peaks;;number of outliers;;mean;;mse;;q;;q-m2;;seas variance;;irregular variance;;seas/irr cross-correlation;;qs test on sa;;qs test on i;;f-test on sa (seasonal dummies);;f-test on i (seasonal dummies);;combined seasonality test on sa;;combined seasonality test on sa (last 3 years);;combined seasonality test on irregular;;f-test on sa (td);;f-test on i (td);;quality
Europe * Francé;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;;;0;0;;;;12;6;1;5;0;;TC (4-2020);-0,429043;-17,5126;AO (5-2020);-0,312861;-15,3413;TC (5-2019);-0,259053;-10,6296;AO (7-1990);-0,168398;-8,2823;AO (5-1999);-0,116393;-5,8314;AO (2-2007);-0,094575;-4,7233;TC (4-2000);-0,133506;-5,5369;LS (6-2010);0,119861;4,7777;AO (11-1995);0,098006;4,8873;TC (1-2007);-0,103331;-4,2879;TC (12-1999);-0,101768;-4,2171;AO (2-2009);0,082083;4,1154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;15;815,38415875;-1012,420960838;0,242070863;2054,841921676;2056,20555804;2113,463165749;-7,101843688;0,026149876;0,025647636;0,60859;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;0,014549;0,9093;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;2,931538;0,7886;0,013554;22,687588;Chi2 with 22 degrees of freedom ;36,141666;0,0293;1,954691;21,533005;35,118138;1,880729;-0,495758;0,821007;0,939596;4,456522;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,208486;-0,909524;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,197555476;0,148053974;0,034286864;0;0,727876098;1,107772412;2502,953228281;2533,662682184;0,443195993;0,546437055;0,534032805;0;0;0,996508552;0;0;-t.-t.AT.AT.AT.AT;Present;0,908753175;0;0,385416569;0,376308739;0,523639509;0,542419063;0,483705142;--.--.--.--.--.--;None;None;0,003050207;0,382756946;0,882208348;1;0,999563906;0,812312599;--.--.--.--.--.--;None;None;0,028783094;0,88133249;0,978306779;1;0,999999999;0,948456357;0,621634513;--.--.--.--.--.--;None;None;0;0,998630173;-0,117091508;0,093393333;0,034262892;0,070076443;0,186417865;0,174126627;0,166889907;2,204997919;2,360324445;5,475332159;6,00823117;6,187216695;6,189490715;3,927318239;4,928982957;4,605119824;4,694639743;5,902713953;6,214790287;5,880752845;7,564935554;4,861616616;13 terms Henderson moving average;3x5;0,996887642;0,073444105;0,299948837;0,976765414;0,448122257;0,590132864;0,239737228;0,692780592;0,17140548;1,0434148;1,031879909;0,510867982;0,564931607;Good;0;Good;0,001;Good;Good;Good;0,993;Good;0,42;Uncertain;0,087;Good;0,598;Uncertain;0,031;Good;0,546;Good;0,534;Good;0,511;Good;0,565;;;;;;;Good;1;Good;1;Good;0,859;Good;0,874;Good;0,34;Bad;0,036;Good;0,339;Uncertain;0,034;Good;0,186;Good
Europe * Spain;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;;;0;0;;;;26;15;10;1;0;;LS (11-2013);-1,646014;-15,5567;LS (1-2015);1,605843;22,4868;AO (7-1990);-2,044071;-17,8869;AO (3-2018);-1,351208;-12,0181;LS (10-2013);-0,950793;-9,246;AO (9-2021);-1,611576;-13,6527;AO (5-1999);-0,855669;-9,019;AO (4-2021);-1,033834;-10,3118;AO (8-2014);0,869582;8,6685;AO (1-2014);-1,074561;-9,1368;LS (10-2018);0,192678;4,2683;LS (9-1992);0,229533;5,9992;AO (10-2014);0,716351;7,1098;AO (6-2000);-0,586023;-6,1753;TC (9-2005);-0,633592;-6,4915;LS (6-2014);-0,612322;-7,3562;AO (8-1990);-0,560737;-4,9186;LS (1-2016);0,443315;6,8992;LS (10-2016);-0,275658;-4,706;AO (12-2013);-0,554471;-4,6929;LS (12-2010);-0,160827;-4,2757;AO (4-2007);-0,462956;-4,8877;AO (4-2018);-0,513387;-4,552;LS (10-2020);0,247595;4,4598;AO (6-1995);-0,40596;-4,2471;AO (9-2011);-0,379819;-3,9844;;;;;;;;;;;369;30;288,178974564;-2135,350581963;4,337420279;4330,701163927;4336,204122507;4448,025063248;-3,978982725;0,112947415;0,108418294;0,418275;Normal with Mean = 0.0 and Stdev = 0.12751534261266767;-0,414906;0,0011;Normal with Mean = 3.0 and Stdev = 0.25503068522533534;4,628284;0;26,761939;11,873672;Chi2 with 22 degrees of freedom ;17,263432;0,7487;0,399445;11,389494;16,493193;0,384371;1,650274;6,632879;-1,716329;36,508081;(0,0,1)(0,1,1);1;0;0;1;0;1;1;;;;;0,495333;-0,8561;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,004144199;0,007251068;0,010925764;0;0,969371572;0,991692603;5037,073911967;5192,546754891;0,712313206;0,154160289;0,239642328;0;0;0,997344686;0;0;--.-T.-T.--.At.-t;Present;0,0134294;0;0,546577999;0,818958029;0,606160012;0,340224723;0,768137895;--.-t.--.A-.A-.--;None;None;0,219482593;0,544919398;0,238786885;1;0,996994223;0,155490438;--.-t.--.a-.--.--;None;None;0,120301125;0,234550091;0,582034019;1;0,999999692;0,825717118;0,221674976;--.-t.--.--.--.--;None;None;0;0,670949143;-0,217374081;0,559541493;0,943911255;0,9621106;0,714350347;0,880866022;0,827102967;4,124360782;5,421368723;4,486931535;3,953752017;7,560385514;4,061331462;3,994207449;4,259871516;3,661701659;7,654559775;4,29226418;4,372761917;4,306680089;3,478924281;5,565197163;13 terms Henderson moving average;3x5;2,717228411;3;0,853925556;1,071291099;3;0,194772614;0,785292669;1,404564816;0,277416781;1,841739543;1,743727124;1,524806005;1,342478657;Good;0;Uncertain;0,018;Bad;Good;Bad;0;Good;0,96;Good;0,484;Good;0,722;Bad;0,068;Good;0,154;Good;0,24;Bad;1,525;Bad;1,342;;;;;;;Good;1;Good;1;Good;0,988;Good;0,95;Good;0,828;Bad;0,032;Good;0,5;Good;0,944;Good;0,714;Uncertain
Europe * Greecà;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;;;0;0;;;;4;1;2;1;0;;LS (2-2012);-44,192717;-6,5903;AO (4-1997);46,638786;4,2596;TC (4-2020);-40,692114;-4,0327;LS (11-2008);-27,649969;-4,1416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;10;-1454,283154699;-1454,283154699;56292,405289704;2928,566309399;2929,182555897;2967,64713878;5,174723129;12,522114732;12,368043202;0,518364;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;-0,336942;0,0083;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;3,739265;0,0038;10,21845;44,974508;Chi2 with 19 degrees of freedom ;46,852767;0,0004;8,337547;42,821284;44,421014;8,022072;0,991515;5,015015;-1,209738;16,107277;(3,1,1)(0,1,1);0;3;1;1;0;1;1;-0,102477;-0,178481;-0,268312;;-0,962725;-0,758654;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,021848503;0,216052406;0,050226942;0;0,720874458;1,009002308;3023,249766059;2999,350801942;0,745978178;0,200262407;0,194921214;0;0;0;0;0;At.AT.AT.AT.at.AT;Present;0,000108316;0;0,241336198;0,015471222;0,244458334;0,243377887;0,12757845;--.--.--.--.--.A-;None;None;0,744439418;0,240528728;0,657934227;0,989358566;0,997907041;0,717859751;--.--.--.--.--.--;None;None;0,137049386;0,65370214;0,78273753;0,980114582;0,999884774;0,998893631;0,969471155;--.--.--.--.--.--;None;None;0,006596767;0,74552155;-0,541549092;0;0,000141524;0;0,000198845;0;0,007430076;6,562323596;10,752894949;5,211370091;3,06121457;7,159646062;4,99959012;5,290667237;5,869909718;7,503154564;6,559536424;3,013281535;5,129425895;5,559573349;6,802502775;4,843916348;23-Henderson;3x5;1,284510453;1,895680316;2,059765833;0,53564555;3;0,484548036;0,30900324;0,654533653;0,267707153;0,591515555;0,579993575;1,131296716;1,036822338;Good;0;Good;0,003;Good;Severe;Bad;0,006;Bad;0,001;Severe;0;Good;0,247;Good;0,01;Good;0,2;Good;0,195;Bad;1,131;Bad;1,037;;;;;;;Good;0,98;Good;0,977;Good;0,866;Good;0,811;Good;0,621;Good;0,696;Good;0,78;Severe;0;Severe;0;Severe
Asia * China;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;;;0;0;;;;2;1;1;0;0;;LS (3-2004);17,006589;4,2995;AO (5-2011);26,216648;4,2939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;8;-1230,372653672;-1230,372653672;16502,140631993;2476,745307345;2477,146421551;2508,00997085;3,915544461;6,761087259;6,696474704;-0,799014;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;0,098459;0,4407;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;2,916088;0,7425;0,643319;63,475246;Chi2 with 19 degrees of freedom ;38,052113;0,0058;10,905147;60,385321;36,448516;10,49252;-0,123939;0,453513;-0,206554;9,042057;(3,1,1)(0,1,1);0;3;1;1;0;1;1;-0,079777;-0,009883;-0,168977;;-0,867835;-0,850641;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,029992611;0,583157629;0,078165114;0;0,266332339;0,957647693;2520,909315762;2509,614499789;0,483415221;0,371652139;0,621038124;0;0;0;0;0;AT.AT.AT.-T.AT.-T;Present;0,208592025;0;0,811865948;0,004285262;0,345006391;0,47071299;0,791105628;--.A-.--.--.--.--;None;None;0,072796097;0,812194501;0,646442096;0,981567282;0,995266626;0,664169573;-t.--.--.--.--.--;None;None;0,072479356;0,649408371;0,801838998;0,747633318;0,999441931;0,997866998;0,928095227;--.--.--.--.--.--;None;None;0,000418442;0,717379665;-0,506626962;0;0,000000007;0;0,000000064;0;0,000012264;7,116129499;11,405338427;4,961983462;4,653207695;6,70515045;6,69120112;3,935494585;6,319026803;3,196684299;4,516683598;3,837247107;5,779805357;5,009908736;6,782944522;4,405133143;23-Henderson;3x5;0,784691535;0,659496873;2,366438727;0,677434078;3;0,384793385;0,171545249;0,553382168;0,1110489;0,772631106;0,746434885;0,948482706;0,984200056;Good;0;Good;0,002;Good;Severe;Good;0,725;Bad;0;Severe;0;Uncertain;0,096;Good;0,005;Good;0,372;Good;0,621;Good;0,948;Good;0,984;;;;;;;Good;0,748;Good;0,741;Good;0,994;Good;0,985;Good;0,532;Good;0,283;Good;0,56;Severe;0;Severe;0;Severe
Asia * Japon;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;;;0;0;;;;1;0;0;1;0;;TC (3-2020);-60,074959;-7,5101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;5;-1378,115342053;-1378,115342053;37699,602502306;2766,230684106;2766,396429963;2785,771098797;4,693540184;10,17695124;10,121490603;0,231214;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;-0,078893;0,5367;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;2,837337;0,5242;0,610695;62,726877;Chi2 with 21 degrees of freedom ;21,57199;0,4245;7,081722;60,04946;20,821163;6,813765;-0,247879;4,886754;-0,397596;12,465345;(2,1,0)(0,1,1);0;2;1;0;0;1;1;0,682157;0,380752;;;;-0,68864;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,088590255;0,784962288;0,089865982;0;0,036494141;0,999912667;2864,611055794;2808,572049487;0,742028549;0,691799519;0,167153794;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,000241169;0;0,636057982;0,028988354;0,675094702;0,577487708;0,596075218;--.--.--.--.--.--;None;None;0,325302436;0,634231867;0,76973714;0,259187243;0,998681431;0,863147086;--.--.--.--.--.--;None;None;0,139705461;0,766474581;0,846149721;0,070950063;0,999999439;0,991113569;0,861890267;--.--.--.--.--.--;None;None;0,017210775;0,731326532;-0,494880261;0;0,000000747;0;0,000004535;0;0,001407529;5,348702151;7,830437555;4,572907057;6,364196624;5,725580101;3,836825127;4,351474788;6,311050965;6,838370374;4,338294847;2,416796801;4,425066667;5,363615965;4,594554091;3,512010232;23-Henderson;3x5;0,702326511;0,30101608;1,436149962;0,299331337;1,487992054;0,229162823;0,187789752;0,44482677;0,101108925;0,454762044;0,419324499;0,564482447;0,597045706;Good;0;Good;0,002;Good;Good;Good;0,737;Bad;0;Severe;0;Uncertain;0,065;Good;0,003;Good;0,692;Good;0,167;Good;0,564;Good;0,597;;;;;;;Good;0,071;Good;0,073;Good;0,956;Good;0,755;Good;0,589;Good;0,828;Good;0,727;Severe;0;Severe;0;Severe
Asia * India;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;;;0;0;;;;5;1;2;2;0;;TC (3-2020);-80,461881;-12,2083;AO (3-2020);45,573867;6,1814;LS (11-2008);-22,404959;-5,9379;TC (2-2009);-22,154946;-5,1203;LS (1-2021);-18,209042;-4,3675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;11;-1171,720157682;-1171,720157682;12297,641578713;2365,440315364;2366,181888398;2408,429227684;3,669625575;5,860968702;5,780787515;-0,23872;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;0,076697;0,5481;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;2,920662;0,7561;0,384743;47,189965;Chi2 with 19 degrees of freedom ;38,356986;0,0053;0,737084;45,040626;36,995133;0,709195;-0,991515;7,434964;-0,172814;161,542896;(3,1,1)(0,1,1);0;3;1;1;0;1;1;0,112048;0,003534;-0,168569;;-0,695477;-0,662671;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,025940377;0,513512998;0,03450659;0;0,434368677;1,008328642;2640,493803017;2508,870689506;0,677467943;0,011631245;0,155214187;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,455839826;0;0,011758437;0,691742084;0,017526293;0,151323058;0,011625079;--.--.--.--.--.--;None;None;0,017110329;0,012110723;0,993725505;0,784747178;0,999930359;0,99500561;--.--.--.--.--.--;None;None;0,344532536;0,993574511;0,99685347;0,306582385;0,999999992;0,999501888;0,9965125;--.--.--.--.--.--;None;None;0,001801328;0,999983304;-0,516766038;0;0,000000003;0;0,000000008;0;0,000095784;6,167871813;8,02171855;4,894280636;6,291072725;6,66269168;6,485545468;5,399255216;5,158773601;4,713219267;3,50663734;2,687695127;5,188953402;5,944317809;6,514874712;4,362711903;23-Henderson;3x5;0,463213713;0,463580963;1,690347601;0,252068494;1,49037674;0,357712255;0,161888314;0,369389254;0,164522497;0,419606671;0,340770288;0,583156981;0,597936039;Good;0;Good;0,001;Good;Good;Good;0,825;Bad;0;Severe;0;Good;0,289;Good;0,013;Uncertain;0,012;Good;0,155;Good;0,583;Good;0,598;;;;;;;Good;0,307;Good;0,28;Good;0,974;Good;0,891;Good;0,482;Good;0,267;Good;0,794;Severe;0;Severe;0;Severe
Africa * Gabon;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;;;0;0;;;;7;4;0;3;0;;TC (4-2020);-1,446682;-22,6938;AO (12-2008);-0,426643;-6,4682;TC (6-2020);0,472739;7,5948;AO (3-2020);-0,395699;-5,8955;AO (12-2012);-0,273622;-4,6316;TC (11-2008);-0,290719;-4,5308;AO (8-1996);0,255514;4,3284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;12;426,240072982;-1134,363949387;2,086233269;2292,727898774;2293,606772013;2339,624894032;-4,996122457;0,07644469;0,075293507;-0,205914;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;-0,067345;0,5979;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;3,973237;0,0001;14,042898;51,632153;Chi2 with 20 degrees of freedom ;37,755557;0,0095;1,340488;49,043346;36,369714;1,289767;-2,23091;9,071406;-1,304318;174,556707;(2,1,1)(0,1,1);0;2;1;1;0;1;1;0,830108;0,411007;;;0,169082;-0,634727;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,119859437;0,528254491;0,048500789;0;0,270326371;0,966941087;2641,247052178;2652,997039486;0,744525239;0,017037504;0,070281831;0;0;0,000217961;0;0;At.AT.AT.aT.AT.AT;Present;0,963650807;0;0,936563012;0,511583769;0,92848238;0,93745131;0,924958459;--.--.--.--.--.--;None;None;0,004425065;0,936960198;0,835899909;0,999746468;0,999399103;0,834974203;--.--.--.--.--.--;None;None;0,000065895;0,833379134;0,990317591;0,999819171;1;0,91508461;0,982665587;--.--.--.--.--.--;None;None;0,000000005;0,950617848;-0,501994942;0;0,003901108;0;0,006849584;0,000000004;0,012634683;4,366235225;4,408951845;3,979778399;4,059507694;2,807374511;3,868516542;5,933042794;4,183661837;4,257221497;4,323299455;2,437678795;4,136966927;4,692306572;4,102612949;4,782682546;13 terms Henderson moving average;3x5;0,357861219;0,204713112;0,949414229;0,031508562;0,790122691;0,00808864;0,167293491;0,605636475;0,203735829;0,608237821;0,590708164;0,378215761;0,399659909;Good;0;Good;0,007;Bad;Good;Bad;0,001;Bad;0;Severe;0;Good;0,664;Good;0,018;Uncertain;0,017;Uncertain;0,07;Good;0,378;Good;0,4;;;;;;;Good;1;Good;0,98;Good;0,988;Good;0,811;Good;0,797;Good;0,385;Good;0,917;Bad;0,004;Bad;0,007;Severe
Africa * Cameroùn;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;;;0;0;;;;21;8;7;6;0;;TC (4-2020);-56,915083;-13,7886;TC (3-2020);-39,460204;-9,2749;TC (11-2008);-34,972428;-9,0966;LS (8-2008);-18,304918;-5,145;AO (4-2008);22,85079;5,8673;AO (5-2011);18,094513;4,8497;LS (1-2021);-18,762782;-4,3695;TC (2-2009);-16,890953;-4,4801;LS (6-2020);16,959956;4,5683;LS (4-1994);15,210193;4,4186;AO (4-2017);-15,011155;-4,0204;LS (3-2008);-14,945946;-4,154;AO (9-2007);-14,545567;-3,834;TC (4-1999);13,659669;3,6612;LS (7-2005);-18,933673;-5,2477;LS (1-1995);11,934704;3,4671;AO (10-2016);-14,175105;-3,7902;AO (7-2016);-13,822825;-3,6956;AO (9-2005);14,809906;3,8822;AO (8-2004);-15,369468;-4,0824;TC (7-2006);-13,72313;-3,5544;;;;;;;;;;;;;;;;;;;;;;;;;;368;24;-1111,182420278;-1111,182420278;8988,67774033;2270,364840555;2273,863382829;2364,158831071;3,564893281;5,104325458;4,942241873;-0,296817;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;-0,078022;0,5412;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;3,71393;0,0052;8,529589;35,480382;Chi2 with 22 degrees of freedom ;32,782308;0,065;0,152626;33,929697;31,557716;0,146851;-1,735152;13,167005;-1,85408;11,533109;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,576114;-0,356079;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,023826579;0,291344174;0,005735206;0;0,681851594;1,002757553;2978,727392317;2642,094323086;0,931774446;0,085238535;0,030269964;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0;0;0,999915807;0,92652636;0,946354148;0,79407831;0,999815377;--.--.-t.--.--.a-;None;None;0,000238808;0,999918624;0,969879399;1;0,999805249;0,972570756;--.--.--.--.--.--;None;None;0,005242285;0,969715942;0,983719265;1;0,999999999;0,995529593;0,949993967;--.--.--.--.--.--;None;None;0,001757556;0,996312874;-0,380581685;0;0,000203392;0,000001938;0,003669364;0,00000155;0,00024522;3,12359494;3,329966649;2,996106122;6,257679206;6,43981556;4,362114269;3,453917698;6,380502405;2,505531258;4,271038793;1,421110599;1,58045039;2,841801905;5,517937741;1,933585506;13 terms Henderson moving average;3x3;0,111275075;0,068382023;0,61685044;0,645925516;0,591397417;0,401557551;0,180516157;0,523711199;0,069735489;0,442042977;0,373918459;0,337483295;0,374953092;Good;0;Good;0,001;Bad;Good;Uncertain;0,014;Uncertain;0,034;Severe;0,001;Good;0,458;Bad;0,055;Uncertain;0,085;Uncertain;0,03;Good;0,337;Good;0,375;;;;;;;Good;1;Good;1;Good;0,957;Good;0,881;Good;0,993;Good;0,268;Good;1;Severe;0;Bad;0,004;Severe
Africa * Guinée equatoriale;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;;;0;0;;;;29;15;8;6;0;;AO (4-2020);-0,833982;-69,612;AO (8-2013);-0,829967;-58,82;AO (8-2014);-0,481989;-23,4497;AO (5-2019);0,436282;54,5351;AO (3-2020);-0,366843;-28,9279;TC (4-2017);-0,287535;-26,8157;AO (5-2013);-0,296207;-27,8058;LS (9-2017);0,117426;28,1751;LS (8-2019);0,164339;40,2546;LS (6-2018);0,084913;52,6286;TC (12-2020);0,090337;6,3076;AO (5-2014);-0,113174;-9,8116;LS (10-2015);0,07364;8,3802;LS (10-2012);-0,046613;-7,9448;TC (8-2020);0,027594;5,2484;LS (2-2017);0,092667;18,4237;AO (9-2014);0,151373;19,5913;LS (11-2015);-0,048703;-5,2214;AO (8-2015);-0,115852;-7,2892;AO (4-2013);-0,038728;-7,072;AO (1-2020);0,142056;10,1685;AO (7-2017);0,053476;7,1868;AO (11-2013);0,191079;23,389;TC (11-2013);-0,108707;-25,3353;TC (11-2019);-0,143094;-11,2514;AO (2-2019);0,092193;10,7942;AO (10-2013);0,074483;8,885;TC (6-2015);0,033961;6,9742;LS (9-2012);0,033676;6,6169;;369;34;962,331167359;-746,126851213;0,103067317;1560,253702426;1567,379450929;1693,220788323;-7,654561757;0,017514222;0,016712726;-0,135727;Normal with Mean = 0.0 and Stdev = 0.12751534261266767;0,562993;0;Normal with Mean = 3.0 and Stdev = 0.25503068522533534;8,445156;0;150,885596;177,778512;Chi2 with 20 degrees of freedom ;864,177015;0;5,403803;171,356194;835,915932;5,176164;-20,752195;1000115,989753;-7,880324;877655768375204350;(2,0,1)(0,1,1);0;2;0;1;0;1;1;-0,190252;0,611897;;;-0,999972;0,999995;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,000460015;0,266013996;0,020746356;0;0,747548039;1,034768406;2693,796231041;2721,413887818;0,90232979;0,947366699;0,003519985;0;0;0,000117394;0;0;at.aT.AT.At.-t.--;None;0;0;0,277259911;0,067077836;0,442700239;0,436308523;0,272273408;--.--.--.--.--.--;None;None;0;0,272601595;0,768412994;0;0,920854502;0,715290916;-t.--.--.--.--.--;None;None;0;0,769199946;0,772660155;0;0,972341604;0,533496728;0,821762652;-t.--.--.--.--.--;None;None;0;0,745455749;-0,317130451;0,578972591;0,623355044;0,57583262;0,595242748;0,598878217;0,349592603;13,887297829;36,252834202;2,106724228;5,739118573;5,507750951;1,895571895;2,27921411;2,058334294;3,316630805;5,845358307;0,792458996;2,401442756;1,428968686;2,605688216;1,81841876;23-Henderson;3x3;0,554067661;3;3;3;2,997666037;0,757310309;1,575012509;0,819205282;0,596470153;2,150640848;1,967037248;2,002729651;1,863869223;Good;0;Uncertain;0,023;Bad;Good;Bad;0;Bad;0;Good;0,31;Uncertain;0,031;Bad;0,076;Good;0,947;Bad;0,004;Severe;2,003;Bad;1,864;;;;;;;Severe;0;Severe;0;Uncertain;0,032;Uncertain;0,032;Bad;0,032;Good;0,355;Uncertain;0,082;Good;0,623;Good;0,595;Severe
