;Asia * China;Asia * Japon;Asia * India
2002-01-01;101,29891;126,890371;74,896081
2002-02-01;101,510048;127,091226;75,126115
2002-03-01;101,652084;127,252573;75,577489
2002-04-01;101,788266;127,385049;76,204452
2002-05-01;101,947442;127,448528;76,918865
2002-06-01;102,114771;127,42326;77,627436
2002-07-01;102,309706;127,358263;78,265335
2002-08-01;102,472103;127,249248;78,759509
2002-09-01;102,569969;127,140939;79,02765
2002-10-01;102,567576;127,072376;79,062823
2002-11-01;102,396836;127,054451;78,8699
2002-12-01;102,053547;127,180642;78,513533
2003-01-01;101,526704;127,518357;78,078027
2003-02-01;100,84393;128,066536;77,634263
2003-03-01;100,059391;128,785667;77,198542
2003-04-01;99,246046;129,583428;76,796952
2003-05-01;98,500054;130,382387;76,463716
2003-06-01;97,930412;131,189406;76,253386
2003-07-01;97,549226;131,967975;76,209741
2003-08-01;97,385257;132,718332;76,382129
2003-09-01;97,4345;133,452907;76,843183
2003-10-01;97,653777;134,146993;77,605713
2003-11-01;98,046977;134,793991;78,619284
2003-12-01;98,609419;135,396774;79,764211
2004-01-01;99,279211;135,849148;80,887437
2004-02-01;99,94981;136,059715;81,879659
2004-03-01;117,562738;136,013945;82,692338
2004-04-01;118,028491;135,751892;83,291448
2004-05-01;118,293079;135,328319;83,621898
2004-06-01;118,362557;134,792069;83,646495
2004-07-01;118,264719;134,145809;83,335731
2004-08-01;118,034996;133,482784;82,730551
2004-09-01;117,719271;132,897666;81,913006
2004-10-01;117,326082;132,468445;80,974168
2004-11-01;116,886475;132,374315;80,022395
2004-12-01;116,387865;132,722165;79,169581
2005-01-01;115,816105;133,477084;78,448125
2005-02-01;115,186934;134,611778;77,846297
2005-03-01;114,529057;136,062299;77,359454
2005-04-01;113,881524;137,732793;76,996531
2005-05-01;113,284446;139,569067;76,788414
2005-06-01;112,748106;141,466216;76,73593
2005-07-01;112,261325;143,320305;76,825329
2005-08-01;111,875615;145,07582;77,039597
2005-09-01;111,61399;146,654892;77,32585
2005-10-01;111,547678;147,983578;77,611487
2005-11-01;111,69752;149,008667;77,871167
2005-12-01;112,050286;149,679325;78,140498
2006-01-01;112,604184;150,112835;78,472372
2006-02-01;113,334504;150,486445;78,902876
2006-03-01;114,198798;150,946632;79,45774
2006-04-01;115,117683;151,596556;80,096897
2006-05-01;116,053822;152,558473;80,749059
2006-06-01;116,925073;153,864883;81,390284
2006-07-01;117,667329;155,55341;82,016424
2006-08-01;118,240371;157,548668;82,622439
2006-09-01;118,62191;159,675178;83,169581
2006-10-01;118,81808;161,801913;83,653341
2006-11-01;118,817533;163,731634;84,057799
2006-12-01;118,580302;165,231872;84,325403
2007-01-01;118,143641;166,22189;84,486476
2007-02-01;117,543075;166,636873;84,61965
2007-03-01;116,831495;166,464614;84,802166
2007-04-01;116,113704;165,851058;85,127412
2007-05-01;115,483517;164,97881;85,681395
