;Asia * China;Asia * Japon;Asia * India
2002-01-01;95,693919;135,108094;77,341797
2002-02-01;90,711111;133,231073;81,529108
2002-03-01;104,392856;146,107971;80,868273
2002-04-01;102,204391;147,425728;81,844493
2002-05-01;95,969068;125,482645;75,425708
2002-06-01;117,490536;142,529944;93,648532
2002-07-01;114,08137;154,166574;91,757207
2002-08-01;102,012133;74,514991;36,751139
2002-09-01;124,408726;131,354446;81,030885
2002-10-01;117,548781;149,822522;92,412086
2002-11-01;94,84404;117,149031;72,97565
2002-12-01;70,985725;90,266071;59,339449
2003-01-01;95,986414;130,192921;86,655765
2003-02-01;93,41431;138,174692;85,0516
2003-03-01;97,21575;149,457393;80,429768
2003-04-01;102,42915;147,775872;87,283118
2003-05-01;96,731106;126,374982;74,413754
2003-06-01;115,413877;147,367983;84,011032
2003-07-01;120,200955;152,345852;85,022489
2003-08-01;102,886531;65,445634;37,668395
2003-09-01;115,511941;147,067971;73,163464
2003-10-01;96,785318;155,155107;93,670241
2003-11-01;76,636362;118,14557;75,445308
2003-12-01;74,147693;97,878667;57,269108
2004-01-01;91,309557;139,332937;83,932129
2004-02-01;97,824711;145,480769;92,480421
2004-03-01;117,792581;175,444722;89,447879
2004-04-01;116,162625;152,850416;94,082375
2004-05-01;110,940421;134,9924;83,003698
2004-06-01;146,609937;154,750952;99,710003
2004-07-01;122,491759;135,883265;92,772548
2004-08-01;133,264183;75,523241;37,842284
2004-09-01;138,864652;144,151567;79,240246
2004-10-01;114,179028;139,940976;95,434874
2004-11-01;100,689526;126,445256;81,436369
2004-12-01;91,951084;107,299322;61,792899
2005-01-01;112,162983;144,287389;86,860727
2005-02-01;108,295759;137,456897;80,44957
2005-03-01;118,065072;140,772537;75,63137
2005-04-01;109,536812;144,998138;84,75289
2005-05-01;112,595352;141,850542;80,933081
2005-06-01;136,295917;163,631043;93,814492
2005-07-01;117,288187;141,022738;82,543078
2005-08-01;116,193399;89,333829;36,568557
2005-09-01;130,529787;165,817732;81,077164
2005-10-01;107,227087;154,437954;85,41787
2005-11-01;102,846366;149,016307;76,302286
2005-12-01;86,717056;117,949284;59,819303
2006-01-01;108,160406;154,40145;95,965791
2006-02-01;104,793608;154,787996;82,872533
2006-03-01;119,683076;177,409264;86,795282
2006-04-01;101,691751;145,725522;79,961442
2006-05-01;115,058505;156,977938;83,451294
2006-06-01;143,526508;171,196402;93,431205
2006-07-01;124,605516;155,178269;75,892021
2006-08-01;123,494935;96,452624;46,132373
2006-09-01;132,62043;172,478494;85,26363
2006-10-01;123,937301;178,970908;94,683197
2006-11-01;108,739577;166,647035;83,041257
2006-12-01;87,542185;114,98436;51,646295
2007-01-01;114,295126;175,022868;92,796756
2007-02-01;111,069771;178,045923;89,465711
2007-03-01;122,565003;192,403732;91,342078
2007-04-01;103,19426;174,336529;94,756842
2007-05-01;115,631189;167,781656;85,194971
2007-06-01;143,343318;176,563472;99,761372
2007-07-01;121,069243;171,015665;92,749731
2007-08-01;116,512061;100,630493;48,858061
2007-09-01;123,326455;159,241056;81,596913
2007-10-01;126,785195;183,008969;104,603729
