;France;Spain;Greece
2004-05-31;;1,033457;-6,506287
2004-06-30;;0,984854;6,878017
2004-07-31;;1,007949;-3,689779
2004-08-31;;0,977836;-1,388507
2004-09-30;;1,012987;3,790686
2004-10-31;;1,063276;-11,001049
2004-11-30;;0,9031;4,514604
2004-12-31;;0,94548;8,2083
2005-01-31;;0,970768;2,419162
2005-02-28;;0,929328;-11,269029
2005-03-31;;0,984539;-1,590721
2005-04-30;;1,01138;4,281898
2005-05-31;;1,054337;-7,972722
2005-06-30;;1,086709;11,297751
2005-07-31;;0,943323;-3,750679
2005-08-31;;0,855776;1,749447
2005-09-30;;0,488642;-2,278473
2005-10-31;;0,525617;-7,347021
2005-11-30;;0,68123;7,764333
2005-12-31;;0,913308;3,143955
2006-01-31;;0,961942;0,239085
2006-02-28;;0,974722;-2,527186
2006-03-31;;0,948145;3,565706
2006-04-30;;1,033535;-10,281694
2006-05-31;;0,982905;8,749254
2006-06-30;;0,952966;3,967803
2006-07-31;;0,865522;-11,973929
2006-08-31;;0,973353;11,984965
2006-09-30;;0,9926;-11,841896
2006-10-31;;1,052023;-3,187545
2006-11-30;;1,000189;4,30209
2006-12-31;;0,94498;7,186477
2007-01-31;;0,936091;-1,082146
2007-02-28;;0,955704;-7,543593
2007-03-31;;0,994816;6,77029
2007-04-30;;0,600433;2,44802
2007-05-31;;0,935522;1,40181
2007-06-30;;1,065962;-9,442177
2007-07-31;;1,036191;1,661722
2007-08-31;;1,01936;2,001182
2007-09-30;;1,068164;-3,681914
2007-10-31;;1,130176;6,357956
2007-11-30;;0,925384;1,507954
2007-12-31;;0,946785;-12,918192
2008-01-31;;0,994099;10,373457
2008-02-29;;0,977322;9,119084
2008-03-31;;1,038328;-14,528243
2008-04-30;;1,051333;10,967524
2008-05-31;;1,017356;-6,639916
2008-06-30;;1,047697;-2,492578
2008-07-31;;1,028276;5,776543
2008-08-31;;0,999388;2,571413
2008-09-30;;0,75446;-7,34753
2008-10-31;;0,706036;13,384062
2008-11-30;;1,070877;1,004882
2008-12-31;;1,083154;-8,549624
2009-01-31;;1,019534;-11,839759
2009-02-28;;1,036242;8,325193
2009-03-31;;1,060498;0,238549
2009-04-30;;1,067285;-0,795731
2009-05-31;;1,024736;-1,190942
2009-06-30;;1,030188;-0,860512
2009-07-31;;1,038341;6,474668
2009-08-31;;0,990444;-6,238078
2009-09-30;;1,075164;5,302281
2009-10-31;;1,112475;0,500428
2009-11-30;;0,97043;-1,43736
2009-12-31;;0,906876;3,877217
2010-01-31;;0,972116;-18,804214
2010-02-28;;0,969374;6,705364
2010-03-31;;1,085972;5,619827
2010-04-30;;0,91653;-0,773268
2010-05-31;;0,990285;-5,051517
2010-06-30;;0,90725;6,150932
2010-07-31;;1,061706;-1,484932
2010-08-31;;1,044203;3,466179
2010-09-30;;1,074376;5,828113
2010-10-31;;1,017397;-9,717429
2010-11-30;;1,291817;1,881504
2010-12-31;;1,051152;-5,781113
2011-01-31;;1,062862;1,824896
2011-02-28;;0,992392;-0,992779
2011-03-31;;0,7589;14,522873
2011-04-30;;0,746246;-9,647546
2011-05-31;;0,927149;8,686011
2011-06-30;;1,0147;-13,410786
2011-07-31;;0,991596;1,677685
2011-08-31;;0,962435;7,40619
2011-09-30;;0,687913;-2,22901
2011-10-31;;1,078288;-1,400942
2011-11-30;;0,965161;5,672819
2011-12-31;;0,987329;-8,317645
2012-01-31;1,006448;0,967425;23,247813
2012-02-29;0,988494;0,961028;-19,895974
2012-03-31;1,005361;0,952306;-1,239253
2012-04-30;1,007319;0,990502;-0,779732
2012-05-31;1,000534;0,951522;-0,388783
2012-06-30;1,003885;1,04544;9,192414
2012-07-31;0,991742;0,988051;-3,56627
2012-08-31;0,995205;1,004244;-8,460807
2012-09-30;1,000481;1,103013;-1,519286
2012-10-31;0,997726;1,073683;7,213609
2012-11-30;1,004678;0,994552;-0,534214
2012-12-31;1,002978;0,993033;1,916801
2013-01-31;0,979243;0,980117;1,459193
2013-02-28;1,016426;1,011983;1,562404
2013-03-31;0,999541;1,00246;-10,234412
2013-04-30;0,989285;1,047949;5,903712
2013-05-31;0,992878;1,022094;2,35761
2013-06-30;0,999011;1,053569;-5,676043
2013-07-31;0,999156;1,020517;4,063092
2013-08-31;1,021935;0,994663;-4,722504
2013-09-30;0,998805;0,918317;-0,753598
2013-10-31;0,991451;0,392893;3,481356
2013-11-30;0,995721;1,062632;-6,347649
2013-12-31;1,000084;0,58945;5,5475
2014-01-31;1,007932;0,323761;0,813242
2014-02-28;0,990335;0,880535;0,886847
2014-03-31;0,995247;1,004497;-2,18157
2014-04-30;0,996009;1,072914;2,680645
2014-05-31;1,002145;1,039893;-1,048674
2014-06-30;0,988927;1,064852;0,007062
2014-07-31;1,003883;0,799864;5,073886
2014-08-31;0,987332;2,218242;-8,608508
2014-09-30;1,002515;1,156201;2,911687
2014-10-31;1,005234;2,168633;1,069803
2014-11-30;0,990133;0,995827;-5,773814
2014-12-31;0,994165;0,981167;1,456919
2015-01-31;0,998505;1,141418;3,153896
2015-02-28;1,004135;0,988065;-2,995011
2015-03-31;1,002187;0,770745;0,411506
2015-04-30;0,993449;1,17789;2,819285
2015-05-31;1,013995;1,081807;-2,197576
2015-06-30;1,008378;0,952756;2,123926
2015-07-31;1,008422;1,086783;3,819844
2015-08-31;0,996763;0,958321;-6,178594
2015-09-30;0,993121;1,015805;3,028819
