;France;Spain;Greece
2004-05-31;;1,017673;-2,83925
2004-06-30;;0,914248;12,478266
2004-07-31;;0,99613;11,827851
2004-08-31;;1,015833;-32,80181
2004-09-30;;0,970232;17,821532
2004-10-31;;0,959855;11,160877
2004-11-30;;0,961749;-1,998856
2004-12-31;;1,053777;-36,994731
2005-01-31;;1,065882;-2,044587
2005-02-28;;0,970469;-2,133006
2005-03-31;;1,050236;17,001764
2005-04-30;;1,000163;8,260827
2005-05-31;;1,023861;-3,200465
2005-06-30;;0,929435;12,583537
2005-07-31;;0,994551;11,378549
2005-08-31;;1,009642;-30,714987
2005-09-30;;0,961424;15,768844
2005-10-31;;0,953894;11,021367
2005-11-30;;0,969404;-0,684343
2005-12-31;;1,05752;-36,693089
2006-01-31;;1,065384;-2,109883
2006-02-28;;0,969167;-2,295848
2006-03-31;;1,045243;16,739368
2006-04-30;;0,996135;8,296063
2006-05-31;;1,025665;-2,917517
2006-06-30;;0,939849;11,707888
2006-07-31;;0,996233;11,390184
2006-08-31;;1,010724;-28,775249
2006-09-30;;0,956144;14,033777
2006-10-31;;0,955237;11,499359
2006-11-30;;0,980825;-0,424876
2006-12-31;;1,05387;-37,34724
2007-01-31;;1,057622;-2,455583
2007-02-28;;0,96424;-2,153965
2007-03-31;;1,038213;16,169048
2007-04-30;;0,987956;9,080754
2007-05-31;;1,026227;-3,093064
2007-06-30;;0,9511;10,835928
2007-07-31;;1,004336;12,683398
2007-08-31;;1,014144;-27,42837
2007-09-30;;0,949846;13,45241
2007-10-31;;0,953857;12,347711
2007-11-30;;0,992703;-0,677934
2007-12-31;;1,052253;-38,700914
2008-01-31;;1,052843;-3,31584
2008-02-29;;0,960948;-1,954997
2008-03-31;;1,031123;15,107191
2008-04-30;;0,980595;9,762319
2008-05-31;;1,030002;-3,23214
2008-06-30;;0,95906;10,723679
2008-07-31;;1,01128;14,153955
2008-08-31;;1,016146;-26,136485
2008-09-30;;0,941289;13,660726
2008-10-31;;0,948624;12,608323
2008-11-30;;1,007436;-1,197475
2008-12-31;;1,054193;-39,048685
2009-01-31;;1,048666;-4,717712
2009-02-28;;0,958352;-2,415801
2009-03-31;;1,021265;14,846428
2009-04-30;;0,969723;9,359212
2009-05-31;;1,032199;-3,026672
2009-06-30;;0,96331;10,91139
2009-07-31;;1,014982;14,812658
2009-08-31;;1,018047;-25,288437
2009-09-30;;0,946384;14,072437
2009-10-31;;0,958549;11,799392
2009-11-30;;1,02024;-1,492389
2009-12-31;;1,051298;-38,129902
2010-01-31;;1,042769;-4,6491
2010-02-28;;0,954585;-3,278683
2010-03-31;;1,006973;14,879144
2010-04-30;;0,956583;8,890176
2010-05-31;;1,032697;-2,749165
2010-06-30;;0,967076;10,730394
2010-07-31;;1,016747;14,457343
2010-08-31;;1,02068;-24,581886
2010-09-30;;0,948839;13,741876
2010-10-31;;0,966526;10,949161
2010-11-30;;1,032533;-1,283007
2010-12-31;;1,05477;-36,69715
2011-01-31;;1,039437;-2,56861
2011-02-28;;0,951917;-4,442311
2011-03-31;;0,991489;14,194402
2011-04-30;;0,948505;8,492419
2011-05-31;;1,035813;-2,434617
2011-06-30;;0,975137;9,988415
2011-07-31;;1,016175;13,818389
2011-08-31;;1,020525;-24,394986
2011-09-30;;0,948009;12,789489
2011-10-31;;0,970601;10,918349
2011-11-30;;1,032175;-1,069436
2011-12-31;;1,053784;-34,590655
2012-01-31;0,962435;1,032266;-0,326578
2012-02-29;0,950944;0,949855;-5,240622
2012-03-31;1,033968;0,989337;12,622342
2012-04-30;1,007087;0,955357;8,830247
2012-05-31;1,031086;1,042173;-2,82967
2012-06-30;0,990104;0,981394;9,897656
2012-07-31;1,027602;1,013703;13,094975
2012-08-31;1,049262;1,020791;-24,824302
2012-09-30;0,993157;0,942985;11,875391
2012-10-31;1,0114;0,969748;10,562144
2012-11-30;0,982015;1,029625;-1,526655
2012-12-31;1,006527;1,05283;-31,924593
2013-01-31;0,962114;1,025426;0,186953
2013-02-28;0,899096;0,948993;-4,498076
2013-03-31;1,022992;0,990594;11,225076
2013-04-30;0,995006;0,964027;9,509449
2013-05-31;1,023719;1,050962;-2,741457
2013-06-30;0,986518;0,985542;9,815476
2013-07-31;1,041683;1,01192;12,811457
2013-08-31;1,055503;1,021118;-24,617552
2013-09-30;1,000679;0,934042;10,906531
2013-10-31;1,013981;0,9651;9,505129
2013-11-30;0,977033;1,027898;-2,400625
2013-12-31;1,007155;1,053175;-29,916913
2014-01-31;0,972135;1,020604;-0,141971
2014-02-28;0,899679;0,949347;-3,774688
2014-03-31;1,018387;0,992314;10,776117
2014-04-30;0,994872;0,970548;9,951359
2014-05-31;1,029057;1,059481;-2,735522
2014-06-30;0,983187;0,98609;10,256518
2014-07-31;1,036299;1,010888;12,543721
2014-08-31;1,031144;1,022376;-23,402905
2014-09-30;0,991694;0,92793;10,307237
2014-10-31;1,015097;0,960801;8,12503
2014-11-30;0,976284;1,022769;-2,918728
2014-12-31;1,004818;1,052427;-28,647051
2015-01-31;0,979053;1,018044;-0,927852
2015-02-28;0,90368;0,955216;-3,397254
2015-03-31;1,023624;0,99615;10,297038
2015-04-30;1,006888;0,971403;9,83231
2015-05-31;1,035498;1,064584;-2,845648
2015-06-30;0,992881;0,984705;10,691987
2015-07-31;1,0368;1,020154;11,976433
2015-08-31;1,018911;1,027197;-21,122502
2015-09-30;0,984812;0,915169;9,880164
2015-10-31;1,020609;0,953854;7,02789
2015-11-30;0,987395;1,018052;-2,647068
2015-12-31;1,015536;1,053277;-27,570834
2016-01-31;0,988482;1,009073;-2,093836
2016-02-29;0,960261;0,963237;-2,970605
2016-03-31;1,022305;1,0117;9,850088
2016-04-30;1,011217;0,965811;9,269451
2016-05-31;1,025857;1,064397;-3,080822
2016-06-30;0,981088;0,984325;10,752754
2016-07-31;1,020343;1,027275;11,2503
2016-08-31;1,015218;1,032571;-18,228361
2016-09-30;0,989278;0,901786;9,05309
2016-10-31;1,028491;0,947934;6,226341
2016-11-30;0,991517;1,016868;-2,201693
2016-12-31;1,01921;1,061812;-26,68955
2017-01-31;0,994252;1,005238;-3,479746
2017-02-28;0,904243;0,965376;-2,92194
2017-03-31;1,020209;1,025603;9,999219
2017-04-30;1,009442;0,961735;8,838837
2017-05-31;1,0162;1,064155;-3,751238
2017-06-30;0,972103;0,982909;10,39343
2017-07-31;1,009373;1,027892;11,641756
2017-08-31;1,013572;1,02877;-14,999109
2017-09-30;0,991937;0,886024;7,507262
2017-10-31;1,036102;0,942739;6,170207
2017-11-30;0,995036;1,016002;-1,994523
2017-12-31;1,015771;1,074439;-26,136929
2018-01-31;1,000602;1,014649;-4,840084
2018-02-28;0,914475;0,969923;-2,581335
2018-03-31;1,022746;1,036521;9,823624
2018-04-30;1,005333;0,955631;8,833765
2018-05-31;1,003165;1,06744;-5,115621
2018-06-30;0,96153;0,987555;9,571877
2018-07-31;1,007111;1,030916;12,449876
2018-08-31;1,023372;1,018765;-12,018384
2018-09-30;0,998662;0,867055;6,116873
2018-10-31;1,050996;0,92813;6,099398
2018-11-30;1,000532;1,012119;-2,057921
2018-12-31;1,017992;1,087635;-25,636446
2019-01-31;1,015516;1,027559;-5,910979
2019-02-28;0,92985;0,979702;-1,670956
2019-03-31;1,019164;1,054289;9,983503
2019-04-30;0,991812;0,952649;9,243034
2019-05-31;0,983773;1,067033;-6,80403
2019-06-30;0,931539;0,986848;8,950569
2019-07-31;0,992805;1,033138;12,872006
2019-08-31;1,027978;1,01027;-10,351262
2019-09-30;1,006209;0,852313;5,445441
2019-10-31;1,062418;0,913305;5,415744
2019-11-30;1,001246;1,011855;-1,979266
2019-12-31;1,016074;1,098689;-25,151779
2020-01-31;1,020408;1,034107;-6,997922
2020-02-29;0,98362;0,984319;-0,646756
2020-03-31;1,014283;1,068876;10,79422
2020-04-30;0,989944;0,950088;10,19277
2020-05-31;0,99377;1,060667;-8,56883
2020-06-30;0,949853;0,982738;9,128501
2020-07-31;0,997818;1,038637;12,657913
2020-08-31;1,027534;1,015411;-9,801415
2020-09-30;0,997716;0,844566;5,182915
2020-10-31;1,05179;0,905667;4,255567
2020-11-30;0,992333;1,016048;-1,696245
2020-12-31;1,010243;1,10057;-24,664615
2021-01-31;1,019955;1,035683;-8,224673
2021-02-28;0,927403;0,987137;-0,1103
2021-03-31;1,012685;1,074328;12,056617
2021-04-30;0,991167;0,948005;10,599448
2021-05-31;1,005036;1,055122;-9,120004
2021-06-30;0,964804;0,979747;9,479487
2021-07-31;0,994404;1,03778;12,229697
2021-08-31;1,019865;1,019663;-9,287168
2021-09-30;0,984329;0,845311;4,68872
