;France;Spain;Greece
2004-01-31;;1473,965482;188,379031
2004-02-29;;1371,722153;208,763767
2004-03-31;;1460,55652;214,442169
2004-04-30;;1426,523994;216,368914
2004-05-31;;1441,609075;188,716709
2004-06-30;;1224,952328;214,192419
2004-07-31;;1355,689699;199,243266
2004-08-31;;1331,05802;153,37547
2004-09-30;;1307,227964;206,666925
2004-10-31;;1346,87185;184,56058
2004-11-30;;1136,773833;187,85954
2004-12-31;;1294,329127;155,84644
2005-01-31;;1335,284758;180,884397
2005-02-28;;1156,595776;162,570529
2005-03-31;;1318,669306;190,219973
2005-04-30;;1283,179284;189,3311
2005-05-31;;1361,738307;168,61175
2005-06-30;;1265,980834;206,012842
2005-07-31;;1167,30837;190,107472
2005-08-31;;1067,907158;152,645495
2005-09-30;;577,678452;194,93244
2005-10-31;;614,042972;187,073243
2005-11-30;;806,942538;193,56364
2005-12-31;;1178,239588;154,168149
2006-01-31;;1246,158891;184,284526
2006-02-28;;1142,895315;178,559532
2006-03-31;;1191,721424;201,478924
2006-04-30;;1229,616314;178,327735
2006-05-31;;1194,782165;186,037285
2006-06-30;;1052,676327;194,595332
2006-07-31;;1005,526338;176,154297
2006-08-31;;1139,543075;158,532728
2006-09-30;;1092,393087;177,824973
2006-10-31;;1149,016798;187,410879
2006-11-30;;1113,526775;188,232571
2006-12-31;;1121,980251;157,607739
2007-01-31;;1107,696792;184,788711
2007-02-28;;1024,692408;178,698629
2007-03-31;;1141,875068;212,002799
2007-04-30;;652,083612;199,918233
2007-05-31;;1049,761335;184,224403
2007-06-30;;1103,178555;185,49176
2007-07-31;;1126,206989;199,293932
2007-08-31;;1111,850655;162,100143
2007-09-30;;1084,158235;199,815025
2007-10-31;;1143,186815;210,240795
2007-11-30;;965,590954;192,803019
2007-12-31;;1038,465743;141,363545
2008-01-31;;1082,64244;201,798522
2008-02-29;;964,118883;201,493878
2008-03-31;;1090,848141;192,105765
2008-04-30;;1041,963733;209,497191
2008-05-31;;1049,885222;176,984456
2008-06-30;;997,510111;194,298358
2008-07-31;;1022,309402;205,475212
2008-08-31;;988,065539;160,134176
2008-09-30;;684,024632;186,658405
2008-10-31;;640,839032;200,75074
2008-11-30;;1029,203357;165,808344
2008-12-31;;1085,834356;109,55874
2009-01-31;;1012,136082;136,543006
2009-02-28;;935,537391;159,779045
2009-03-31;;1014,737711;170,491929
2009-04-30;;963,565035;164,455903
2009-05-31;;977,673594;152,019135
2009-06-30;;910,227977;166,975742
2009-07-31;;958,711574;178,418809
2009-08-31;;909,302467;124,746208
2009-09-30;;909,470079;174,091565
2009-10-31;;943,743092;164,310124
2009-11-30;;866,466666;145,317609
