;Europe * Francé;Europe * Spain;Europe * Greecà
2001-10-31;1,031998;0,993611;13,781471
2001-11-30;0,989701;0,965397;-3,736538
2001-12-31;1,018875;1,041805;-38,939517
2002-01-31;1,000079;1,067811;-1,758426
2002-02-28;0,920549;0,979393;-1,281024
2002-03-31;1,019472;1,063455;18,295721
2002-04-30;0,985718;0,998467;4,239224
2002-05-31;1,02295;0,999433;-2,192998
2002-06-30;0,983794;0,883283;11,587528
2002-07-31;1,017748;0,998955;12,830104
2002-08-31;1,016342;1,029736;-35,317202
2002-09-30;0,99314;0,980802;22,062255
2002-10-31;1,031702;0,978404;13,004765
2002-11-30;0,989493;0,959023;-3,9243
2002-12-31;1,018926;1,047047;-38,743064
2003-01-31;0,999402;1,068104;-1,895918
2003-02-28;0,920581;0,976211;-0,910551
2003-03-31;1,019293;1,059647;18,093988
2003-04-30;0,985964;1,000122;6,548615
2003-05-31;1,02323;1,008861;-2,354595
2003-06-30;0,984118;0,898696;11,768871
2003-07-31;1,017954;0,997158;12,544518
2003-08-31;1,016723;1,02365;-34,422391
2003-09-30;0,993068;0,976419;19,861637
2003-10-31;1,031374;0,965031;12,173365
2003-11-30;0,989323;0,958183;-3,466582
2003-12-31;1,019011;1,051546;-38,018037
2004-01-31;0,998774;1,066958;-2,209581
2004-02-29;0,92057;0,973586;-1,05391
2004-03-31;1,018977;1,055405;17,724753
2004-04-30;0,986066;1,001431;7,82488
2004-05-31;1,023284;1,017673;-2,686497
2004-06-30;0,98444;0,914248;12,413442
2004-07-31;1,018249;0,99613;12,00609
2004-08-31;1,01738;1,015833;-32,760016
2004-09-30;0,993203;0,970232;17,992407
2004-10-31;1,031224;0,959855;11,255946
2004-11-30;0,989246;0,961749;-2,303579
2004-12-31;1,018972;1,053777;-37,376457
2005-01-31;0,998013;1,065882;-2,422212
2005-02-28;0,920407;0,970469;-1,757098
2005-03-31;1,018552;1,050236;17,27509
2005-04-30;0,986128;1,000163;8,174187
2005-05-31;1,023089;1,023861;-2,910385
2005-06-30;0,984763;0,929435;12,509254
2005-07-31;1,018582;0,994551;11,672601
2005-08-31;1,018164;1,009642;-30,84403
2005-09-30;0,993481;0,961424;16,05844
2005-10-31;1,031261;0,953894;11,016451
2005-11-30;0,989198;0,969404;-1,284715
2005-12-31;1,018787;1,05752;-37,185407
2006-01-31;0,997032;1,065384;-2,639487
2006-02-28;0,920239;0,969167;-1,777964
2006-03-31;1,018193;1,045243;17,071826
2006-04-30;0,986418;0,996135;8,414802
2006-05-31;1,02297;1,025665;-2,623221
2006-06-30;0,985214;0,939849;11,837517
2006-07-31;1,018982;0,996233;11,728002
2006-08-31;1,018877;1,010724;-29,066115
2006-09-30;0,993647;0,956144;14,405864
2006-10-31;1,031191;0,955237;11,257612
