;Europe * Francé;Europe * Spain;Europe * Greecà
2001-10-31;1,006309;1,007337;-0,975938
2001-11-30;0,990121;0,774106;-0,444065
2001-12-31;0,989779;0,764999;-4,832471
2002-01-31;1,015766;1,004164;0,883595
2002-02-28;0,984771;1,003651;8,169108
2002-03-31;1,017439;0,989874;-11,756914
2002-04-30;1,013923;0,952263;3,700576
2002-05-31;0,996453;1,061516;10,180723
2002-06-30;0,98751;1,150908;-7,85787
2002-07-31;0,993735;1,066436;1,66628
2002-08-31;0,99841;1,040603;-0,027247
2002-09-30;1,00091;1,077777;-4,388113
2002-10-31;1,008497;1,009858;4,524989
2002-11-30;1,00487;0,925757;-3,912889
2002-12-31;0,994232;1,068454;-5,695533
2003-01-31;0,987198;1,027372;2,487167
2003-02-28;1,000233;1,001119;0,694391
2003-03-31;1,006137;1,013205;0,369692
2003-04-30;0,999393;1,011998;9,360697
2003-05-31;1,016911;0,99991;-1,164991
2003-06-30;1,001157;0,98684;-9,397744
2003-07-31;1,004345;0,970734;7,383789
2003-08-31;0,977133;1,013546;-7,561227
2003-09-30;0,997099;1,035903;0,907502
2003-10-31;0,999913;0,81791;8,914197
2003-11-30;0,983171;0,944255;-9,985855
2003-12-31;1,022397;1,016867;1,721738
2004-01-31;0,993074;0,981224;-4,682664
2004-02-29;1,020203;1,007242;10,5918
2004-03-31;0,989223;0,995811;-4,178712
2004-04-30;0,989482;1,031875;8,406637
2004-05-31;1,031039;1,033457;-6,355522
2004-06-30;0,988472;0,984854;7,189899
2004-07-31;1,000988;1,007949;-3,659649
2004-08-31;0,996461;0,977836;-1,290756
2004-09-30;0,998152;1,012987;3,673341
2004-10-31;0,976926;1,063276;-11,122227
2004-11-30;1,005859;0,9031;4,636024
2004-12-31;1,003453;0,94548;8,296086
2005-01-31;1,032753;0,970768;2,564292
2005-02-28;0,977939;0,929328;-11,75746
2005-03-31;1,012854;0,984539;-1,954637
2005-04-30;0,977915;1,01138;4,305955
2005-05-31;1,003041;1,054337;-8,263039
2005-06-30;0,991544;1,086709;11,387324
2005-07-31;0,994629;0,943323;-4,002554
2005-08-31;1,012247;0,855776;1,908079
2005-09-30;1,00082;0,488642;-2,580011
2005-10-31;1,00538;0,525617;-7,449952
2005-11-30;0,996468;0,68123;8,107199
2005-12-31;1,000211;0,913308;3,372712
2006-01-31;1,010095;0,961942;0,670867
2006-02-28;1,008264;0,974722;-2,965386
2006-03-31;0,989171;0,948145;3,416124
2006-04-30;0,989588;1,033535;-10,201572
2006-05-31;0,999517;0,982905;8,570526
2006-06-30;1,007464;0,952966;3,913145
2006-07-31;0,989947;0,865522;-12,29933
2006-08-31;0,992603;0,973353;12,152908
2006-09-30;1,010252;0,9926;-12,380961
2006-10-31;1,005999;1,052023;-3,197497
2006-11-30;1,015392;1,000189;4,658972
2006-12-31;1,022954;0,94498;7,356964
2007-01-31;0,959118;0,936091;-0,41213
2007-02-28;0,897488;0,955704;-7,865883
2007-03-31;0,999067;0,994816;6,747262
2007-04-30;0,989417;0,600433;2,78413
2007-05-31;1,008029;0,935522;1,406218
2007-06-30;1,006595;1,065962;-9,422225
2007-07-31;1,001183;1,036191;1,775558
2007-08-31;0,9979;1,01936;2,454093
2007-09-30;0,992486;1,068164;-3,834461
2007-10-31;1,002429;1,130176;6,836644
2007-11-30;0,991506;0,925384;2,17884
2007-12-31;1,006158;0,946785;-12,606899
2008-01-31;1,003658;0,994099;11,388525
2008-02-29;1,012682;0,977322;8,951124
2008-03-31;0,99495;1,038328;-14,494932
2008-04-30;1,004861;1,051333;11,562217
2008-05-31;0,981005;1,017356;-6,577031
2008-06-30;1,001322;1,047697;-2,367168
2008-07-31;1,02044;1,028276;6,155592
2008-08-31;1,003753;0,999388;2,990784
2008-09-30;0,991705;0,75446;-7,473583
2008-10-31;1,001595;0,706036;13,669216
2008-11-30;0,984053;1,070877;1,130895
2008-12-31;1,015328;1,083154;-8,846878
2009-01-31;0,959586;1,019534;-11,464098
2009-02-28;1,049053;1,036242;7,186995
2009-03-31;0,988812;1,060498;-0,442238
2009-04-30;0,997663;1,067285;-0,932459
2009-05-31;0,98803;1,024736;-1,693235
2009-06-30;1,027391;1,030188;-1,282909
2009-07-31;0,984152;1,038341;6,414009
2009-08-31;1,00144;0,990444;-6,412709
2009-09-30;0,994311;1,075164;4,920416
2009-10-31;1,002177;1,112475;0,331053
2009-11-30;1,004589;0,97043;-1,591043
2009-12-31;1,002863;0,906876;3,575028
2010-01-31;1,012919;0,972116;-18,14455
2010-02-28;0,962196;0,969374;5,228032
