;period;start;end;n;missing;start;end;n;log;adjust;lp;;;ntd;nmh;td-derived;;;td-ftest;easter;;;nout;noutao;noutls;nouttc;noutso;td(1);;;td(2);;;td(3);;;td(4);;;td(5);;;td(6);;;out(1);;;out(2);;;out(3);;;out(4);;;out(5);;;out(6);;;out(7);;;out(8);;;out(9);;;out(10);;;out(11);;;out(12);;;out(13);;;out(14);;;out(15);;;out(16);;;out(17);;;out(18);;;out(19);;;out(20);;;out(21);;;out(22);;;out(23);;;out(24);;;out(25);;;out(26);;;out(27);;;out(28);;;out(29);;;out(30);;;out(31);;;;neffectiveobs;np;logvalue;adjustedlogvalue;ssqerr;aic;aicc;bic;bicc;ser;ser-ml;mean;skewness;kurtosis;dh;lb;lb2;seaslb;bp;bp2;seasbp;nudruns;ludruns;nruns;lruns;arima;mean;p;d;q;bp;bd;bq;phi(1);phi(2);phi(3);bphi(1);th(1);th(2);th(3);bth(1);seasonality;parameters_cutoff;model_changed;tvar-estimator;tvar-estimate;tvar-pvalue;savar-estimator;savar-estimate;savar-pvalue;svar-estimator;svar-estimate;svar-pvalue;ivar-estimator;ivar-estimate;ivar-pvalue;tscorr-estimator;tscorr-estimate;tscorr-pvalue;ticorr-estimator;ticorr-estimate;ticorr-pvalue;sicorr-estimator;sicorr-estimate;sicorr-pvalue;ar_root(1);;ar_root(2);;ar_root(3);;ma_root(1);;ma_root(2);;ma_root(3);;method;cycle;seasonality;irregular;tdh;others;total;logstat;levelstat;fcast-insample-mean;fcast-outsample-mean;fcast-outsample-variance;seas-lin-f;seas-lin-qs;seas-lin-kw;seas-lin-friedman;seas-lin-periodogram;seas-lin-spectralpeaks;seas-si-combined;seas-si-evolutive;seas-si-stable;seas-res-f;seas-res-qs;seas-res-kw;seas-res-friedman;seas-res-periodogram;seas-res-spectralpeaks;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-i-f;seas-i-qs;seas-i-kw;seas-i-periodogram;seas-i-spectralpeaks;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-sa-f;seas-sa-qs;seas-sa-kw;seas-sa-friedman;seas-sa-periodogram;seas-sa-spectralpeaks;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-sa-ac1;td-sa-all;td-sa-last;td-i-all;td-i-last;td-res-all;td-res-last;ic-ratio-henderson;ic-ratio;msr-global;msr(1);msr(2);msr(3);msr(4);msr(5);msr(6);msr(7);msr(8);msr(9);msr(10);msr(11);msr(12);trendfilter;seasfilter;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;definition;;annual totals;;normality;;independence;;spectral td peaks;;spectral seas peaks;;number of outliers;;q;;q-m2;;seas variance;;irregular variance;;seas/irr cross-correlation;;f-test on sa (td);;f-test on i (td);;qs test on sa;;qs test on i;;f-test on sa (seasonal dummies);;f-test on i (seasonal dummies);
Europe * France;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;1;;;;6;0;td-derived;-0,006277;-2,7946;0,133476426;;;;12;6;1;5;0;Monday;0,004258;1,8778;Tuesday;-0,000005;-0,002;Wednesday;-0,000788;-0,3481;Thursday;-0,00014;-0,0619;Friday;0,002273;0,9986;Saturday;0,000678;0,3061;TC (4-2020);-0,424537;-18,0136;AO (5-2020);-0,307668;-16,0665;TC (5-2019);-0,253566;-10,7755;AO (7-1990);-0,162818;-8,4927;AO (5-1999);-0,111575;-5,9466;TC (1-2007);-0,108145;-4,6772;AO (11-1995);0,097267;5,136;TC (4-2000);-0,122672;-5,2871;AO (2-2009);0,094035;5,0728;LS (6-2010);0,122807;5,0168;AO (2-2007);-0,082232;-4,4321;TC (12-1999);-0,099036;-4,2685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;21;834,722822707;-993,082296881;0,21847993;2028,164593761;2030,835113993;2110,234335463;-7,108052597;0,025056255;0,024365867;0,551374;0,018832;2,843428;0,157878;21,559418;26,597774;2,398269;20,64519;25,754351;2,307524;-1,239394;4,770691;0,313775;8,337114;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,140166;;;-0,901824;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,193500103;0,13522061;0,029569134;0,003787627;0,726541474;1,088618947;2493,074427396;2529,481217341;0,484176557;0,607984644;0,403189932;0;0;0,996135246;0;0;-t.-t.AT.AT.AT.AT;Present;0,889845965;0;0,447414136;0,301454937;0,455020157;0,750403704;0,529353563;--.--.--.--.--.--;None;None;0,003613252;0,444691101;0,913017958;1;0,999969104;0,870327893;--.--.-t.--.--.--;None;None;0,030402135;0,913578022;0,992353415;1;1;0,995645352;0,946664671;--.--.-t.--.--.--;None;None;0;0,999995752;-0,065485339;0,978464869;0,295757689;0,988328895;0,585155901;0,986764832;0,425800648;2,056411087;2,203826537;5,441207228;5,507649589;5,074909467;5,76615417;4,416294852;5,448970741;5,499338786;4,904572585;5,171671181;6,297078742;6,143879829;7,322285275;4,769013507;13 terms Henderson moving average;3x5;0,989604186;0,071726355;0,27476229;1,26034247;0,423386598;0,576482891;0,233177386;0,738835471;0,190682156;1,201986859;1,178858777;0,541646748;0,599726797;Good;0;Good;0,003;Good;0,924;Good;0,486;Uncertain;0,056;Good;0,636;Uncertain;0,031;Good;0,542;Good;0,6;;;;;;;Good;0,296;Good;0,585;Good;1;Good;1;Good;0,987;Good;0,981
Europe * Spain;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;0;;;;0;0;;;;;;;;26;15;10;1;0;;;;;;;;;;;;;;;;;;;LS (11-2013);-1,646014;-15,5567;LS (1-2015);1,605843;22,4868;AO (7-1990);-2,044071;-17,8869;AO (3-2018);-1,351208;-12,0181;LS (10-2013);-0,950793;-9,246;AO (9-2021);-1,611576;-13,6527;AO (5-1999);-0,855669;-9,019;AO (4-2021);-1,033834;-10,3118;AO (8-2014);0,869582;8,6685;AO (1-2014);-1,074561;-9,1368;LS (10-2018);0,192678;4,2683;LS (9-1992);0,229533;5,9992;AO (10-2014);0,716351;7,1098;AO (6-2000);-0,586023;-6,1753;TC (9-2005);-0,633592;-6,4915;LS (6-2014);-0,612322;-7,3562;AO (8-1990);-0,560737;-4,9186;LS (1-2016);0,443315;6,8992;LS (10-2016);-0,275658;-4,706;AO (12-2013);-0,554471;-4,6929;LS (12-2010);-0,160827;-4,2757;AO (4-2007);-0,462956;-4,8877;AO (4-2018);-0,513387;-4,552;LS (10-2020);0,247595;4,4598;AO (6-1995);-0,40596;-4,2471;AO (9-2011);-0,379819;-3,9844;;;;;;;;;;;;;;;;;369;30;288,178974564;-2135,350581963;4,337420279;4330,701163927;4336,204122507;4448,025063248;-3,978982725;0,112947415;0,108418294;0,418275;-0,414906;4,628284;26,761939;11,873672;17,263432;0,399445;11,389494;16,493193;0,384371;1,650274;6,632879;-1,716329;36,508081;(0,0,1)(0,1,1);1;0;0;1;0;1;1;;;;;0,495333;;;-0,8561;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,004144199;0,007251068;0,010925764;0;0,969371572;0,991692603;5045,372293557;5198,935024887;0,712313206;0,154160289;0,239642328;0;0;0,997344686;0;0;--.-T.-T.--.At.-t;Present;0,0134294;0;0,546577999;0,818958029;0,606160012;0,340224723;0,768137895;--.-t.--.A-.A-.--;None;None;0,219482593;0,544919398;0,238786885;1;0,996994223;0,155490438;--.-t.--.a-.--.--;None;None;0,120301125;0,234550091;0,582034019;1;0,999999692;0,825717118;0,221674976;--.-t.--.--.--.--;None;None;0;0,670949143;-0,217374081;0,559541493;0,943911255;0,9621106;0,714350347;0,880866022;0,827102967;4,124360782;5,421368723;4,486931535;3,953752017;7,560385514;4,061331462;3,994207449;4,259871516;3,661701659;7,654559775;4,29226418;4,372761917;4,306680089;3,478924281;5,565197163;13 terms Henderson moving average;3x5;2,717228411;3;0,853925556;1,071291099;3;0,194772614;0,785292669;1,404564816;0,277416781;1,841739543;1,743727124;1,524806005;1,342478657;Good;0;Uncertain;0,018;Bad;0;Good;0,96;Good;0,484;Good;0,722;Bad;0,068;Bad;1,525;Bad;1,342;;;;;;;Good;0,944;Good;0,714;Good;1;Good;1;Good;0,988;Good;0,95
Europe * Greece;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;0;Leap year;9,265669;2,4754;7;1;td-derived;-1,580102;-1,3006;0;Easter [1];-11,016776;-4,483;2;0;2;0;0;Monday;0,592434;0,4877;Tuesday;1,152256;0,9543;Wednesday;3,118755;2,5877;Thursday;2,378671;1,9581;Friday;-0,161291;-0,1328;Saturday;-5,500722;-4,6173;LS (2-2012);-48,55261;-7,236;LS (12-2008);-27,962447;-4,2158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;15;-1414,383566537;-1414,383566537;45532,372431478;2858,767133074;2860,130769437;2917,388377146;5,042859921;11,341186931;11,123366078;0,473724;-0,209694;3,709999;8,735493;15,061084;28,30684;1,233884;14,394538;26,914428;1,187197;-0,495758;12,536893;0,000567;20,893152;(1,1,2)(0,1,1);0;1;1;2;0;1;1;-0,802165;;;;-1,454111;0,468212;;-0,714074;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,026385608;0,205075079;0,028792614;0,018506141;0,733398834;1,012158276;2964,190253113;2922,619988793;0,791023345;0,349503551;0,044571015;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,000002596;0;0,312775038;0,53959195;0,314166979;0,038784261;0,155617421;a-.--.--.--.--.A-;None;None;0,171961121;0,324130524;0,946277949;1;0,999392816;0,965764527;--.--.--.--.--.--;None;None;0,047083735;0,944914413;0,976035047;1;0,999997978;0,99366565;0,972347784;--.--.--.--.--.--;None;None;0,026169517;0,999013929;-0,457135489;0,980094132;0,153011919;0,997842389;0,161433023;0,999955421;0,220408965;4,682271286;5,285360273;4,445992723;4,159754193;3,866289533;4,206251247;5,544904336;5,970505696;7,857923279;6,146950158;2,089104945;4,064527848;4,627990033;6,657809351;3,308622422;13 terms Henderson moving average;3x5;0,620471866;0,844281895;1,144822551;0,078771404;1,091035202;0,178397089;0,282820131;0,605830535;0,251707665;0,64594316;0,599487547;0,57430827;0,540940743;Good;0;Good;0,007;Uncertain;0,013;Good;0,773;Uncertain;0,069;Good;0,378;Good;0,005;Good;0,574;Good;0,541;;;;;;;Good;0,153;Good;0,161;Good;1;Good;1;Good;0,988;Good;0,967
Asia * China;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;0;Leap year;3,258391;1,6366;7;1;td-derived;-3,015658;-4,8061;0;Easter [8];-2,453119;-1,9515;1;1;0;0;0;Monday;1,46125;2,3394;Tuesday;1,329995;2,1387;Wednesday;1,361615;2,1818;Thursday;-0,179208;-0,2877;Friday;1,577873;2,5053;Saturday;-2,535867;-4,1204;AO (5-2011);23,795469;4,6571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;13;-1178,702795489;-1178,702795489;12449,761183668;2383,405590979;2384,433839566;2434,210669175;3,71402866;5,913648559;5,816431275;-0,718069;-0,080025;3,179591;1,278688;20,890477;15,513277;2,807102;19,961346;14,880056;2,700278;-1,115455;71,853166;-0,208799;7,826087;(0,1,2)(0,1,1);0;0;1;2;0;1;1;;;;;-0,496464;-0,224061;;-0,864132;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,071574837;0,779964578;0,062169251;0,039919122;0,006951784;0,960579572;2430,983585951;2416,838108273;0,540929292;0,448182757;0,349312418;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,035000889;0;0,798324087;0,245722834;0,45156536;0,678024069;0,780146848;--.A-.--.--.--.--;None;None;0,17869785;0,796136293;0,494551692;1;0,98989897;0,542037457;--.--.--.--.--.--;None;None;0,162140257;0,489346491;0,704932627;1;0,998001104;0,906774425;0,913484399;--.--.--.--.--.--;None;None;0,000000195;0,541048686;-0,359249755;0,900569013;0,586643175;0,998962139;0,672089008;0,945854349;0,632577552;4,923242816;5,243820959;4,167162468;4,558824657;3,941600206;5,076540031;4,049791728;4,856931348;2,930827291;4,393085637;3,720570016;4,519525361;4,636859296;4,630431306;3,778830267;13 terms Henderson moving average;3x5;0,292202984;0,235219536;1,131375707;0,36234846;1,206556696;0,066864987;0,148837566;0,483445172;0,12291978;0,715197239;0,677493924;0,461571585;0,489547681;Good;0;Good;0,006;Good;0,528;Good;0,466;Good;0,401;Uncertain;0,08;Good;0,003;Good;0,462;Good;0,49;;;;;;;Good;0,587;Good;0,672;Good;1;Good;1;Good;0,803;Good;0,347
Asia * Japon;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;0;Leap year;1,671527;0,6314;7;1;td-derived;-3,054413;-3,5446;0;Easter [8];-7,130729;-4,0967;1;0;0;1;0;Monday;1,7952;2,0842;Tuesday;2,763098;3,2326;Wednesday;0,667316;0,7789;Thursday;0,225486;0,2622;Friday;1,017916;1,174;Saturday;-3,414604;-4,0263;TC (3-2020);-57,800581;-7,7252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;12;-1318,417025396;-1318,417025396;27375,419847642;2660,834050793;2661,712924032;2707,731046051;4,485918171;8,756817248;8,624947991;0,16319;-0,13375;3,194657;1,876401;29,245323;26,619464;2,458234;28,194959;25,747865;2,36522;0,123939;1,748696;-1,456875;6,321595;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,552247;;;-0,639154;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,104187867;0,811308459;0,051498811;0,03007279;0,033852207;1,030920134;2800,496043567;2724,747060523;0,837521809;0,858745867;0,245351753;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,000011858;0;0,624534983;0,29255082;0,576970597;0,753953505;0,627353723;--.--.--.--.--.--;None;None;0,018358294;0,621890485;0,979733451;0,930678846;0,999194238;0,983959335;a-.--.--.--.--.--;None;None;0,060335831;0,979530905;0,99224724;1;0,999999995;0,978943317;0,995420427;--.--.--.--.--.--;None;None;0,00042671;0,977530999;-0,340997256;0,850498792;0,740676635;0,999955804;0,475534988;0,927434554;0,74172853;3,649782513;4,003938789;3,592438346;4,26486475;4,585257339;2,658783202;3,634061452;6,332759439;4,752605885;4,645541305;1,738365452;3,082503207;5,151586234;3,692365674;2,618829092;13 terms Henderson moving average;3x5;0,282417292;0,117328334;0,685763311;0,456874145;0,761655625;0,163024661;0,171921964;0,416465906;0,123638878;0,46063591;0,405985354;0,349776833;0,378506422;Good;0;Good;0,005;Good;0,391;Good;0,138;Good;0,399;Uncertain;0,054;Good;0,003;Good;0,35;Good;0,379;;;;;;;Good;0,741;Good;0,476;Good;1;Good;1;Good;0,557;Good;0,415
Asia * India;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;0;Leap year;6,042137;3,7978;7;1;td-derived;-1,238279;-2,368;0;Easter [1];-2,381014;-2,2536;4;0;4;0;0;Monday;0,846944;1,6218;Tuesday;1,242876;2,4039;Wednesday;-0,522968;-1,0127;Thursday;0,940156;1,8083;Friday;2,243867;4,3164;Saturday;-3,512595;-6,8748;LS (3-2020);-41,040482;-10,0828;LS (6-2020);28,428863;7,0442;LS (12-2008);-24,251108;-6,3453;LS (4-2009);15,957851;4,1671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;15;-1127,553405955;-1127,553405955;9718,289754572;2285,10681191;2286,470448274;2343,728055983;3,498446017;5,239541575;5,138910008;-0,426497;0,072873;3,192666;1,330319;20,627657;27,76731;0,000698;19,735903;26,725405;0,000672;-0,247879;9,666578;0,020448;12,443573;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,596144;;;-0,611156;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,046441137;0,698120047;0,027777791;0,018932026;0,160783922;0,952054924;2576,738215308;2408,137081439;0,844466751;0,004939896;0,025814915;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,563471452;0;0,002328956;0,99965083;0,019575633;0,045060151;0,003325052;--.--.--.--.-t.--;None;None;0,035931195;0,002385939;0,94347662;1;0,997012992;0,97676775;--.--.--.--.--.--;None;None;0,200872331;0,942425977;0,971944748;1;0,99999999;0,992323483;0,976646588;--.--.--.--.--.--;None;None;0,000077039;0,96308085;-0,413711377;0,776789461;0,658883533;0,999996054;0,926913013;0,992696699;0,831862214;4,491209609;4,797624494;3,564189382;4,687812189;4,553883568;4,747618556;5,004879855;4,978316732;2,730992773;2,067862746;1,524449696;4,507495344;5,243208115;4,728149007;3,732188624;13 terms Henderson moving average;3x5;0,218206453;0,134968963;0,974775886;0,252068494;0,948803899;0,174324247;0,149781378;0,369023676;0,181105023;0,555192045;0,546907579;0,385664795;0,416649673;Good;0;Good;0,007;Good;0,514;Good;0,544;Good;0,65;Good;0,216;Good;0,01;Good;0,386;Good;0,417;;;;;;;Good;0,659;Good;0,927;Good;1;Good;1;Good;0,989;Good;0,976
Africa * Gabon;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;1;;;;6;1;td-derived;-0,030228;-4,8057;0;Easter [8];-0,059108;-4,6793;9;3;2;4;0;Monday;0,018478;2,9251;Tuesday;0,006075;0,9761;Wednesday;0,00798;1,2717;Thursday;-0,001445;-0,2298;Friday;0,0116;1,8216;Saturday;-0,012461;-2,0029;TC (4-2020);-1,129919;-19,2731;AO (12-2008);-0,466591;-8,5434;TC (3-2020);-0,383179;-6,5355;TC (6-2020);0,372938;6,5626;AO (12-2012);-0,282468;-5,4363;AO (8-1996);0,25596;4,9317;TC (11-2008);-0,266853;-4,743;LS (8-2008);-0,217457;-4,3543;LS (5-2021);-0,256736;-4,4303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;19;481,961740927;-1078,642281442;1,550278158;2195,284562884;2197,46847093;2269,538138709;-5,180666249;0,066553484;0,064905411;0,087188;0,164963;3,761539;9,517822;31,93847;37,979567;0,224378;30,491079;36,543154;0,215888;-0,371818;1,964145;0,419917;9,451238;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,541383;;;-0,544552;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,06959574;0,373990044;0,023227662;0,010702703;0,501307753;0,978823903;2612,995110682;2613,015130103;0,755606479;0,335934955;0,283998561;0;0;0,011549686;0;0;AT.AT.AT.AT.AT.AT;Present;0,9483381;0;0,976136103;0,893875126;0,944663773;0,934834551;0,980750726;--.--.--.--.--.--;None;None;0,119467021;0,975956369;0,877287498;1;0,999890586;0,892319797;--.--.--.--.--.--;None;None;0,23978625;0,875804356;0,96513074;1;0,999999985;0,994959722;0,988867384;--.--.--.--.--.--;None;None;0,000000014;0,802856072;-0,406636441;0,956230409;0,837804759;0,999802722;0,597566432;0,967421347;0,610527771;3,692892227;4,087143921;3,372537226;3,698016337;2,321944182;4,301818966;3,525327955;3,70241779;5,876923925;4,698717924;2,097824927;2,733259266;3,453177386;3,569795803;3,42006094;13 terms Henderson moving average;3x5;0,231256439;0,149581736;0,738408523;0,17329709;0,70500814;0,25098511;0,153503275;0,559979678;0,183083946;0,466176936;0,437917073;0,345742464;0,369987049;Good;0;Uncertain;0,011;Bad;0,009;Uncertain;0,078;Uncertain;0,028;Good;0,769;Good;0,024;Good;0,346;Good;0,37;;;;;;;Good;0,838;Good;0,598;Good;1;Good;1;Good;0,988;Good;0,787
Africa * Cameroun;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;0;Leap year;2,634305;1,7921;7;1;td-derived;-1,810508;-3,7895;0;Easter [8];-5,154856;-5,6438;6;2;1;3;0;Monday;0,471712;0,9974;Tuesday;1,148872;2,4325;Wednesday;0,361807;0,7587;Thursday;-0,133917;-0,2827;Friday;1,37382;2,8399;Saturday;-1,411786;-2,9648;TC (4-2020);-84,828425;-16,8609;AO (3-2020);-42,990186;-9,181;TC (11-2008);-24,085161;-5,3015;AO (5-2011);16,736613;4,0988;LS (8-2008);-17,936911;-4,1479;TC (12-2008);-18,49597;-4,0891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;20;-1160,869631929;-1160,869631929;11768,322582417;2361,739263858;2364,160013137;2439,900922621;3,770120626;5,806902962;5,655009943;-0,416577;-0,297235;3,206676;5,426995;55,18125;45,744049;0,960008;52,570693;44,379779;0,923683;-1,115455;5,205703;-0,617612;25,327614;(3,1,1)(0,1,1);0;3;1;1;0;1;1;1,300929;0,659149;0,291106;;0,872245;;;-0,399577;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,057576091;0,572654332;0,016233688;0,008074894;0,325712983;0,980251989;2972,269048896;2602,017767047;0,966026923;0,02855521;0,001645316;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,000000001;0;0,999890708;0,618781063;0,980517633;0,985361857;0,999983682;--.--.-t.--.--.--;None;None;0,057103951;0,999895311;0,968607793;0,387089934;0,999693308;0,974104787;--.--.--.--.-t.--;None;None;0,036583865;0,967963515;0,988800518;0,158775333;0,999999969;0,907341308;0,976677097;--.--.--.--.-t.--;None;None;0,000252047;0,996807109;-0,343533642;0,98323798;0,000146475;0,985214226;0,002227943;0,999461645;0,004065634;3,084780835;3,118374758;3,057902733;6,132152604;5,517921524;3,699258079;2,694426388;4,337726929;2,954541663;5,253361344;1,158142328;2,325246068;2,493732943;4,599694675;3,111961264;13 terms Henderson moving average;3x3;0,115419257;0,042385814;0,503017459;0,551399831;0,515558218;0,376838907;0,187022678;0,559244997;0,071036626;0,548327646;0,490947233;0,318538103;0,356989687;Good;0;Good;0,005;Uncertain;0,066;Bad;0;Good;0,243;Good;0,754;Good;0,016;Good;0,319;Good;0,357;;;;;;;Severe;0;Bad;0,002;Good;0,159;Good;0,073;Good;0,986;Good;0,979
Africa * Guinée equatoriale;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;0;;;;0;1;;;;;Easter [1];-0,004372;-2,0432;32;21;5;6;0;;;;;;;;;;;;;;;;;;;AO (4-2020);-0,530894;-37,9998;AO (8-2013);-0,564838;-20,7811;AO (8-2014);-0,213093;-13,0476;TC (3-2020);-0,28381;-27,4083;TC (4-2017);-0,188056;-27,218;AO (5-2019);0,256889;25,7668;AO (5-2013);-0,236208;-31,6302;LS (6-2021);-0,134261;-11,7819;LS (9-2017);0,140066;26,8079;AO (6-2018);0,099466;6,3135;TC (2-2019);0,0849;6,1057;AO (9-2014);0,198222;31,8149;LS (12-2014);0,077752;16,7965;AO (11-2013);0,11373;9,8545;AO (4-2014);0,144171;15,7633;AO (8-2018);-0,050946;-5,175;AO (10-2013);0,067149;10,0398;AO (7-2020);0,103358;8,6989;AO (1-2019);-0,085162;-10,8535;AO (11-2018);0,099237;9,054;AO (8-2012);0,183403;6,958;AO (12-2012);0,062576;7,8625;AO (12-2015);0,076495;10,0834;AO (6-2019);-0,104477;-6,2663;TC (2-2018);-0,074558;-6,6397;LS (10-2012);-0,066347;-8,9099;AO (12-2020);0,173367;8,1982;TC (4-2013);0,065825;7,3042;TC (11-2012);0,062543;5,2102;AO (2-2014);-0,026366;-4,3562;LS (8-2019);0,038503;5,0389;;368;38;942,071789815;-761,798378965;0,11415192;1599,59675793;1608,605876471;1748,10390958;-7,484288812;0,018570672;0,017612366;1,432528;0,352428;10,1437;252,465061;99,541209;499,765863;40,482873;95,550787;480,567381;38,951089;-0,991515;5701,682363;-2,72151;141,58101;(2,1,1)(0,1,1);0;2;1;1;0;1;1;0,337635;0,604862;;;-0,843444;;;0,999998;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,004178775;0,492255759;0,036891066;0,000034702;0,358415772;0,891776073;2700,947602632;2726,868933524;0,213666548;0,478576804;0,372846233;0;0;0,000000912;0;0;at.AT.AT.At.AT.-t;None;0;0;0,347700155;0,000000002;0,695362741;0,678960447;0,350720104;--.--.--.--.--.--;None;None;0;0,357298573;0,907625373;0;0,689325944;0,921767053;-t.--.--.--.--.--;None;None;0;0,906586829;0,914924496;0;0,328431274;0,165452326;0,912126511;-t.--.--.--.--.--;None;None;0;0,8184415;-0,352753133;0,484261243;0,145473682;0,889669659;0,542394144;0,389824876;0,052624564;7,779315738;13,469146795;1,804317564;1,985107847;3,066484052;1,422938494;3,001420266;2,952224381;1,839624582;3,587339198;0,749675562;1,806871994;1,511338358;3,99020706;1,265545787;23-Henderson;3x3;0,240797847;0,103517917;2,295666509;3;2,22255035;0,878272974;1,435873574;0,801032628;0,571871936;1,888143679;1,705280503;1,386457195;1,565094309;Good;0;Uncertain;0,016;Bad;0;Bad;0;Good;0,1;Good;0,569;Bad;0,084;Bad;1,386;Bad;1,565;;;;;;;Good;0,145;Good;0,542;Severe;0;Severe;0;Uncertain;0,02;Bad;0,003
