;;period;start;end;n;missing;log;adjust;ll;adjustedll;ssqerr;aic;bic;aicc;bicc;bic2;hannanquinn;nparams;nobs;neffectiveobs;df;p;d;q;bp;bd;bq;theta(1);;;theta(2);;;theta(3);;;phi(1);;;phi(2);;;phi(3);;;btheta(1);;;bphi(1);;;start;end;n;missing;mean;nlp;ntd;leaster;nmh;nout;nao;nls;ntc;nso;nusers;mu;;;lp;;;td(1);;;td(2);;;td(3);;;td(4);;;td(5);;;td(6);;;td-derived;;;td-ftest;easter;;;outlier(1);;;outlier(2);;;outlier(3);;;outlier(4);;;outlier(5);;;outlier(6);;;outlier(7);;;outlier(8);;;outlier(9);;;outlier(10);;;outlier(11);;;outlier(12);;;outlier(13);;;outlier(14);;;outlier(15);;;outlier(16);;;outlier(17);;;outlier(18);;;outlier(19);;;outlier(20);;;outlier(21);;;outlier(22);;;outlier(23);;;outlier(24);;;outlier(25);;;outlier(26);;;outlier(27);;;outlier(28);;;outlier(29);;;outlier(30);;;ser;type;mean;skewness;kurtosis;doornikhansen;lb;bp;lb2;bp2;seaslb;seasbp;nruns;lruns;nudruns;ludruns;mode;seasonal;icratio;trend-filter;seasonal-filters;d9-global-msr;seas-lin-combined;seas-lin-evolutive;seas-lin-stable;seas-si-combined;seas-si-combined3;seas-si-evolutive;seas-si-stable;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-lin-qs;seas-lin-f;seas-lin-friedman;seas-lin-kw;seas-lin-periodogram;seas-lin-spectralpeaks;seas-res-qs;seas-res-f;seas-res-friedman;seas-res-kw;seas-res-periodogram;seas-res-spectralpeaks;seas-sa-qs;seas-sa-f;seas-sa-friedman;seas-sa-kw;seas-sa-periodogram;seas-sa-spectralpeaks;seas-i-qs;seas-i-f;seas-i-friedman;seas-i-kw;seas-i-periodogram;seas-i-spectralpeaks;seas-sa-ac1;td-res-all;td-res-last;td-sa-all;td-sa-last;td-i-all;td-i-last;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;summary
RF2229;;12;1990-01-01;2021-09-01;381;0;0;None;-1013,296690941;-1013,296690941;5202,530874847;2060,593381882;2127,030791831;2062,341953311;2,905690726;5,779974978;2086,988309579;17;381;368;351;0;1;1;0;1;1;-0,570062;-14,3724;0;;;;;;;;;;;;;;;;-0,668112;-14,9713;0;;;;1990-01-01;2021-09-01;381;0;0;1;6;1;1;6;2;4;0;0;0;;;;Leap year;2,649822;2,222;monday;0,984997;2,5379;tuesday;1,07699;2,7881;wednesday;0,540686;1,3986;thursday;1,153148;2,9798;friday;0,902748;2,3181;saturday;-1,977099;-5,1612;td-derived;-2,681469;-6,8772;51,17807;Easter [1];-2,117256;-2,6957;LS (12-2008);-15,752819;-5,4378;LS (8-2009);12,650731;4,365;AO (5-2011);16,517425;5,2507;LS (1-2018);-13,016723;-4,4466;LS (3-2020);-28,43033;-8,9803;AO (4-2020);-22,897961;-6,717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;1,01519;-0,147665;3,441204;4,408013;20,882931;20,150498;30,95695;29,763215;0,395915;0,380934;-0,428253;28,240239;-1,239394;4,781359;Additive;1;2,592781221;13;S3X5;4,270665201;Present;0,000052925;0;Present;Present;0,000193825;0;None;None;0,225465647;0,820688623;None;None;0,002548051;0,99297953;None;None;0,602862276;0,985265381;690,864112;271,501558;304,483871;332,876149;649,456322;AT.AT.AT.AT.AT.AT;0,395915;0,825775;4,74359;7,140976;0,597034;--.--.a-.--.--.--;0;0,203192;2,334988;1,512008;0,248543;--.--.--.--.--.--;0;0,320766;1,506203;0,616178;0,27736;--.--.--.--.--.--;-0,400547235;0,053894;0,053894;0,023717;0,023717;0,038161;0,038161;0,191255925;0,133794862;0,796390611;0,220559932;0,693599137;0,10826608;0,101889914;0,255236127;0,080292758;0,236537367;0,208508789;0,277878449;0,295686532;Good
RF2311;;12;1990-01-01;2021-09-01;381;0;0;None;-1262,765642261;-1262,765642261;19589,880332675;2547,531284522;2590,520196842;2548,272857555;4,135231196;7,039457057;2564,610355384;11;381;368;357;1;1;1;0;1;1;-0,908683;-15,7857;0;;;;;;;-0,695915;-8,0312;0;;;;;;;-0,875731;-23,8063;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;0;0;7;5;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TC (6-2008);-28,76047;-4,1083;AO (8-2019);-46,293991;-7,9695;AO (12-2019);-36,04672;-6,2053;TC (4-2020);-50,815016;-7,0932;AO (8-2020);-46,059909;-7,867;AO (12-2020);-28,687835;-4,8996;AO (8-2021);-43,431519;-7,3575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,266409;-0,437965;4,030694;15,343231;20,520095;19,714492;31,636542;30,857146;0,134544;0,129454;2,046391;17,428208;0,495758;2,376072;Additive;1;1,881358066;13;S3X5;4,6823563;None;0;0;Present;ProbablyNone;0,000001055;0;None;None;0,000007666;0,546987361;None;None;0;0,99812174;None;None;0,000062786;0,967230077;81,590378;6,23701;102,667494;115,181476;13,189756;at.--.-t.--.At.AT;0,134544;1,193756;8,876923;9,743323;0,882903;--.--.--.--.A-.--;0;0,519983;4,439206;4,980469;0,426372;--.--.--.--.--.--;0;0,806309;1,238213;1,145536;0,361027;--.--.--.--.--.--;-0,194746233;0,867681;0,867681;1,022575;1,022575;0,894621;0,894621;1,693659171;0,573367841;0,440679033;0,645925516;0,559551837;0,27294252;0,775718429;1,467707229;0,339378105;2,087224959;1,899372882;0,842612482;0,87588991;Good
RF2312;;12;1990-01-01;2021-09-01;381;0;0;None;-1220,731578507;-1220,731578507;16336,180984039;2481,463157014;2559,624815778;2483,883906294;4,098091572;6,955502217;2512,516013129;20;381;368;348;0;1;1;0;1;1;-0,652033;-14,1632;0;;;;;;;;;;;;;;;;-0,241933;-4,5727;0;;;;1990-01-01;2021-09-01;381;0;0;1;6;8;1;9;5;2;2;0;0;;;;Leap year;4,642811;2,6173;monday;1,141488;1,943;tuesday;0,753072;1,2813;wednesday;1,795856;3,0339;thursday;0,516502;0,88;friday;-0,500727;-0,8403;saturday;-0,501323;-0,858;td-derived;-3,204868;-5,4599;15,779371;Easter [8];-2,501453;-2,1703;AO (8-1996);26,390189;4,7302;AO (8-1997);41,460007;6,9033;AO (8-1998);52,104444;9,3238;TC (6-1999);21,131973;4,4976;LS (11-2008);-21,784812;-5,291;AO (5-2011);22,952001;4,6247;LS (2-2012);-17,137832;-4,1153;TC (3-2020);-48,901401;-9,5065;AO (4-2020);-43,187325;-7,9384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;-0,047116;-0,028067;4,18584;19,389254;27,285193;26,194136;115,718393;112,037805;0;0;-1,244306;34,188472;-1,487273;5,096914;Additive;1;3,595655902;23;S3X3;3,085075563;Present;0,000000002;0;Present;Present;0,000000001;0;None;None;0,001509557;0,765088962;None;None;0,012039295;0,713861472;None;None;0,239598672;0,802293331;699,835406;218,676795;186,270471;231,601486;108,776267;AT.AT.AT.AT.AT.AT;0;0,287233;4,671795;4,084684;0,731408;--.--.--.--.-t.A-;4,957775;0,110086;7,019851;7,323559;0,715593;--.--.--.--.-t.--;7,543636;0,235167;1,774194;1,372351;0,575563;--.--.--.--.-t.a-;-0,407447787;0,195474;0,195474;0,137773;0,137773;0,114302;0,114302;0,232934697;0,194408475;1,297827951;0,740451201;1,453003066;0,365969775;0,295149132;0,579467082;0,224041275;0,292331347;0,201363488;0,580719836;0,634510026;Good
RF2313;;12;1990-01-01;2021-09-01;381;0;0;None;-1024,598948398;-1024,598948398;5536,335787826;2079,197896796;2137,819140868;2080,561533159;2,935769237;5,809291144;2102,487538881;15;381;368;353;1;1;1;0;1;1;-0,795311;-4,855;0;;;;;;;-0,56471;-2,7619;0,006;;;;;;;-0,662389;-16,1863;0;;;;1990-01-01;2021-09-01;381;0;0;1;6;15;1;3;0;1;2;0;0;;;;Leap year;3,898447;3,5453;monday;-0,04014;-0,1195;tuesday;-0,196844;-0,5934;wednesday;0,081399;0,2434;thursday;0,228392;0,6857;friday;-0,223779;-0,6605;saturday;-0,342284;-1,033;td-derived;0,493256;1,4761;0,581291;Easter [15];-1,875841;-2,6908;LS (3-2009);-16,756116;-4,923;TC (3-2020);-14,809558;-4,0034;TC (4-2020);-20,028993;-5,4905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;-0,305333;-0,064862;3,646995;7,278771;21,660821;20,845734;28,325451;27,259242;0,013108;0,012612;0,522581;8,479205;0,619697;2,346784;Additive;1;2,015368118;13;S3X5;3,85155341;Present;0,000187242;0;Present;ProbablyNone;0,000003675;0;None;None;0,433772044;0,1164237;None;None;0,148415883;0,979260036;None;None;0,444560491;0,777566513;447,011366;16,907286;227,039702;254,307594;49,904389;AT.AT.AT.AT.AT.AT;0,013108;0,59644;9,25641;12,964031;1,418048;--.at.--.--.--.--;0;0,323856;6,354839;5,31638;0,698677;--.--.--.--.--.--;0;0,259741;1,347395;2,382944;0,639035;--.--.--.--.--.--;-0,220724078;0,124036;0,124036;0,035837;0,035837;0,164239;0,164239;0,620175085;0,228827182;0,507684059;1,024028257;0,580845957;0,059378636;0,428729581;0,7936441;0,424057296;0,952404156;0,870495036;0,525036474;0,561646611;Good
RF2314;;12;1990-01-01;2021-09-01;381;0;0;None;-1123,871421776;-1123,871421776;9398,677391117;2289,742843552;2371,812585254;2292,413363784;3,561332781;6,445142895;2322,348342472;21;381;368;347;0;1;2;0;1;1;-0,604725;-11,3745;0;-0,146774;-2,7109;0,007;;;;;;;;;;;;;-0,755796;-13,9695;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;0;0;17;9;1;7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AO (7-1993);-27,174752;-6,0371;TC (7-1999);-24,949755;-5,7736;TC (3-2005);-24,140037;-5,3937;AO (4-2005);-25,931936;-5,6237;AO (7-2008);20,464002;4,5805;TC (9-2008);27,476547;6,3394;AO (8-2009);-26,013676;-5,8416;TC (4-2012);-29,965762;-6,9332;AO (7-2015);-20,339884;-4,5564;LS (1-2019);17,15235;4,8378;AO (8-2019);-45,674335;-9,6733;AO (12-2019);-31,864191;-6,6229;TC (3-2020);-29,775014;-6,114;TC (4-2020);-27,106696;-5,5756;AO (8-2020);-40,534977;-8,3846;AO (12-2020);-25,56075;-5,1837;TC (8-2021);-21,790364;-4,2239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,675423;-0,331799;3,845387;11,630937;21,35788;20,420452;22,646428;21,601639;2,583006;2,416998;0,606287;4,94556;0,619697;11,934986;Additive;1;3,317713834;13;S3X5;5,021925583;Present;0,048529098;0;Present;ProbablyNone;0,324062407;0;None;None;0,153596528;0,841087664;None;None;0,002758257;0,98737027;None;None;0,764195036;0,97879274;192,768658;12,513519;141,833747;164,717562;22,72486;At.AT.AT.AT.at.AT;2,583006;0,915687;11,066667;9,663891;0,460138;--.a-.A-.--.--.--;0;0,269527;2,880893;1,37763;0,41765;--.--.--.--.--.--;0;0,225939;1,739454;1,019658;0,445144;--.--.--.--.--.--;-0,371697739;0,812561;0,812561;1,412459;1,412459;1,541391;1,541391;1,761616617;1,589325322;1,158856917;0,740451201;1,476013361;0,408770233;0,413493208;1,008408614;0,220119531;1,169395774;1,107396763;0,980845177;0,905639766;Good
RF2319;;12;1990-01-01;2021-09-01;381;0;0;None;-1490,526749782;-1490,526749782;69354,160569761;2991,053499565;3010,593914256;2991,219245421;5,303116772;8,180961724;2998,816713593;5;381;368;363;1;1;1;0;1;1;-0,90411;-31,5926;0;;;;;;;-0,258702;-4,2345;0;;;;;;;-0,6689;-16,9577;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;0;0;1;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LS (6-2005);-78,653686;-10,6443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;-0,741918;-0,110535;3,723731;8,741967;12,441319;11,874367;48,029843;46,165089;0,304722;0,283309;2,41141;25,247094;1,239394;3,342598;Additive;1;4,496193559;23;S3X5;4,644230277;Present;0,000000001;0;Present;ProbablyNone;0,000000002;0;None;None;0,052150881;0,451757258;None;None;0;0,968250779;None;None;0,00001967;0,890204931;527,483598;17,152586;225,992556;245,501907;68,673652;AT.AT.AT.AT.AT.AT;0,304722;1,535645;18,015385;14,905231;0,989969;--.--.-t.A-.--.-t;0;0,388077;3,039702;1,018279;0,624926;--.--.--.--.--.--;0;0,323383;1,44665;1,805752;0,563194;--.--.--.--.--.--;-0,380434964;1,967662;1,967662;2,656576;2,656576;2,804175;2,804175;1,337546837;0,43774715;1,748096779;0,031508562;3;0,257692111;0,378415704;0,666492581;0,230165713;0,426376472;0,36480858;0,877534754;0,931890525;Good
RF2320;;12;1990-01-01;2021-09-01;381;0;0;None;-1385,352030695;-1385,352030695;37715,339775571;2782,704061391;2806,15255902;2782,936748371;4,710012109;7,625414563;2792,019918225;6;381;368;362;0;1;1;0;1;1;-0,572529;-12,3951;0;;;;;;;;;;;;;;;;-0,918572;-26,2281;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;8;1;2;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Easter [8];-7,008117;-3,0415;AO (7-1995);-37,437091;-4,1901;LS (11-2008);-34,54627;-4,204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,512045;0,012319;2,852289;0,116768;22,898888;21,912097;40,856893;39,228535;0,641077;0,61682;-0,299235;172,512491;-1,487273;5,442643;Additive;1;3,301102647;13;S3X5;5,867359326;Present;0,016094572;0;Present;ProbablyNone;0,152817533;0;None;None;0,106636178;0,08708078;None;None;0,001855367;0,931552011;None;None;0,462008479;0,852533016;515,219332;40,724534;237;261,099515;186,01129;AT.AT.AT.AT.AT.AT;0,641077;1,237902;14,225641;14,789616;1,665191;a-.a-.At.--.--.--;0;0,468824;7,352357;5,717517;0,813638;--.--.--.--.--.--;0;0,517111;1,764268;1,601637;0,624348;--.--.--.--.--.--;-0,396058633;3,480797;3,480797;4,622256;4,622256;5,310228;5,310228;0,862809956;0,457847341;1,150551324;0,110279966;1,015549313;0,74694373;0,169206198;0,483839101;0,095765569;0,578075241;0,53842079;0,562615814;0,575564726;Severe
RF2331;;12;1990-01-01;2021-09-01;381;0;0;None;-1647,463756785;-1647,463756785;165929,836030086;3338,92751357;3424,90533821;3341,860846903;6,448383403;9,306807984;3373,085655296;22;381;368;346;0;1;1;0;1;1;-0,834779;-30,3726;0;;;;;;;;;;;;;;;;-0,184821;-3,1185;0,002;;;;1990-01-01;2021-09-01;381;0;0;0;0;8;1;18;8;8;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Easter [8];-11,83163;-3,1225;LS (9-1992);-49,950687;-5,1043;AO (12-1993);133,086265;8,2518;AO (1-1994);-82,249155;-5,0989;AO (8-1994);67,816997;3,8314;LS (4-1995);-40,445955;-4,0451;AO (8-1995);119,359966;6,6885;AO (7-1996);100,17451;6,2137;AO (8-1997);150,072085;9,312;AO (7-1998);81,051745;5,0335;TC (10-1999);-52,591135;-4,0209;LS (6-2002);46,130791;4,7306;LS (7-2005);-33,908594;-3,4317;AO (8-2006);201,997739;12,3668;LS (2-2007);49,728127;4,9319;LS (8-2008);-48,476893;-4,9003;TC (11-2009);-51,359289;-3,9176;LS (3-2020);-41,457534;-3,5998;LS (6-2020);62,476687;5,2786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,072204;-0,0652;3,642991;7,207362;27,619748;26,448771;68,739618;66,463078;0,057337;0,055167;-0,521998;14,48913;0,495758;1,862036;Additive;1;4,109492864;23;S3X5;2,731501022;Present;0,000000001;0;Present;ProbablyNone;0;0;None;None;0,000000182;0,14929363;None;None;0,000005334;0,859689428;None;None;0,001544974;0,951838953;655,009869;39,202404;270,399504;285,894256;96,290172;AT.AT.AT.AT.AT.AT;0,057337;2,340828;15,389744;15,209579;1,362004;--.-t.--.--.--.--;5,379714;0,417693;3,382134;1,602242;0,290026;--.--.--.--.--.--;5,342796;0,534666;3,679901;1,852081;0,397665;--.--.--.--.--.--;-0,516063296;3,051524;3,051524;5,556231;5,556231;5,942536;5,942536;0,285095275;0,155508554;1,554746432;0,252068494;1,802118226;0,507399591;0,317922349;0,468409733;0,211488499;0,297434574;0,289973521;0,598543778;0,65330094;Severe
RF2332;;12;1990-01-01;2021-09-01;381;0;0;None;-1198,458090914;-1198,458090914;14447,379389609;2440,916181828;2526,894006467;2443,849515161;4,007331419;6,8665598;2475,074323553;22;381;368;346;0;1;1;0;1;1;-0,504929;-10,2425;0;;;;;;;;;;;;;;;;-0,358896;-6,8825;0;;;;1990-01-01;2021-09-01;381;0;0;1;6;0;0;12;10;1;1;0;0;;;;Leap year;2,089877;1,2357;monday;0,022024;0,0399;tuesday;1,30178;2,3832;wednesday;0,43751;0,7903;thursday;0,184612;0,3312;friday;0,178389;0,3212;saturday;-0,334432;-0,6212;td-derived;-1,789882;-3,2465;6,709338;;;;AO (1-1993);-20,574389;-4,4034;AO (3-1996);-18,767953;-4,0008;AO (11-1996);22,129681;4,7061;TC (5-1999);-22,716985;-4,4879;AO (6-1999);31,836509;6,5053;AO (11-1999);-16,881525;-3,5882;AO (7-2002);-17,460938;-3,725;AO (8-2003);-27,055639;-5,7725;LS (12-2008);-19,56096;-4,2373;AO (2-2019);-17,571459;-3,7421;AO (3-2020);-36,661144;-7,4049;AO (4-2020);-72,225652;-14,5804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,259374;0,040368;4,12644;17,830784;37,643413;36,199903;25,629598;24,752021;0;0;-0,102142;2,589466;-1,115455;3,53233;Additive;1;2,902561564;13;S3X5;2,789914182;Present;0;0;Present;ProbablyNone;0;0;None;None;0,079987516;0,999993114;None;None;0,094514166;0,815278451;None;None;0,63681126;0,595410766;657,633351;151,157623;247,784119;277,618326;199,281756;AT.AT.AT.AT.AT.AT;0;0,365867;1,317949;1,169786;0,061618;--.--.A-.--.--.a-;0,513284;0,51931;7,034739;6,037663;0,832657;--.--.--.--.--.--;2,0303;0,415739;2,07196;2,009141;0,82009;--.--.--.--.--.a-;-0,356307808;0,138975;0,138975;0,042106;0,042106;0,040713;0,040713;0,191309757;0,104252316;0,951280782;0,126034247;0,859722472;0,484034327;0,217192077;0,475148909;0,070669655;0,523054713;0,488585931;0,396549952;0,432676626;Uncertain
RF2341;;12;1990-01-01;2021-09-01;381;0;1;None;362,423364182;-1488,813909756;2,967597711;3023,627819511;3113,513727089;3026,837121837;-4,467129554;-1,600437013;3059,338604042;23;381;368;345;0;1;1;0;1;1;-0,766803;-22,718;0;;;;;;;;;;;;;;;;-0,518995;-11,0108;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;0;0;20;11;6;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LS (1-1994);0,295815;5,6345;AO (8-1995);0,265861;3,5089;LS (10-1998);0,197145;3,3955;LS (1-1999);-0,373345;-6,4303;AO (8-2006);0,37847;4,9567;AO (8-2008);-0,632639;-8,0787;LS (11-2008);-0,355261;-6,4563;TC (5-2009);-0,294999;-3,9624;AO (6-2009);0,473422;5,6416;TC (9-2009);0,265646;3,9535;AO (7-2010);-0,3895;-4,9564;AO (7-2011);-0,329177;-4,2001;AO (12-2011);-0,336237;-4,4348;AO (8-2013);-0,574253;-7,3221;AO (8-2014);-0,412303;-5,2397;TC (7-2016);-0,354006;-5,2742;AO (8-2017);0,427227;5,3778;AO (8-2018);0,600603;7,6152;LS (3-2020);-0,284328;-4,9652;LS (4-2021);0,248121;3,8945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,263744;0,100387;3,346202;2,955704;26,453895;25,463675;39,745161;38,295914;0,385366;0,358287;-1,039166;17,748293;-1,239394;4,844809;Multiplicative;1;3,967361725;23;S3X5;4,163212966;Present;0,00000002;0;Present;ProbablyNone;0,000000017;0;None;None;0,000083254;0,917229221;None;None;0,000013028;0,443821029;None;None;0,025896026;0,763578751;531,9203;93,515423;202,930521;223,627046;131,469049;AT.AT.AT.AT.AT.AT;0,385366;0,627839;3,574359;3,435114;0,348156;--.--.at.--.--.--;0,579361;0,21641;1,610422;3,046469;0,259116;--.--.--.--.--.--;0;0,385816;2,568238;2,264467;0,528023;--.--.--.--.--.--;-0,536029276;2,571151;2,571151;2,651805;2,651805;2,826819;2,826819;0,582561628;0,45873916;1,483680863;0,126034247;1,805111046;0,065285187;0,276387181;0,585112402;0,164306385;0,446280271;0,386510427;0,607779666;0,626200402;Uncertain
RF2342;;12;1990-01-01;2021-09-01;381;0;1;LeapYear;381,370347997;-1627,767998354;2,685815948;3287,535996709;3350,06532372;3289,085854259;-4,679279767;-1,815791764;3312,3782816;16;381;368;352;0;1;1;0;1;1;-0,620504;-13,701;0;;;;;;;;;;;;;;;;-0,472209;-8,7745;0;;;;1990-01-01;2021-09-01;381;0;0;0;6;8;1;6;3;2;1;0;0;;;;;;;monday;0,016618;2,0056;tuesday;0,007079;0,8618;wednesday;0,020357;2,4824;thursday;-0,00194;-0,2362;friday;0,003419;0,4117;saturday;-0,018556;-2,2915;td-derived;-0,026976;-3,2761;11,630353;Easter [8];-0,031943;-1,9304;AO (7-2006);-0,278186;-4,0798;AO (8-2008);-0,525188;-7,6721;LS (12-2008);-0,322796;-5,4471;LS (1-2013);-0,330831;-5,609;AO (3-2020);-0,296504;-3,9912;TC (4-2020);-1,00862;-14,0418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,045479;-0,135209;4,434396;25,719412;35,162735;33,73617;71,224635;68,671698;0,260052;0,250212;-1,651728;24,540963;-1,611213;6,820189;Multiplicative;1;3,383604541;13;S3X5;3,960668788;Present;0,939523734;0;Present;ProbablyNone;0,941310588;0;None;None;0,368967802;0,641916809;None;None;0,000527599;0,996993452;None;None;0,221537211;0,990268632;575,582483;82,28163;222,081886;248,366508;43,690263;AT.AT.AT.AT.AT.AT;0,260052;0,450679;6,830769;3,363192;0,886174;--.--.--.A-.--.--;4,261817;0,167519;2,25062;1,786731;0,231813;--.--.--.a-.--.--;3,779333;0,460563;1,277916;0,690361;0,243663;A-.--.--.a-.--.--;-0,381710867;0,130803;0,130803;0,008563;0,008563;0,025148;0,025148;0,453366917;0,207333371;1,19180227;1,024028257;1,09826425;0,015732485;0,27614541;0,572019443;0,215038361;0,533962093;0,472220802;0,536675702;0,577380934;Good
RF2351;;12;1990-01-01;2021-09-01;381;0;1;None;1011,600828752;-601,419763607;0,083332237;1276,839527214;1421,438595926;1285,360739335;-7,815038105;-4,903811383;1334,287311025;37;381;368;331;3;1;1;0;1;1;-0,981874;-102,9594;0;;;;;;;0,523145;9,5306;0;0,56528;10,756;0;0,184712;3,4398;0,0007;0,863923;23,6027;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;0;0;31;18;3;10;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AO (2-2012);0,076564;15,2187;TC (4-2012);-0,033206;-8,2795;AO (8-2012);0,043969;4,1256;LS (2-2013);0,443542;86,5037;AO (3-2013);0,034843;4,3148;TC (6-2013);0,186583;27,6442;AO (7-2013);0,042908;5,8471;AO (8-2013);-0,205555;-10,7719;AO (12-2013);-0,180975;-20,0813;AO (1-2014);-0,306822;-35,463;LS (8-2014);-0,068609;-19,247;AO (8-2014);-0,124513;-10,5059;TC (12-2014);-0,271609;-22,672;AO (3-2015);0,052409;5,4757;TC (12-2015);-0,143096;-17,5872;AO (9-2016);0,04568;8,2661;AO (1-2017);-0,222128;-26,2391;TC (3-2017);0,084529;12,8234;AO (4-2017);-0,073113;-7,8061;AO (6-2017);0,053631;6,3046;AO (10-2017);0,0724;11,2835;AO (11-2017);0,154437;22,428;TC (6-2018);0,130448;28,2494;LS (8-2018);0,03984;13,02;AO (3-2019);0,136821;13,356;TC (11-2019);-0,080678;-13,2023;TC (1-2020);0,137263;18,0122;TC (3-2020);-0,396854;-41,9722;AO (4-2020);-0,681992;-48,2515;TC (7-2020);0,121856;15,6722;0;FullResiduals;-1,136726;-0,276133;10,802394;291,351345;109,428663;104,601859;406,453234;390,766732;8,087101;7,562309;-9,717011;139721615939871340000;-21,441522;1000124,311272;Multiplicative;1;7,437502398;23;S3X3;1,272952859;None;0;0;None;Present;0;0;None;None;0;0,000745132;None;None;0;0,182418508;None;None;0;0,416664747;505,351762;22,62177;79,516491;54,909592;11,005344;at.aT.AT.AT.aT.aT;8,087101;3,935928;31,093333;24,554706;3,02663;AT.At.--.--.-t.--;69,047515;0,989244;10,296412;7,274631;1,113741;--.-T.--.--.--.--;67,283809;1,049823;12,006404;6,646242;1,064454;--.-T.--.--.--.--;-0,480285805;1,303781;1,303781;0,820112;0,820112;0,826185;0,826185;0,151620437;3;3;3;2,634669674;1,090818856;1,944152791;0,735426885;0,671377428;1,732861838;1,694341747;1,956097395;1,810743868;Severe
