;Europe * Francé;Europe * Spain;Europe * Greecà;Asia * China;Asia * Japon;Asia * India
1996-11-30;1,004268;1,013987;-6,114292;0,995714;-2,465743;-1,901418
1996-12-31;1,000797;1,002807;5,076794;0,765809;3,539796;2,458485
1997-01-31;0,99299;0,992585;-0,77005;0,849182;-7,244912;-2,386536
1997-02-28;1,024912;0,975502;7,576663;0,895717;4,462135;0,338323
1997-03-31;0,997752;0,982542;-8,675386;0,93152;-9,614899;-1,775394
1997-04-30;1,006472;1,001918;48,093852;0,984144;8,644034;1,423955
1997-05-31;0,994133;0,998427;-5,465926;0,968977;-0,493685;-1,785011
1997-06-30;0,97195;1,051244;0,452836;0,96199;-2,984073;2,690228
1997-07-31;1,009267;1,015811;-0,153624;0,935215;2,971565;-0,202621
1997-08-31;0,984134;0,981896;-10,134632;0,955516;-2,523951;-2,268037
1997-09-30;1,002378;0,991879;4,890728;1,019452;4,933892;0,141835
1997-10-31;1,008893;0,973252;9,109277;1,015632;4,226881;2,126894
1997-11-30;0,991096;0,97709;3,300367;0,978049;-4,874267;-1,442299
1997-12-31;1,015374;1,030838;5,985625;1,03002;-0,359159;1,058953
1998-01-31;0,999441;1,017074;-8,819827;0,999622;0,93049;0,53483
1998-02-28;0,998901;1,011906;-4,639607;1,010234;0,665637;-1,648309
1998-03-31;1,003448;0,916322;9,073559;0,990061;0,714562;2,984054
1998-04-30;1,001895;1,068822;-1,086967;1,007359;-2,422812;0,684035
1998-05-31;0,995132;0,91492;-27,858815;0,988715;-3,96495;-2,612873
1998-06-30;0,990094;0,96941;-1,350909;1,000817;0,579762;1,370917
1998-07-31;1,012116;1,040258;3,44319;0,999901;3,104711;3,704253
1998-08-31;0,99401;1,010755;-3,779065;1,0008;-0,018364;-5,74056
1998-09-30;1,001399;0,98167;22,779187;1,008654;1,486003;2,902019
1998-10-31;0,997565;1,006262;-32,795804;0,989105;-2,525608;-0,794258
1998-11-30;1,048135;1,030776;1,690367;1,001636;0,307437;1,931268
1998-12-31;1,005382;0,999633;5,465823;1,000855;3,03818;0,349691
1999-01-31;1,001749;0,96307;-7,511704;0,966566;-3,390964;-0,915827
1999-02-28;1,002222;0,98497;-7,231364;0,985242;-4,687012;-3,244297
1999-03-31;1,003224;1,112942;-0,604592;1,008387;3,176808;-1,092247
1999-04-30;0,99012;0,96161;5,141242;1,044021;1,118414;2,915555
1999-05-31;0,886616;0,414884;-3,034674;0,987523;-1,939726;-0,85791
1999-06-30;0,994484;0,999131;10,086318;0,988928;7,679901;1,978463
1999-07-31;1,006165;1,116511;-0,640594;0,981362;-6,011376;1,396037
1999-08-31;1,006168;0,999137;5,491477;1,004433;2,94327;-6,765425
1999-09-30;0,99368;1,023911;26,928663;1,02204;1,072939;2,082961
1999-10-31;1,006726;1,00971;-7,440704;0,982468;-3,73567;-1,084914
1999-11-30;1,002113;1,00513;-5,077505;1,02017;-1,849188;-0,379271
1999-12-31;0,897027;0,958369;6,731964;0,946689;4,04713;5,92357
2000-01-31;0,926164;0,994404;0,857086;0,994621;-1,969257;-4,748554
2000-02-29;0,96583;1,046608;-0,783324;1,009179;4,992971;2,136453
2000-03-31;0,939401;1,010794;2,844067;1,007355;0,982435;2,553136
2000-04-30;0,849446;0,991973;-22,52651;0,973425;-9,674201;-5,309311
2000-05-31;0,897767;0,862149;3,507558;1,045375;11,61096;4,946412
2000-06-30;0,956536;0,535154;-4,430636;1,000237;-3,560274;-2,07585
2000-07-31;0,941863;0,979894;-6,946073;1,015868;-4,868461;-3,527794
2000-08-31;0,996462;1,045911;26,162869;0,996895;3,479704;3,578902
2000-09-30;0,978923;0,979484;3,701732;0,983265;-2,109652;-0,819371
2000-10-31;0,9674;1,001395;7,532955;1,000522;-1,081968;0,066391
2000-11-30;0,961724;1,026582;5,873341;1,003994;0,870106;1,118011
2000-12-31;1,003565;1,004821;-18,972032;1,019299;-3,57052;-1,770737
2001-01-31;0,998945;1,008298;4,092767;0,977382;6,366307;1,519395
2001-02-28;0,99252;0,960959;-4,656351;0,993929;0,481409;1,257957
2001-03-31;0,989965;0,995525;2,94212;1,016982;-1,235285;2,071303
2001-04-30;0,996262;1,003291;-33,038105;0,991335;-4,955449;-2,803989
2001-05-31;1,002111;1,011809;-6,021387;1,004761;6,039727;-0,103492
2001-06-30;0,999675;1,129232;3,543447;0,971847;-3,275823;0,754321
2001-07-31;0,992686;0,982343;4,249379;0,996642;-2,053833;-3,314927
2001-08-31;1,002762;0,992097;2,698475;1,024444;4,402247;6,490474
2001-09-30;1,006872;0,999492;0,344493;0,985318;-2,966639;-2,662355
2001-10-31;1,004975;1,012766;-4,888398;0,999398;-2,341701;1,102128
2001-11-30;0,993644;0,823048;-0,989275;1,01201;8,431721;0,022021
2001-12-31;0,982901;0,797389;-6,352628;0,993084;-5,379052;-1,909
2002-01-31;1,011235;1,078972;1,803806;1,017755;2,398158;-2,578284
2002-02-28;0,991383;1,042557;9,028766;0,989898;-1,058744;0,286068
2002-03-31;1,032801;0,997983;-9,590458;1,005772;-3,218005;0,407712
2002-04-30;1,045423;0,951369;1,314471;1,008182;7,051754;-0,30936
2002-05-31;0,994304;1,015978;12,93929;0,995558;-5,747387;-2,371989
2002-06-30;0,991372;1,098258;-5,547804;0,993602;-3,793913;1,096407
2002-07-31;0,993995;1,017312;1,468998;0,995548;10,864008;3,255633
2002-08-31;0,997523;0,986016;2,191197;0,969501;-2,017901;-0,511337
2002-09-30;1,005977;1,022985;-4,273218;1,009237;-5,901462;1,468926
2002-10-31;1,011796;0,954978;1,960681;1,032265;7,296095;0,506361
2002-11-30;1,014579;0,948223;-6,314016;1,019496;-4,032761;-3,89934
2002-12-31;0,982486;1,048623;-7,574264;0,982405;-1,471087;0,73651
2003-01-31;0,969708;1,022813;2,763692;1,00733;-1,833405;2,090212
2003-02-28;0,991888;0,986076;2,967433;0,998422;3,164475;0,273606
2003-03-31;1,002163;1,003396;6,673622;0,98168;-3,053627;-1,755617
2003-04-30;1,012082;1,009834;8,205535;1,006006;5,498184;3,684787
2003-05-31;1,007972;0,985859;-1,432422;0,995891;-5,488291;-1,711558
2003-06-30;1,005468;0,994212;-12,308659;0,991584;-0,900366;-4,625541
2003-07-31;1,000379;0,981233;4,695684;1,027428;8,942495;1,096128
2003-08-31;0,963014;1,01533;-8,643653;0,990075;-10,839495;2,842778
2003-09-30;0,98797;1,016742;1,541228;0,992777;4,139808;-3,752974
2003-10-31;0,990526;0,779261;8,468818;0,976262;7,21666;2,92241
2003-11-30;0,987643;0,988296;-14,299835;0,951126;-8,48851;-1,625904
2003-12-31;1,023606;1,015501;-1,953576;0,995865;-0,334452;-1,054319
2004-01-31;0,994467;0,982493;-5,782145;0,987381;-1,848356;-3,072251
2004-02-29;1,021609;1,009358;12,982755;1,006193;-0,271287;3,504703
2004-03-31;0,98245;0,990642;0,024994;1,0149;9,212231;1,153537
2004-04-30;0,999842;1,015962;6,154614;1,028676;1,153443;2,408957
2004-05-31;1,028135;1,006967;-5,06374;0,998062;-3,552761;-2,17536
2004-06-30;0,997617;0,976287;6,589482;1,025881;2,746782;2,01693
2004-07-31;1,005447;1,011105;-3,673259;0,983008;-5,488665;2,524071
2004-08-31;0,990855;0,985555;-2,823026;1,028797;1,21949;-2,69458
2004-09-30;0,98735;1,008752;5,01096;0,997187;2,11701;-1,868616
2004-10-31;0,959045;1,030683;-9,715107;0,984922;-5,702452;1,519245
2004-11-30;1,007308;0,981512;4,89036;0,988798;-2,722006;0,416652
2004-12-31;1,012257;0,993091;9,410107;1,023503;6,498398;2,347287
2005-01-31;1,046981;1,007226;2,009101;1,025902;1,501889;0,662245
2005-02-28;0,986315;0,962877;-14,86612;1,004516;-5,257346;-2,293218
2005-03-31;1,018149;1,001993;-5,881129;0,997155;-21,415023;-4,358992
2005-04-30;0,989288;1,004604;-2,253641;0,993894;-3,397172;0,885163
2005-05-31;0,991475;1,052332;-6,646972;1,0092;0,619706;1,556435
2005-06-30;0,989287;1,110625;13,800078;1,005723;4,704957;1,659388
2005-07-31;0,999436;0,987029;0,977473;0,984672;-8,977759;-1,557835
2005-08-31;1,017216;0,915627;2,207274;0,985851;2,458366;-0,924047
2005-09-30;1,006755;0,515083;1,428851;0,994195;7,377104;3,142324
2005-10-31;0,999751;0,517439;-5,731115;0,973563;-7,819651;-3,977886
2005-11-30;0,994717;0,722695;5,964219;1,012092;2,216895;-2,534106
2005-12-31;0,992665;0,911112;2,649529;1,005708;4,086492;1,514225
2006-01-31;1,009658;0,908309;0,769372;1,024826;-1,85965;6,492597
2006-02-28;1,009621;0,920425;-3,109793;0,992455;-0,302914;-3,629535
2006-03-31;0,987359;0,887848;0,269846;1,00702;5,087079;3,214014
2006-04-30;0,996944;0,973792;-15,732421;0,966093;-11,831264;-5,524515
2006-05-31;0,996103;0,962786;10,567812;1,014139;5,636912;3,154179
2006-06-30;1,008824;0,94889;2,823261;1,016158;2,131609;1,28905
2006-07-31;0,991983;0,872998;-12,651936;0,993786;-5,678247;-8,524912
2006-08-31;0,98729;0,992463;8,162647;0,994328;-0,569366;4,382544
2006-09-30;1,014462;0,989768;-11,223605;0,985304;2,045708;2,512136
2006-10-31;1,006208;0,989781;-3,409434;1,008185;1,833858;0,824806
2006-11-30;1,014195;1,051657;1,81412;1,013197;5,09582;0,372102
2006-12-31;0,986785;0,992037;8,663707;0,995041;-10,131921;-6,28604
2007-01-31;0,899262;0,955973;1,754233;1,028241;3,002259;2,512427
2007-02-28;0,842976;0,999788;-5,993221;1,003182;4,842035;-0,786516
2007-03-31;0,950231;1,029584;6,666797;1,011621;2,460483;2,186469
2007-04-30;0,959471;0,611451;0,954301;0,966724;-2,140662;1,683948
2007-05-31;0,982259;0,950006;1,509838;1,017171;2,40102;-2,3852
2007-06-30;0,98863;1,047964;-14,605894;1,021151;-2,863011;0,47999
2007-07-31;0,995576;1,003267;-1,204318;0,985362;1,427213;0,534741
2007-08-31;0,986236;0,995101;-1,578823;0,980758;1,415105;0,656075
2007-09-30;0,98533;1,021417;-0,012632;0,971078;-10,009625;-6,634842
2007-10-31;0,993586;1,034149;7,37754;1,0271;7,074941;3,404303
2007-11-30;0,990698;0,954041;-4,514096;1,016122;2,951011;6,450552
2007-12-31;1,002297;0,989395;-15,847146;0,98172;-11,490456;-6,185494
2008-01-31;1,00073;0,994945;10,116453;1,019891;10,861663;1,801738
2008-02-29;1,018193;0,98205;7,576977;1,029971;5,091494;7,671028
2008-03-31;0,991194;1,013381;-20,438702;0,977538;-9,263875;-10,598886
2008-04-30;1,001089;1,016718;6,674902;1,007144;6,941718;4,193542
2008-05-31;0,973855;0,99592;-9,189429;0,981979;-8,729818;0,257005
2008-06-30;1,000889;1,007639;-5,702545;1,013439;5,742558;1,31651
2008-07-31;1,042958;1,010996;4,138626;1,024284;9,072706;3,714389
2008-08-31;1,01471;1,026084;-0,356849;0,993139;-7,389084;-4,189154
2008-09-30;0,994088;0,761949;-7,299069;0,976988;-0,396709;-1,745756
2008-10-31;0,997357;0,678459;7,075363;0,999185;5,453135;-0,823991
2008-11-30;0,983486;1,145001;10,282837;0,975476;-8,017933;1,920316
2008-12-31;1,011491;1,143384;-3,743601;1,048402;6,576876;-0,956094
2009-01-31;0,96063;1,004742;-13,948551;0,959858;-5,546656;-5,062107
2009-02-28;1,076471;1,008501;5,597266;1,008842;-2,716879;-17,930543
2009-03-31;1,005115;1,005779;-2,872765;0,996714;-3,617757;-19,785926
2009-04-30;1,006119;1,019647;-0,426542;1,022774;7,986873;-9,766569
2009-05-31;1,001372;1,001733;1,041661;0,994133;-3,983614;-8,074464
2009-06-30;1,037986;0,976059;0,134162;1,013006;-1,108163;-5,171722
2009-07-31;0,997058;0,995422;8,21832;1,006973;-1,001795;2,479733
2009-08-31;0,999053;0,977775;-4,961129;0,993004;-3,424295;-4,782079
2009-09-30;0,991759;1,036036;8,817264;1,017132;3,548;-2,338188
2009-10-31;1,004402;1,026221;-0,108096;0,969234;0,166534;1,300416
2009-11-30;1,007281;0,999374;-7,896461;1,017785;4,60973;-2,38309
2009-12-31;0,999293;0,948714;-1,080429;1,004183;3,572342;3,956154
2010-01-31;0,995781;1,003771;-28,93892;0,970233;-11,171945;-5,162365
2010-02-28;0,954264;1,02226;-1,382536;0,990396;-5,778207;-2,528407
2010-03-31;1,011717;1,131066;0,805538;0,989038;7,224609;4,27323
2010-04-30;1,033545;0,948491;-1,495143;1,002222;3,370242;-0,829144
2010-05-31;0,9891;1,031164;-3,961702;0,999702;-2,710664;-3,161961
2010-06-30;1,001573;0,889203;6,679464;1,00372;3,51715;2,810929
2010-07-31;1,008008;1,029986;0,432386;1,003823;-3,147393;-2,680908
2010-08-31;0,984004;1,004901;7,119273;0,986949;2,276141;1,687928
2010-09-30;1,001808;0,95755;6,824119;0,988394;2,363354;1,600254
2010-10-31;1,003976;0,831293;-12,90212;0,972432;-7,250336;-4,693517
2010-11-30;1,000741;1,111248;-2,212938;1,031814;4,612252;-0,319886
2010-12-31;0,997447;1,035005;-5,093617;1,032338;-8,068595;3,277846
2011-01-31;1,010527;1,030145;2,74465;0,995936;2,762687;-0,463157
2011-02-28;0,991517;0,986986;2,110567;0,96915;6,302237;-5,701854
2011-03-31;0,995323;0,759589;18,197477;1,005447;6,613666;5,377661
2011-04-30;1,005188;0,759291;-7,613922;1,019969;-14,04125;-4,402597
2011-05-31;1,008832;0,977538;7,168135;1,284181;18,211743;10,3687
2011-06-30;0,996819;1,025975;-19,902243;0,999921;-9,444122;-4,526331
2011-07-31;0,981844;1,007708;-1,612618;0,985241;-7,466071;-4,960905
2011-08-31;1,003271;0,995227;9,374769;1,020933;-0,287559;-1,049292
2011-09-30;1,016526;0,678302;-2,883577;1,007358;8,957219;9,354994
2011-10-31;0,994253;1,030656;-3,914573;0,988102;-5,991873;-4,767676
2011-11-30;1,003645;0,982478;1,239635;0,986579;4,06346;0,761427
2011-12-31;0,990072;1,007929;-17,89896;1,021894;-1,870097;-0,755015
2012-01-31;0,942465;0,992918;3,773257;1,004296;8,663332;2,221522
2012-02-29;1,002916;1,00803;-6,803438;1,009497;-8,451148;0,482026
2012-03-31;0,998295;0,986943;3,438263;0,999494;1,547312;1,07487
2012-04-30;1,012989;1,003738;2,669031;0,999668;-1,654708;-0,826734
2012-05-31;1,001106;0,981058;1,353859;1,005672;-6,751269;-3,029451
2012-06-30;1,001074;1,026801;7,973511;0,999846;7,997313;-0,380518
2012-07-31;0,984615;0,963235;-6,83245;0,98868;4,341288;0,800424
2012-08-31;1,011209;1,006669;-9,124386;0,998902;-0,99893;3,343347
2012-09-30;0,990947;1,044943;-3,661019;0,980606;-5,934718;-2,321235
2012-10-31;0,995672;1,004294;8,841752;1,012335;4,35156;-1,057334
2012-11-30;1,009704;0,980648;4,937929;1,014934;0,604515;0,60683
2012-12-31;0,999163;0,989274;4,37782;1,006157;-3,294661;-3,095735
2013-01-31;0,946087;0,983223;-0,043925;1,005609;-1,225781;1,267497
2013-02-28;1,011984;1,022448;-1,003438;0,974609;1,875728;-0,37431
2013-03-31;1,004313;0,987545;-15,964164;0,976888;-8,970778;-1,244951
2013-04-30;0,976363;0,999597;2,175603;0,995707;6,196368;4,22574
2013-05-31;0,974538;1,00774;-0,784521;0,994992;2,907142;0,570277
2013-06-30;0,997621;1,022407;-9,612521;0,967918;-5,517708;-4,705636
2013-07-31;1,028052;0,99528;1,563241;1,019798;12,235032;8,113179
2013-08-31;1,080529;1,013264;-1,576367;1,010206;-9,460166;-1,838095
2013-09-30;1,009044;0,880207;-1,044264;0,991221;-1,276943;-6,541669
2013-10-31;0,980338;0,959252;3,205877;1,021962;8,717178;5,335202
2013-11-30;0,98761;1,124564;-3,352358;0,985083;-1,940945;-2,713004
2013-12-31;1,009345;0,619288;6,402339;1,000594;-1,09532;-1,632664
2014-01-31;1,006869;0,336029;0,948212;1,007172;0,475674;3,275482
2014-02-28;0,990433;0,896887;2,742186;0,99642;2,058925;0,349631
2014-03-31;0,99908;0,989919;-2,705448;0,979649;-6,53415;-3,046045
2014-04-30;0,999674;1,017325;2,466434;0,998514;7,621452;2,149039
2014-05-31;1,005629;1,019372;-2,058425;0,986407;-4,260709;-2,614732
2014-06-30;0,98708;1,043356;-0,758915;0,988029;-2,136528;-1,566891
2014-07-31;1,006948;0,76024;3,782452;1,018711;4,722684;2,300154
2014-08-31;0,998651;2,19853;-4,258129;1,000159;-7,913089;-1,812862
2014-09-30;1,006767;1,117888;2,84566;1,011756;4,498669;3,306009
2014-10-31;1,013346;2,09327;-1,25778;1,029922;2,232792;3,307441
2014-11-30;0,987183;0,971093;-5,113813;0,95509;-5,460287;-4,149964
2014-12-31;0,989463;0,959756;-1,504281;1,016338;7,754334;0,396405
2015-01-31;0,995299;1,174877;1,982619;0,983303;-4,987354;-0,019525
2015-02-28;1,006207;0,97561;-1,473344;1,005942;0,052866;0,133865
2015-03-31;1,00096;0,715148;1,189753;1,000141;-1,651753;0,949622
2015-04-30;0,987318;1,060721;4,277863;0,994798;1,64939;1,826638
2015-05-31;1,015564;1,038318;-2,259587;0,962175;-8,336614;-6,284258
2015-06-30;1,015603;0,921318;2,219885;1,010571;7,052513;3,65814
2015-07-31;1,006901;1,04272;1,70209;1,038569;-1,765782;1,914138
2015-08-31;0,980681;0,9598;-2,349919;1,022698;3,849021;-3,941317
2015-09-30;0,963669;1,03717;3,134608;1,033698;1,033035;2,821016
2015-10-31;0,987451;1,008933;-5,821796;0,985953;-5,029365;-4,119246
2015-11-30;1,018144;1,001241;-0,133709;1,004044;-1,05039;3,185928
2015-12-31;1,002394;0,917429;0,811759;0,971006;5,459278;1,52863
2016-01-31;0,998165;0,96709;1,342894;0,99941;-2,751344;-4,759812
2016-02-29;1,061746;1,102757;5,490272;1,017489;2,534437;2,344637
2016-03-31;0,998157;1,043042;-13,844568;1,004543;-2,591349;-0,537187
2016-04-30;1,013469;0,834456;-3,432651;0,998931;3,436676;0,017972
2016-05-31;0,985583;0,992377;-0,023429;0,979675;5,155437;1,397178
2016-06-30;0,991065;0,990332;0,391702;0,996343;0,165635;1,128611
2016-07-31;1,006331;1,024728;-20,723682;0,987163;-15,56158;-3,274503
2016-08-31;1,014164;1,060597;1,831083;1,015568;10,347914;1,265177
2016-09-30;0,984669;0,918279;17,039059;1,033576;-0,966587;2,401463
2016-10-31;1,002893;0,722247;-10,338543;0,954295;-6,54237;-4,348429
2016-11-30;0,992241;1,07675;3,136336;1,008685;1,825654;-0,535585
2016-12-31;1,016515;1,053843;-2,082491;0,990276;1,826616;2,499508
2017-01-31;1,004109;0,764172;-1,822411;1,013275;3,666372;0,975884
2017-02-28;0,970829;0,987934;-3,605506;0,988885;-4,990032;-2,590436
2017-03-31;0,988027;1,004762;8,654455;1,005424;3,611325;5,299522
2017-04-30;1,022799;1,07854;-2,350211;0,967525;-4,353051;-7,147577
2017-05-31;1,023993;0,976739;7,196475;1,029482;2,464182;4,927932
2017-06-30;0,995559;0,930034;3,510408;1,018657;-0,395183;4,010126
2017-07-31;0,988678;0,943852;-9,894041;0,978637;-3,741116;-3,859592
2017-08-31;0,988841;1,021121;-1,546996;1,023968;5,120533;-2,112128
2017-09-30;1,009555;1,015037;-1,104367;1,010277;-3,994842;1,843376
2017-10-31;0,993429;1,113434;2,23431;1,004976;-1,204189;-0,050882
2017-11-30;1,01452;1,035341;12,844344;1,005532;7,518358;3,095864
2017-12-31;1,002712;0,957889;3,4979;0,969527;-1,281296;0,011059
2018-01-31;0,987012;1,002226;-3,80455;0,998412;4,538348;-1,907008
2018-02-28;0,988502;0,932026;-4,653599;1,005686;-1,950026;-0,272219
2018-03-31;1,017499;0,262578;0,348998;1,008628;-4,997027;-0,772477
2018-04-30;1,012053;0,597583;1,429305;1,000401;-1,660808;0,492624
2018-05-31;0,983141;0,911405;-0,880037;0,988495;2,750645;-1,638646
2018-06-30;1,008566;1,070334;-3,853727;1,010693;-1,290413;2,76798
2018-07-31;0,998535;1,018109;6,062332;0,987304;-0,797722;-2,219834
2018-08-31;0,995752;1,039306;22,32444;0,997571;2,210094;5,432327
2018-09-30;0,997116;0,999387;-4,151583;0,974459;-5,95888;-8,428861
2018-10-31;1,005287;1,001044;2,87504;1,013291;5,854553;4,197741
2018-11-30;0,992285;0,912731;-1,11356;1,011391;0,75075;-0,32
2018-12-31;0,99614;1,01734;0,977437;1,011081;-4,697672;-3,794375
2019-01-31;1,00751;1,020507;2,05754;0,997758;5,924056;4,451583
2019-02-28;1,019124;1,069093;-0,824953;1,009073;-2,257014;-0,365628
2019-03-31;0,995753;0,931168;-2,717924;1,003299;-1,074105;-3,90568
2019-04-30;0,982;0,94953;-3,014754;1,005372;5,078011;2,544037
2019-05-31;0,771927;1,081962;1,602951;1,0088;5,256048;3,473027
2019-06-30;0,799189;1,044629;-16,453785;0,977271;-13,136476;-6,634707
2019-07-31;0,872585;0,965829;0,352402;1,0189;8,914764;-1,490706
2019-08-31;0,937067;0,739908;9,543908;0,968971;-4,014357;3,683398
2019-09-30;0,945698;0,97445;-0,396114;0,982609;3,827796;0,450323
