;period;start;end;n;missing;start;end;n;log;adjust;lp;ntd;nmh;td-derived;td-ftest;easter;nout;noutao;noutls;nouttc;noutso;;out(1);;;out(2);;;out(3);;;out(4);;;out(5);;;out(6);;;out(7);;;out(8);;;out(9);;;out(10);;;out(11);;;out(12);;;out(13);;;out(14);;;out(15);;;out(16);;;out(17);;;out(18);;;out(19);;;out(20);;;out(21);;;out(22);;;out(23);;;out(24);;;out(25);;;out(26);;;out(27);;;out(28);;;out(29);;;;neffectiveobs;np;logvalue;adjustedlogvalue;ssqerr;aic;aicc;bic;bicc;ser;ser-ml;mean;skewness;;;kurtosis;;;dh;lb;lb2;;;seaslb;bp;bp2;seasbp;nudruns;ludruns;nruns;lruns;arima;mean;p;d;q;bp;bd;bq;phi(1);phi(2);phi(3);;th(1);th(2);bth(1);seasonality;parameters_cutoff;model_changed;tvar-estimator;tvar-estimate;tvar-pvalue;savar-estimator;savar-estimate;savar-pvalue;svar-estimator;svar-estimate;svar-pvalue;ivar-estimator;ivar-estimate;ivar-pvalue;tscorr-estimator;tscorr-estimate;tscorr-pvalue;ticorr-estimator;ticorr-estimate;ticorr-pvalue;sicorr-estimator;sicorr-estimate;sicorr-pvalue;ar_root(1);;ar_root(2);;ar_root(3);;ma_root(1);;ma_root(2);;method;cycle;seasonality;irregular;tdh;others;total;logstat;levelstat;fcast-insample-mean;fcast-outsample-mean;fcast-outsample-variance;seas-lin-f;seas-lin-qs;seas-lin-kw;seas-lin-friedman;seas-lin-periodogram;seas-lin-spectralpeaks;seas-si-combined;seas-si-evolutive;seas-si-stable;seas-res-f;seas-res-qs;seas-res-kw;seas-res-friedman;seas-res-periodogram;seas-res-spectralpeaks;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-i-f;seas-i-qs;seas-i-kw;seas-i-periodogram;seas-i-spectralpeaks;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-sa-f;seas-sa-qs;seas-sa-kw;seas-sa-friedman;seas-sa-periodogram;seas-sa-spectralpeaks;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-sa-ac1;td-sa-all;td-sa-last;td-i-all;td-i-last;td-res-all;td-res-last;ic-ratio-henderson;ic-ratio;msr-global;msr(1);msr(2);msr(3);msr(4);msr(5);msr(6);msr(7);msr(8);msr(9);msr(10);msr(11);msr(12);trendfilter;seasfilter;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;definition;;annual totals;;spectral seas peaks;spectral td peaks;normality;;independence;;spectral td peaks;;spectral seas peaks;;number of outliers;;mean;;mse;;q;;q-m2;;seas variance;;irregular variance;;seas/irr cross-correlation;;qs test on sa;;qs test on i;;f-test on sa (seasonal dummies);;f-test on i (seasonal dummies);;combined seasonality test on sa;;combined seasonality test on sa (last 3 years);;combined seasonality test on irregular;;f-test on sa (td);;f-test on i (td);;quality
Europe * France;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;;;0;0;;;;9;5;1;3;0;;TC (4-2020);-0,428438;-16,3732;AO (5-2020);-0,313387;-14,2143;TC (5-2019);-0,260729;-10,0358;AO (7-1990);-0,169199;-7,719;AO (2-2007);-0,108077;-5,0114;AO (5-1999);-0,117428;-5,4329;TC (4-2000);-0,125246;-4,876;LS (6-2010);0,117907;4,4271;AO (11-1995);0,095845;4,4187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;12;789,927635833;-1037,877483755;0,276519342;2099,75496751;2100,63384075;2146,651962768;-7,016957142;0,02783099;0,027411882;0,655451;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;-0,099099;0,4377;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;4,058175;0;15,99167;29,150093;Chi2 with 22 degrees of freedom ;10,395086;0,9824;0,281172;27,721009;9,957004;0,270533;0,247879;0,847175;0,731386;5,175852;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,239263;;-0,923902;1;0;0;0,083291458;0,086048373;0,737063792;2,307676082;2,141994995;0,455376613;0,000389775;0,000329111;0,782978887;0,211769963;0,200974997;0,542237978;-0,05249838;-0,092355832;0,522946504;-0,089015708;-0,115257989;0,691581772;0,021857387;0,046623725;0,432107202;;;;;;;0,2393;;;;tramoseats;0,219847971;0,132348635;0,023544278;0;0,687189865;1,062930749;9,917662722;9,937629613;0,422633784;0,572428403;0,648258676;0;0;0,996826705;0;0;-t.-t.AT.AT.AT.AT;Present;0,849036052;0;0,318137401;0,868848978;0,52347309;0,585493517;0,401762414;--.--.--.--.--.--;None;None;0,122422997;0,316033188;1;1;0,999587181;0,999999937;--.--.--.--.--.--;None;None;0,549957432;1;0,995493433;1;1;0,998654844;0,999999947;--.--.--.--.--.--;None;None;0;0,998935225;-0,137325113;0,298392526;0,119949636;0,300704677;0,327808761;0,463014356;0,226906471;2,305647663;1,674795321;55,384924801;44,114969713;154,082983483;56,453848977;43,39429956;80,60380185;58,999571178;44,154185474;29,172889771;61,456898112;71,156136984;71,618449643;45,903503625;;;;;;;;;;;;;;;;Good;0;Good;0,001;Good;Good;Bad;0;Good;0,141;Good;0,151;Good;0,551;Good;0,024;Good;0,572;Good;0,648;;;;;Good;0,783;Good;0,542;Good;0,432;Good;1;Good;1;Good;0,974;Good;0,971;Good;0,372;Bad;0,036;Good;0,196;Good;0,12;Good;0,328;Good
Europe * Spain;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;;;0;0;;;;22;14;6;2;0;;LS (11-2013);-2,498188;-29,7403;LS (1-2015);1,684582;21,6598;AO (7-1990);-1,864896;-17,3165;TC (3-2018);-1,30294;-12,5458;AO (9-2021);-1,518724;-12,4383;AO (4-2021);-1,004857;-9,265;AO (5-1999);-0,89462;-8,851;AO (1-2014);-1,080274;-9,2429;AO (10-2013);-0,92137;-8,3109;AO (8-2014);0,842191;8,0796;AO (10-2014);0,722103;6,8361;AO (6-2000);-0,583343;-5,7711;TC (9-2005);-0,667739;-6,5058;LS (6-2014);-0,590932;-6,9948;AO (4-2007);-0,477378;-4,7294;LS (1-2016);0,462753;6,458;LS (4-2018);0,420889;5,719;LS (10-2020);0,381051;5,0265;AO (10-2016);-0,419716;-4,0791;AO (9-2011);-0,392856;-3,8805;AO (7-1996);-0,406374;-4,0079;AO (12-2013);-0,545648;-4,6812;;;;;;;;;;;;;;;;;;;;;;;368;26;262,410205741;-2153,054883679;5,000590878;4358,109767358;4362,227069411;4459,71992375;-3,897162527;0,120743456;0,116569988;-2,746525;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;-0,85809;0;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;6,387831;0;52,09658;25,280928;Chi2 with 21 degrees of freedom ;22,175937;0,3894;0,644269;24,288551;21,047799;0,607883;2,10697;9,66876;-1,043243;15,322443;(0,1,2)(0,1,1);0;0;1;2;0;1;1;;;;;-0,516124;-0,337918;-0,776149;1;0;0;0,000079967;0,00007554;0,564729089;2,385984501;2,13521798;0,258775312;0,008623144;0,008672027;0,984080391;0,645265694;0,599784201;0,38975563;-0,150821323;-0,23528685;0,277456244;-0,431989257;-0,453292603;0,764919591;0,068079228;0,162695125;0,162866936;;;;;;;0,378;2;0,8941;;tramoseats;0,000951733;0,010281039;0,020610121;0;0,952786404;0,984629297;16,824023614;17,163866127;0,008035108;0,516059552;0,596923821;0;0;0,996320409;0;0;--.-T.-T.a-.At.-t;Present;0,000296185;0;0,695176734;0,724600683;0,486250696;0,630412493;0,950803403;--.--.--.A-.A-.--;None;None;0,435228438;0,691100304;0,999999999;1;0,985575414;0,999994157;--.--.--.--.--.--;None;None;0,094436269;0,999999999;1;1;0,999999999;0,973205119;0,999984421;--.--.--.--.--.--;None;None;0;1;-0,235861092;0,126172342;0,869181114;0,435146908;0,705083834;0,731021923;0,896872391;3,699900103;9,064341029;16,16509962;22,718314452;20,136696035;13,272485427;14,014969638;11,991413677;12,502706368;24,875541397;17,682788213;14,199006322;19,260488598;13,657754014;21,429989276;;;;;;;;;;;;;;;;Good;0;Uncertain;0,02;Bad;Good;Bad;0;Good;0,235;Good;0,605;Good;0,406;Bad;0,058;Good;0,516;Good;0,597;;;;;Good;0,984;Good;0,39;Good;0,163;Good;1;Good;1;Good;1;Good;1;Good;0,985;Bad;0,031;Good;0,859;Good;0,869;Good;0,705;Uncertain
Europe * Greece;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;;;0;0;;;;3;1;1;1;0;;LS (2-2012);-43,693688;-5,9795;AO (4-1997);46,775237;4,2331;TC (4-2020);-41,244745;-3,9404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;9;-1462,107896155;-1462,107896155;58677,487605019;2942,215792311;2942,718585607;2977,388538754;5,200165064;12,766872018;12,627339173;0,487902;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;-0,399836;0,0017;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;3,781659;0,0022;11,744709;49,551819;Chi2 with 19 degrees of freedom ;41,467072;0,0021;9,50626;47,173469;39,363954;9,146564;0,743637;3,043339;-0,140649;2,625986;(3,1,1)(0,1,1);0;3;1;1;0;1;1;-0,151267;-0,2179;-0,283487;;-0,975802;;-0,759821;1;1;0;0,017227695;0,017094275;0,944802466;3,475913477;3,469824782;0,986876866;0,006661155;0,005306027;0,472270985;0,344580538;0,340256695;0,894064506;-0,078964322;-0,136074021;0,387587751;-0,084761124;-0,086004521;0,980424875;0,090449946;0,157591725;0,055874421;0,5851;2,8725;0,5851;-2,8725;0,828;;0,95;;;;tramoseats;0,058903596;0,345115308;0,06360002;0;0,507634956;0,975253881;;;0,559967909;0,069203447;0,151912817;0;0;0;0;0;At.AT.AT.AT.at.AT;Present;0,000009999;0;0,236845315;0,008624658;0,178997132;0,17465305;0,128258025;--.--.--.--.--.A-;None;None;0,706027267;0,237940945;1;0,716653567;0,999948429;0,999998356;--.--.--.--.--.--;None;None;0,001021497;1;1;0,709810005;0,999999998;0,98830264;0,999999291;--.--.--.--.--.--;None;None;0,106298445;1;-0,526604951;0;0,000040204;0;0,000023697;0;0,006920249;6,04889594;5,374886203;12,271694983;8,960512519;21,610783277;19,008815694;12,991711856;16,156190718;22,911155155;16,896525795;6,112762253;7,95405529;14,073481688;19,859305663;8,556651817;;;;;;;;;;;;;;;;Good;0;Good;0,001;Bad;Bad;Bad;0,003;Bad;0;Severe;0;Good;0,235;Good;0,008;Uncertain;0,069;Good;0,152;;;;;Good;0,472;Good;0,894;Good;0,056;Good;0,71;Good;0,709;Good;0,989;Good;0,977;Good;1;Good;0,517;Good;1;Severe;0;Severe;0;Severe
Asia * China;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;;;0;0;;;;2;1;0;1;0;;TC (12-1996);-0,244621;-4,3293;AO (5-2011);0,250283;4,0974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;8;454,511713651;-1235,649396352;1,754886419;2487,298792704;2487,69990691;2518,563456209;-5,23329679;0,069722172;0,069055869;-0,662488;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;0,03765;0,7681;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;2,819542;0,4798;0,324449;59,298529;Chi2 with 19 degrees of freedom ;23,588692;0,2124;8,74567;56,425102;22,681531;8,414752;-0,619697;2,369099;-0,206554;5,762321;(3,1,1)(0,1,1);0;3;1;1;0;1;1;-0,145762;-0,08156;-0,217262;;-0,890653;;-0,804326;1;0;0;0,019532332;0,018689603;0,696223918;0,579025788;0,552076264;0,638895563;0,117269869;0,101427425;0,251721283;0,06944038;0,066176402;0,553351221;-0,252191785;-0,201620116;0,345577476;-0,269395541;-0,267886026;0,983456;0,493002524;0,509700226;0,768215799;0,5562;2,9994;0,5562;-2,9994;0,7023;;0,8907;;;;tramoseats;0,058544359;0,819949324;0,01374302;0;0,020030403;0,912267107;9,890284069;9,872005861;0,608517468;0,40225168;0,839048818;0;0;0;0;0;AT.AT.AT.-T.AT.-T;Present;0,151576645;0;0,46372857;0,012615428;0,252857973;0,348799238;0,479224131;--.--.--.--.--.--;None;None;0,047354241;0,460084777;1;0,58229576;0,999994488;0,999999934;--.--.--.--.--.--;None;None;0,003398908;1;1;0,577351984;0,999999989;0,998226656;0,999999916;--.--.--.--.--.--;None;None;0,000026142;0,999999993;-0,144062499;0;0,000005281;0;0,00000203;0;0,000004525;2,758778344;2,148157587;0,654099572;0,700504353;0,783697928;0,526258502;0,696431342;0,610372054;0,63727558;0,701568516;0,792476735;0,653519854;0,579036826;0,635860888;0,608031859;;;;;;;;;;;;;;;;Good;0;Good;0,009;Bad;Bad;Good;0,85;Bad;0;Severe;0;Good;0,104;Good;0,005;Good;0,402;Good;0,839;;;;;Good;0,252;Good;0,553;Good;0,768;Good;0,577;Good;0,655;Good;0,981;Good;0,958;Good;0,997;Severe;0,004;Good;0,906;Severe;0;Severe;0;Severe
Asia * Japon;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;;;0;0;;;;2;1;0;1;0;;TC (3-2020);-59,748155;-7,6121;AO (3-2005);-24,828447;-3,0441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;8;-1370,883561461;-1370,883561461;36313,586675714;2757,767122922;2758,168237128;2789,031786427;4,704246313;10,029539014;9,933691392;0,362631;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;-0,119393;0,3498;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;2,844955;0,5438;1,179382;67,907111;Chi2 with 19 degrees of freedom ;24,921433;0,1631;8,188299;64,816873;24,027829;7,878472;-0,495758;2,978035;0,208799;9,391304;(3,1,1)(0,1,1);0;3;1;1;0;1;1;-0,079022;-0,123273;-0,253125;;-0,816901;;-0,659118;1;0;0;0,012904148;0,01270815;0,893459441;2,665950222;2,63013991;0,90005511;0,018106672;0,017967573;0,974751926;0,272840794;0,266473709;0,804953037;-0,092465814;-0,136289971;0,498659551;-0,093413941;-0,097420147;0,940649505;0,104151191;0,156996798;0,138945066;0,59;2,9192;0,59;-2,9192;0,7272;;0,8169;;;;tramoseats;0,090137123;0,789896556;0,053631772;0;0,039196885;0,972862336;10,866887352;10,684655763;0,692114853;0,801281252;0,163599437;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,000696922;0;0,752720503;0,016669914;0,79613418;0,744158901;0,720225396;--.--.--.--.--.--;None;None;0,266199529;0,752231495;1;0,334054122;0,999996521;0,999999979;--.--.--.--.--.--;None;None;0,010399855;1;1;0,241686446;1;0,999995634;0,999999998;--.--.--.--.--.--;None;None;0,002920091;1;-0,496157648;0;0,000000177;0;0,000000274;0;0,001194846;5,293912238;4,952805261;6,155975628;7,353055812;8,401032143;4,993408582;7,116262466;12,333235221;9,04046271;5,79000163;3,451228121;4,024036471;7,407170249;6,612028709;4,549849265;;;;;;;;;;;;;;;;Good;0;Good;0,002;Good;Good;Good;0,554;Bad;0;Severe;0;Good;0,145;Good;0,005;Good;0,801;Good;0,164;;;;;Good;0,975;Good;0,805;Good;0,139;Good;0,242;Good;0,153;Good;0,997;Good;0,999;Good;0,957;Good;0,87;Good;0,955;Severe;0;Severe;0;Severe
Asia * India;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;;;0;0;;;;4;0;3;1;0;;LS (3-2020);-45,130513;-11,1821;LS (6-2020);30,0378;7,4355;LS (11-2008);-22,369463;-5,8093;TC (2-2009);-22,004497;-5,0139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;10;-1176,030290409;-1176,030290409;12601,937730087;2372,060580819;2372,676827317;2411,141410201;3,67801409;5,924769246;5,851871154;-0,333519;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;0,067083;0,5993;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;2,849215;0,5549;0,439905;44,854466;Chi2 with 19 degrees of freedom ;39,733001;0,0035;0,772535;42,756977;38,372913;0,743304;-0,743637;4,193154;-0,621456;19,503159;(3,1,1)(0,1,1);0;3;1;1;0;1;1;0,090317;-0,017393;-0,170866;;-0,703386;;-0,650357;1;0;0;0,010287334;0,010199773;0,939630628;2,761085915;2,60795454;0,605496026;0,017647832;0,014726205;0,471655061;0,284874862;0,269023453;0,549861228;-0,105818509;-0,116270746;0,865629062;-0,097125774;-0,106392172;0,869807531;0,121076588;0,151961181;0,424173856;0,5645;2,91;0,5645;-2,91;0,5363;;0,7034;;;;tramoseats;0,027142364;0,504184212;0,022617459;0;0,427068517;0,981012552;10,218752856;9,870809751;0,554558812;0,000613034;0,025735727;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,437359664;0;0,017225258;0,679588764;0,022444064;0,162754847;0,016387155;--.--.--.--.--.--;None;None;0,011498294;0,01790908;1;0,993312369;0,999979717;0,999999987;--.--.--.--.--.--;None;None;0,029652568;1;1;0,937650065;1;0,994057176;0,999999984;--.--.--.--.--.--;None;None;0,002328019;1;-0,508707888;0;0,000000149;0;0,000000184;0;0,000386459;6,108982667;5,823289129;6,205450915;7,408449365;7,826860141;9,690551357;8,041192391;9,390527741;5,800991432;3,466055591;3,783080579;8,70014526;6,581258174;7,008585117;4,619777388;;;;;;;;;;;;;;;;Good;0;Good;0,001;Good;Good;Good;0,803;Bad;0,001;Severe;0;Good;0,303;Good;0,01;Bad;0,001;Uncertain;0,026;;;;;Good;0,472;Good;0,55;Good;0,424;Good;0,938;Good;0,782;Good;1;Good;0,998;Good;0,823;Good;0,42;Good;1;Severe;0;Severe;0;Severe
Africa * Gabon;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;;;0;0;;;;7;4;0;3;0;;TC (4-2020);-1,446682;-22,6938;AO (12-2008);-0,426643;-6,4682;TC (6-2020);0,472739;7,5948;AO (3-2020);-0,395699;-5,8955;AO (12-2012);-0,273622;-4,6316;TC (11-2008);-0,290719;-4,5308;AO (8-1996);0,255514;4,3284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;12;426,240072982;-1134,363949387;2,086233269;2292,727898774;2293,606772013;2339,624894032;-4,996122457;0,07644469;0,075293507;-0,205914;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;-0,067345;0,5979;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;3,973237;0,0001;14,042898;51,632153;Chi2 with 20 degrees of freedom ;37,755557;0,0095;1,340488;49,043346;36,369714;1,289767;-2,23091;9,071406;-1,304318;174,556707;(2,1,1)(0,1,1);0;2;1;1;0;1;1;0,830108;0,411007;;;0,169082;;-0,634727;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,119859437;0,528254491;0,048500789;0;0,270326371;0,966941087;2641,247052178;2652,997039486;0,744525239;0,017037504;0,070281831;0;0;0,000217961;0;0;At.AT.AT.aT.AT.AT;Present;0,963650807;0;0,936563012;0,511583769;0,92848238;0,93745131;0,924958459;--.--.--.--.--.--;None;None;0,004425065;0,936960198;0,835899909;0,999746468;0,999399103;0,834974203;--.--.--.--.--.--;None;None;0,000065895;0,833379134;0,990317591;0,999819171;1;0,91508461;0,982665587;--.--.--.--.--.--;None;None;0,000000005;0,950617848;-0,501994942;0;0,003901108;0;0,006849584;0,000000004;0,012634683;4,366235225;4,408951845;3,979778399;4,059507694;2,807374511;3,868516542;5,933042794;4,183661837;4,257221497;4,323299455;2,437678795;4,136966927;4,692306572;4,102612949;4,782682546;13 terms Henderson moving average;3x5;0,357861219;0,204713112;0,949414229;0,031508562;0,790122691;0,00808864;0,167293491;0,605636475;0,203735829;0,608237821;0,590708164;0,378215761;0,399659909;Good;0;Good;0,007;Bad;Good;Bad;0,001;Bad;0;Severe;0;Good;0,664;Good;0,018;Uncertain;0,017;Uncertain;0,07;Good;0,378;Good;0,4;;;;;;;Good;1;Good;0,98;Good;0,988;Good;0,811;Good;0,797;Good;0,385;Good;0,917;Bad;0,004;Bad;0,007;Severe
Africa * Cameroun;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;0;;;0;0;;;;21;8;7;6;0;;TC (4-2020);-56,915083;-13,7886;TC (3-2020);-39,460204;-9,2749;TC (11-2008);-34,972428;-9,0966;LS (8-2008);-18,304918;-5,145;AO (4-2008);22,85079;5,8673;AO (5-2011);18,094513;4,8497;LS (1-2021);-18,762782;-4,3695;TC (2-2009);-16,890953;-4,4801;LS (6-2020);16,959956;4,5683;LS (4-1994);15,210193;4,4186;AO (4-2017);-15,011155;-4,0204;LS (3-2008);-14,945946;-4,154;AO (9-2007);-14,545567;-3,834;TC (4-1999);13,659669;3,6612;LS (7-2005);-18,933673;-5,2477;LS (1-1995);11,934704;3,4671;AO (10-2016);-14,175105;-3,7902;AO (7-2016);-13,822825;-3,6956;AO (9-2005);14,809906;3,8822;AO (8-2004);-15,369468;-4,0824;TC (7-2006);-13,72313;-3,5544;;;;;;;;;;;;;;;;;;;;;;;;;;368;24;-1111,182420278;-1111,182420278;8988,67774033;2270,364840555;2273,863382829;2364,158831071;3,564893281;5,104325458;4,942241873;-0,296817;Normal with Mean = 0.0 and Stdev = 0.1276884796138123;-0,078022;0,5412;Normal with Mean = 3.0 and Stdev = 0.2553769592276246;3,71393;0,0052;8,529589;35,480382;Chi2 with 22 degrees of freedom ;32,782308;0,065;0,152626;33,929697;31,557716;0,146851;-1,735152;13,167005;-1,85408;11,533109;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,576114;;-0,356079;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,023826579;0,291344174;0,005735206;0;0,681851594;1,002757553;2978,727392317;2642,094323086;0,931774446;0,085238535;0,030269964;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0;0;0,999915807;0,92652636;0,946354148;0,79407831;0,999815377;--.--.-t.--.--.a-;None;None;0,000238808;0,999918624;0,969879399;1;0,999805249;0,972570756;--.--.--.--.--.--;None;None;0,005242285;0,969715942;0,983719265;1;0,999999999;0,995529593;0,949993967;--.--.--.--.--.--;None;None;0,001757556;0,996312874;-0,380581685;0;0,000203392;0,000001938;0,003669364;0,00000155;0,00024522;3,12359494;3,329966649;2,996106122;6,257679206;6,43981556;4,362114269;3,453917698;6,380502405;2,505531258;4,271038793;1,421110599;1,58045039;2,841801905;5,517937741;1,933585506;13 terms Henderson moving average;3x3;0,111275075;0,068382023;0,61685044;0,645925516;0,591397417;0,401557551;0,180516157;0,523711199;0,069735489;0,442042977;0,373918459;0,337483295;0,374953092;Good;0;Good;0,001;Bad;Good;Uncertain;0,014;Uncertain;0,034;Severe;0,001;Good;0,458;Bad;0,055;Uncertain;0,085;Uncertain;0,03;Good;0,337;Good;0,375;;;;;;;Good;1;Good;1;Good;0,957;Good;0,881;Good;0,993;Good;0,268;Good;1;Severe;0;Bad;0,004;Severe
Africa * Guinée equatoriale;12;1990-01-31;2021-09-30;381;0;1990-01-31;2021-09-30;381;1;;;0;0;;;;29;15;8;6;0;;AO (4-2020);-0,833982;-69,612;AO (8-2013);-0,829967;-58,82;AO (8-2014);-0,481989;-23,4497;AO (5-2019);0,436282;54,5351;AO (3-2020);-0,366843;-28,9279;TC (4-2017);-0,287535;-26,8157;AO (5-2013);-0,296207;-27,8058;LS (9-2017);0,117426;28,1751;LS (8-2019);0,164339;40,2546;LS (6-2018);0,084913;52,6286;TC (12-2020);0,090337;6,3076;AO (5-2014);-0,113174;-9,8116;LS (10-2015);0,07364;8,3802;LS (10-2012);-0,046613;-7,9448;TC (8-2020);0,027594;5,2484;LS (2-2017);0,092667;18,4237;AO (9-2014);0,151373;19,5913;LS (11-2015);-0,048703;-5,2214;AO (8-2015);-0,115852;-7,2892;AO (4-2013);-0,038728;-7,072;AO (1-2020);0,142056;10,1685;AO (7-2017);0,053476;7,1868;AO (11-2013);0,191079;23,389;TC (11-2013);-0,108707;-25,3353;TC (11-2019);-0,143094;-11,2514;AO (2-2019);0,092193;10,7942;AO (10-2013);0,074483;8,885;TC (6-2015);0,033961;6,9742;LS (9-2012);0,033676;6,6169;;369;34;962,331167359;-746,126851213;0,103067317;1560,253702426;1567,379450929;1693,220788323;-7,654561757;0,017514222;0,016712726;-0,135727;Normal with Mean = 0.0 and Stdev = 0.12751534261266767;0,562993;0;Normal with Mean = 3.0 and Stdev = 0.25503068522533534;8,445156;0;150,885596;177,778512;Chi2 with 20 degrees of freedom ;864,177015;0;5,403803;171,356194;835,915932;5,176164;-20,752195;1000115,989753;-7,880324;877655768375204350;(2,0,1)(0,1,1);0;2;0;1;0;1;1;-0,190252;0,611897;;;-0,999972;;0,999995;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,000460015;0,266013996;0,020746356;0;0,747548039;1,034768406;2693,796231041;2721,413887818;0,90232979;0,947366699;0,003519985;0;0;0,000117394;0;0;at.aT.AT.At.-t.--;None;0;0;0,277259911;0,067077836;0,442700239;0,436308523;0,272273408;--.--.--.--.--.--;None;None;0;0,272601595;0,768412994;0;0,920854502;0,715290916;-t.--.--.--.--.--;None;None;0;0,769199946;0,772660155;0;0,972341604;0,533496728;0,821762652;-t.--.--.--.--.--;None;None;0;0,745455749;-0,317130451;0,578972591;0,623355044;0,57583262;0,595242748;0,598878217;0,349592603;13,887297829;36,252834202;2,106724228;5,739118573;5,507750951;1,895571895;2,27921411;2,058334294;3,316630805;5,845358307;0,792458996;2,401442756;1,428968686;2,605688216;1,81841876;23-Henderson;3x3;0,554067661;3;3;3;2,997666037;0,757310309;1,575012509;0,819205282;0,596470153;2,150640848;1,967037248;2,002729651;1,863869223;Good;0;Uncertain;0,023;Bad;Good;Bad;0;Bad;0;Good;0,31;Uncertain;0,031;Bad;0,076;Good;0,947;Bad;0,004;Severe;2,003;Bad;1,864;;;;;;;Severe;0;Severe;0;Uncertain;0,032;Uncertain;0,032;Bad;0,032;Good;0,355;Uncertain;0,082;Good;0,623;Good;0,595;Severe
